0,1,2,3,4,5,6
1.79,5.0,180.0,1.0,0.5,1.0,1721.1
9.99,10.0,30.0,1.0,0.5,1.0,2190.2
7.33,10.0,365.0,1.0,0.5,1.0,1590.0
0.46,50.0,180.0,2.0,0.5,1.0,1804.1
0.91,50.0,90.0,2.0,0.5,1.0,1722.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1284.3
0.09,20.0,365.0,1.0,0.5,1.0,1921.6
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1479.0
9.99,10.0,7.0,1.0,0.5,1.0,1625.4
3.66,5.0,365.0,1.0,0.5,1.0,2520.5
36.63,50.0,365.0,1.0,0.5,1.0,2100.0
4.98,5.0,365.0,1.0,0.5,1.0,1429.0
4.67,5.0,7.0,1.0,0.5,1.0,1563.8
49.82,50.0,365.0,1.0,0.5,1.0,1372.3
0.02,5.0,365.0,2.0,0.5,1.0,2236.7
4.99,5.0,90.0,1.0,0.5,1.0,1443.1
42.37,50.0,180.0,1.0,0.5,1.0,1494.1
19.86,20.0,7.0,1.0,0.5,1.0,2036.5
4.85,5.0,30.0,1.0,0.5,1.0,1668.1
49.99,50.0,30.0,1.0,0.5,1.0,1782.5
49.91,50.0,180.0,1.0,0.5,1.0,1570.2
19.99,20.0,7.0,1.0,0.5,1.0,1477.6
0.18,20.0,180.0,2.0,0.5,1.0,2130.6
0.36,20.0,90.0,2.0,0.5,1.0,2125.8
16.95,20.0,180.0,1.0,0.5,1.0,2049.2
8.47,10.0,180.0,1.0,0.5,1.0,2820.8
7.14,20.0,180.0,0.0,0.5,1.0,
18.35,20.0,90.0,1.0,0.5,1.0,6617.9
26.32,50.0,90.0,2.0,0.5,1.0,3859.1
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,6404.7
15.38,20.0,30.0,1.0,0.5,1.0,2651.7
17.86,50.0,180.0,1.0,0.5,1.0,1322.7
4.99,5.0,30.0,1.0,0.5,1.0,1262.2
1.08,5.0,365.0,2.0,0.5,1.0,5126.2
9.62,50.0,7.0,2.0,0.5,1.0,1700.9
0.53,10.0,30.0,2.0,0.5,1.0,2023.4
18.69,20.0,7.0,1.0,0.5,1.0,1923.5
46.730000000000004,50.0,7.0,1.0,0.5,1.0,3739.3
2.63,5.0,90.0,2.0,0.5,1.0,2688.1
0.26,5.0,30.0,2.0,0.5,1.0,1584.3
0.96,5.0,7.0,2.0,0.5,1.0,3212.0
19.93,20.0,365.0,1.0,0.5,1.0,1849.0
0.18,10.0,90.0,2.0,0.5,1.0,1940.2
9.17,10.0,90.0,1.0,0.5,1.0,3218.4
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1421.9
2.63,50.0,30.0,2.0,0.5,1.0,1474.4
10.75,50.0,365.0,1.0,0.5,1.0,3268.8
4.3,20.0,365.0,2.0,0.5,1.0,1093.3
45.87,50.0,90.0,2.0,0.5,1.0,1530.2
0.05,10.0,365.0,2.0,0.5,1.0,1317.0
0.09,10.0,180.0,2.0,0.5,1.0,1953.3
0.05,5.0,180.0,2.0,0.5,1.0,3085.2
14.65,20.0,365.0,1.0,0.5,1.0,1223.3
19.99,20.0,30.0,1.0,0.5,1.0,3026.7
9.98,10.0,180.0,2.0,0.5,1.0,1385.7
3.57,10.0,180.0,1.0,0.5,1.0,1754.9
1.92,10.0,7.0,2.0,0.5,1.0,1912.1
4.24,5.0,180.0,1.0,0.5,1.0,1895.5
4.99,5.0,7.0,2.0,0.5,1.0,1191.8
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1324.1
5.26,10.0,90.0,1.0,0.5,1.0,1381.7
4.99,5.0,180.0,1.0,0.5,1.0,1366.2
2.15,10.0,365.0,1.0,0.5,1.0,1372.7
1.05,20.0,30.0,2.0,0.5,1.0,1053.1
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1004.8
0.09,5.0,90.0,1.0,0.5,1.0,1809.8
9.96,10.0,365.0,1.0,0.5,1.0,1006.4
49.99,50.0,7.0,1.0,0.5,1.0,1810.4
38.46,50.0,30.0,1.0,0.5,1.0,1731.6
49.65,50.0,7.0,1.0,0.5,1.0,1164.4
49.96,50.0,90.0,1.0,0.5,1.0,5398.3
0.23,50.0,365.0,2.0,0.5,1.0,4543.8
9.93,10.0,7.0,1.0,0.5,1.0,1984.1
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1208.7
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2081.6
48.54,50.0,30.0,1.0,0.5,1.0,3756.2
4.59,5.0,90.0,1.0,0.5,1.0,1209.4
10.53,20.0,90.0,1.0,0.5,1.0,2396.9
9.99,10.0,90.0,1.0,0.5,1.0,1274.4
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2622.4
