0,1,2,3,4,5,6
19.99,20.0,30.0,1.0,0.5,1.0,2544.2
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2719.7
7.14,20.0,180.0,1.0,0.5,1.0,2719.6
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1735.2
0.36,20.0,90.0,2.0,0.5,1.0,2069.1
18.69,20.0,7.0,1.0,0.5,1.0,1441.5
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1708.9
9.62,50.0,7.0,2.0,0.5,1.0,1488.6
4.99,5.0,7.0,1.0,0.5,1.0,1940.9
7.33,10.0,365.0,1.0,0.5,1.0,4017.3
9.99,10.0,90.0,1.0,0.5,1.0,1420.0
19.93,20.0,365.0,1.0,0.5,1.0,1289.8
0.46,50.0,180.0,2.0,0.5,1.0,1449.7
19.99,20.0,7.0,1.0,0.5,1.0,1256.1
2.15,10.0,365.0,1.0,0.5,1.0,1924.1
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1513.6
49.96,50.0,90.0,1.0,0.5,1.0,1276.7
9.17,10.0,90.0,1.0,0.5,1.0,1101.3
0.05,10.0,365.0,2.0,0.5,1.0,2945.6
4.98,5.0,365.0,1.0,0.5,1.0,1144.0
15.38,20.0,30.0,1.0,0.5,1.0,2296.7
4.24,5.0,180.0,1.0,0.5,1.0,1668.9
4.99,5.0,30.0,1.0,0.5,1.0,3136.8
0.53,10.0,30.0,2.0,0.5,1.0,2376.1
49.99,50.0,30.0,1.0,0.5,1.0,2076.2
10.75,50.0,365.0,1.0,0.5,1.0,4296.6
2.63,50.0,30.0,2.0,0.5,1.0,1741.7
26.32,50.0,90.0,1.0,0.5,1.0,2849.0
49.65,50.0,7.0,1.0,0.5,1.0,1173.0
0.96,5.0,7.0,2.0,0.5,1.0,1561.7
9.98,10.0,180.0,1.0,0.5,1.0,1608.3
4.99,5.0,180.0,1.0,0.5,1.0,3305.3
3.57,10.0,180.0,1.0,0.5,1.0,2454.0
3.66,5.0,365.0,1.0,0.5,1.0,1999.0
8.47,10.0,180.0,1.0,0.5,1.0,1161.8
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2505.6
49.82,50.0,365.0,1.0,0.5,1.0,1180.6
0.91,50.0,90.0,2.0,0.5,1.0,2428.2
10.53,20.0,90.0,1.0,0.5,1.0,1465.8
4.85,5.0,30.0,1.0,0.5,1.0,1282.9
38.46,50.0,30.0,1.0,0.5,1.0,2579.3
0.09,5.0,90.0,2.0,0.5,1.0,2097.8
5.26,10.0,90.0,1.0,0.5,1.0,1957.5
19.419999999999998,20.0,30.0,1.0,0.5,1.0,968.7
9.96,10.0,365.0,1.0,0.5,1.0,1284.3
49.91,50.0,180.0,1.0,0.5,1.0,1404.7
0.09,10.0,180.0,2.0,0.5,1.0,2089.0
0.23,50.0,365.0,2.0,0.5,1.0,2541.2
16.95,20.0,180.0,1.0,0.5,1.0,1468.6
4.99,5.0,90.0,1.0,0.5,1.0,1542.8
1.05,20.0,30.0,2.0,0.5,1.0,1822.0
0.05,5.0,180.0,2.0,0.5,1.0,1205.4
42.37,50.0,180.0,1.0,0.5,1.0,946.4
18.35,20.0,90.0,1.0,0.5,1.0,1593.2
17.86,50.0,180.0,2.0,0.5,1.0,2521.1
1.79,5.0,180.0,1.0,0.5,1.0,2147.0
9.99,10.0,7.0,1.0,0.5,1.0,1429.0
19.86,20.0,7.0,1.0,0.5,1.0,837.2
14.65,20.0,365.0,1.0,0.5,1.0,924.9
0.09,20.0,365.0,2.0,0.5,1.0,1469.5
36.63,50.0,365.0,1.0,0.5,1.0,1884.4
48.54,50.0,30.0,1.0,0.5,1.0,4071.7
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1597.5
0.18,10.0,90.0,2.0,0.5,1.0,1709.0
46.730000000000004,50.0,7.0,1.0,0.5,1.0,2712.2
4.67,5.0,7.0,1.0,0.5,1.0,1444.7
1.08,5.0,365.0,1.0,0.5,1.0,1628.7
0.26,5.0,30.0,2.0,0.5,1.0,2210.8
4.3,20.0,365.0,1.0,0.5,1.0,2201.3
9.99,10.0,30.0,1.0,0.5,1.0,1544.6
0.02,5.0,365.0,2.0,0.5,1.0,1200.3
2.63,5.0,90.0,1.0,0.5,1.0,1567.2
9.93,10.0,7.0,1.0,0.5,1.0,970.0
49.99,50.0,7.0,1.0,0.5,1.0,1014.3
0.18,20.0,180.0,2.0,0.5,1.0,1112.9
1.92,10.0,7.0,2.0,0.5,1.0,2008.2
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1482.1
45.87,50.0,90.0,1.0,0.5,1.0,1031.7
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1352.9
4.59,5.0,90.0,1.0,0.5,1.0,1102.0
