0,1,2,3,4,5,6
36.63,50.0,365.0,1.0,0.5,1.0,4356.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,3562.9
0.05,5.0,180.0,2.0,0.5,1.0,3302.9
7.14,20.0,180.0,2.0,0.5,1.0,2949.1
10.75,50.0,365.0,2.0,0.5,1.0,3778.1
0.02,5.0,365.0,2.0,0.5,1.0,3363.3
4.67,5.0,7.0,1.0,0.5,1.0,3288.1
1.08,5.0,365.0,2.0,0.5,1.0,4355.7
9.93,10.0,7.0,1.0,0.5,1.0,3193.3
19.86,20.0,7.0,1.0,0.5,1.0,4802.4
42.37,50.0,180.0,1.0,0.5,1.0,5306.0
0.23,50.0,365.0,2.0,0.5,1.0,1884.0
0.36,20.0,90.0,2.0,0.5,1.0,3547.3
0.91,50.0,90.0,2.0,0.5,1.0,3379.6
2.63,5.0,90.0,2.0,0.5,1.0,2507.5
19.99,20.0,7.0,1.0,0.5,1.0,2904.9
0.96,5.0,7.0,2.0,0.5,1.0,2167.6
0.53,10.0,30.0,2.0,0.5,1.0,2373.8
4.99,5.0,180.0,1.0,0.5,1.0,3006.9
4.99,5.0,7.0,1.0,0.5,1.0,2283.4
0.09,20.0,365.0,2.0,0.5,1.0,2818.4
48.54,50.0,30.0,1.0,0.5,1.0,2175.0
2.15,10.0,365.0,2.0,0.5,1.0,3129.3
3.57,10.0,180.0,2.0,0.5,1.0,4174.4
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2692.8
0.09,5.0,90.0,2.0,0.5,1.0,2139.4
4.59,5.0,90.0,1.0,0.5,1.0,2344.1
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1997.4
19.99,20.0,30.0,1.0,0.5,1.0,2636.7
9.98,10.0,180.0,1.0,0.5,1.0,2292.2
4.98,5.0,365.0,1.0,0.5,1.0,2183.1
4.970000000000001,5.0,7.0,2.0,0.5,1.0,2629.8
4.99,5.0,30.0,1.0,0.5,1.0,2675.9
4.85,5.0,30.0,1.0,0.5,1.0,2569.7
9.99,10.0,7.0,2.0,0.5,1.0,2837.9
9.99,10.0,90.0,1.0,0.5,1.0,2646.6
3.66,5.0,365.0,1.0,0.5,1.0,2423.0
38.46,50.0,30.0,2.0,0.5,1.0,2794.2
0.26,5.0,30.0,2.0,0.5,1.0,1809.0
17.86,50.0,180.0,2.0,0.5,1.0,3137.4
1.79,5.0,180.0,2.0,0.5,1.0,2760.5
7.33,10.0,365.0,2.0,0.5,1.0,3028.4
8.47,10.0,180.0,1.0,0.5,1.0,2237.4
10.53,20.0,90.0,2.0,0.5,1.0,2500.2
9.99,10.0,30.0,1.0,0.5,1.0,1917.4
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2580.1
16.95,20.0,180.0,1.0,0.5,1.0,2580.1
49.99,50.0,7.0,1.0,0.5,1.0,3474.2
9.62,50.0,7.0,2.0,0.5,1.0,3431.1
49.96,50.0,90.0,1.0,0.5,1.0,4751.7
46.730000000000004,50.0,7.0,2.0,0.5,1.0,2198.1
0.18,20.0,180.0,2.0,0.5,1.0,3298.2
0.46,50.0,180.0,2.0,0.5,1.0,2007.8
0.18,10.0,90.0,2.0,0.5,1.0,2411.0
2.63,50.0,30.0,2.0,0.5,1.0,2079.8
0.09,10.0,180.0,2.0,0.5,1.0,2647.2
4.99,5.0,90.0,1.0,0.5,1.0,2719.0
5.26,10.0,90.0,2.0,0.5,1.0,2741.7
49.82,50.0,365.0,1.0,0.5,1.0,2286.5
14.65,20.0,365.0,1.0,0.5,1.0,2457.8
18.35,20.0,90.0,1.0,0.5,1.0,2779.6
9.96,10.0,365.0,1.0,0.5,1.0,2350.5
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,3676.1
9.17,10.0,90.0,1.0,0.5,1.0,2522.5
15.38,20.0,30.0,2.0,0.5,1.0,4214.1
49.65,50.0,7.0,2.0,0.5,1.0,3322.8
49.91,50.0,180.0,1.0,0.5,1.0,2660.6
1.05,20.0,30.0,2.0,0.5,1.0,2187.6
19.419999999999998,20.0,30.0,1.0,0.5,1.0,3334.1
4.3,20.0,365.0,2.0,0.5,1.0,2715.4
19.93,20.0,365.0,1.0,0.5,1.0,1993.2
9.350000000000001,10.0,7.0,2.0,0.5,1.0,2106.6
1.92,10.0,7.0,2.0,0.5,1.0,2012.1
4.24,5.0,180.0,1.0,0.5,1.0,2140.5
26.32,50.0,90.0,2.0,0.5,1.0,2049.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2279.2
45.87,50.0,90.0,1.0,0.5,1.0,2354.0
18.69,20.0,7.0,2.0,0.5,1.0,1881.0
49.99,50.0,30.0,1.0,0.5,1.0,1978.4
0.05,10.0,365.0,2.0,0.5,1.0,2968.7
