0,1,2,3,4,5,6
9.99,10.0,30.0,1.0,0.5,1.0,1822.4
5.26,10.0,90.0,2.0,0.5,1.0,3007.7
9.99,10.0,90.0,1.0,0.5,1.0,1912.5
0.46,50.0,180.0,2.0,0.5,1.0,1493.2
19.93,20.0,365.0,1.0,0.5,1.0,1868.8
36.63,50.0,365.0,1.0,0.5,1.0,1638.0
3.66,5.0,365.0,1.0,0.5,1.0,1625.2
14.65,20.0,365.0,1.0,0.5,1.0,1542.6
19.99,20.0,7.0,1.0,0.5,1.0,1049.2
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1160.1
1.08,5.0,365.0,1.0,0.5,1.0,1432.4
9.98,10.0,180.0,1.0,0.5,1.0,1096.0
0.05,5.0,180.0,2.0,0.5,1.0,1465.0
4.99,5.0,30.0,1.0,0.5,1.0,1504.1
0.53,10.0,30.0,2.0,0.5,1.0,1357.6
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1686.9
18.35,20.0,90.0,1.0,0.5,1.0,1501.1
4.99,5.0,90.0,1.0,0.5,1.0,1269.9
38.46,50.0,30.0,1.0,0.5,1.0,2128.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1348.5
49.96,50.0,90.0,1.0,0.5,1.0,1666.7
0.09,10.0,180.0,2.0,0.5,1.0,1225.0
0.26,5.0,30.0,2.0,0.5,1.0,1208.5
4.67,5.0,7.0,1.0,0.5,1.0,1151.6
9.17,10.0,90.0,1.0,0.5,1.0,1656.5
19.99,20.0,30.0,1.0,0.5,1.0,1421.1
42.37,50.0,180.0,1.0,0.5,1.0,1356.1
10.75,50.0,365.0,2.0,0.5,1.0,1244.7
4.99,5.0,180.0,1.0,0.5,1.0,1682.1
9.93,10.0,7.0,1.0,0.5,1.0,1603.2
2.63,50.0,30.0,2.0,0.5,1.0,1418.3
0.09,20.0,365.0,2.0,0.5,1.0,1250.0
4.24,5.0,180.0,1.0,0.5,1.0,1379.6
10.53,20.0,90.0,2.0,0.5,1.0,2242.9
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1099.8
0.05,10.0,365.0,2.0,0.5,1.0,1090.8
9.99,10.0,7.0,1.0,0.5,1.0,1317.1
49.91,50.0,180.0,1.0,0.5,1.0,1416.2
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1034.6
7.14,20.0,180.0,2.0,0.5,1.0,1240.1
19.86,20.0,7.0,1.0,0.5,1.0,1054.6
49.99,50.0,7.0,1.0,0.5,1.0,1147.7
4.85,5.0,30.0,1.0,0.5,1.0,948.1
19.959999999999997,20.0,180.0,1.0,0.5,1.0,828.4
2.63,5.0,90.0,1.0,0.5,1.0,2109.1
3.57,10.0,180.0,2.0,0.5,1.0,1581.8
0.09,5.0,90.0,2.0,0.5,1.0,1037.0
7.33,10.0,365.0,1.0,0.5,1.0,1015.2
1.05,20.0,30.0,2.0,0.5,1.0,833.6
17.86,50.0,180.0,2.0,0.5,1.0,1324.6
4.3,20.0,365.0,2.0,0.5,1.0,939.8
1.79,5.0,180.0,2.0,0.5,1.0,1447.4
26.32,50.0,90.0,2.0,0.5,1.0,1548.4
0.96,5.0,7.0,2.0,0.5,1.0,1146.7
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1707.6
48.54,50.0,30.0,1.0,0.5,1.0,1033.7
19.419999999999998,20.0,30.0,1.0,0.5,1.0,987.9
0.91,50.0,90.0,2.0,0.5,1.0,669.8
15.38,20.0,30.0,1.0,0.5,1.0,1243.8
4.98,5.0,365.0,1.0,0.5,1.0,885.9
49.65,50.0,7.0,1.0,0.5,1.0,971.7
0.18,10.0,90.0,2.0,0.5,1.0,986.7
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1095.2
1.92,10.0,7.0,2.0,0.5,1.0,939.8
9.96,10.0,365.0,1.0,0.5,1.0,1030.2
4.99,5.0,7.0,1.0,0.5,1.0,1222.4
8.47,10.0,180.0,1.0,0.5,1.0,973.1
0.02,5.0,365.0,2.0,0.5,1.0,1074.4
49.99,50.0,30.0,1.0,0.5,1.0,893.3
0.18,20.0,180.0,2.0,0.5,1.0,821.5
4.59,5.0,90.0,1.0,0.5,1.0,904.4
9.62,50.0,7.0,2.0,0.5,1.0,670.7
0.36,20.0,90.0,2.0,0.5,1.0,756.6
16.95,20.0,180.0,1.0,0.5,1.0,1453.8
0.23,50.0,365.0,2.0,0.5,1.0,732.2
45.87,50.0,90.0,1.0,0.5,1.0,1168.6
18.69,20.0,7.0,2.0,0.5,1.0,1246.9
49.82,50.0,365.0,1.0,0.5,1.0,1183.1
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1356.0
2.15,10.0,365.0,2.0,0.5,1.0,1415.6
