0,1,2,3,4,5,6
9.350000000000001,10.0,7.0,1.0,0.5,1.0,3394.1
10.75,50.0,365.0,2.0,0.5,1.0,3113.6
46.730000000000004,50.0,7.0,2.0,0.5,1.0,3121.2
15.38,20.0,30.0,2.0,0.5,1.0,3461.5
49.91,50.0,180.0,1.0,0.5,1.0,2818.7
36.63,50.0,365.0,1.0,0.5,1.0,2467.9
4.99,5.0,90.0,1.0,0.5,1.0,2640.6
49.99,50.0,7.0,1.0,0.5,1.0,1838.2
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2402.3
0.09,20.0,365.0,2.0,0.5,1.0,1819.5
4.24,5.0,180.0,1.0,0.5,1.0,2204.1
1.08,5.0,365.0,1.0,0.5,1.0,3156.5
19.93,20.0,365.0,1.0,0.5,1.0,2637.8
9.99,10.0,7.0,1.0,0.5,1.0,1687.6
49.65,50.0,7.0,1.0,0.5,1.0,1795.3
0.26,5.0,30.0,2.0,0.5,1.0,2031.3
4.85,5.0,30.0,1.0,0.5,1.0,2567.6
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2135.5
1.92,10.0,7.0,2.0,0.5,1.0,2302.5
3.57,10.0,180.0,1.0,0.5,1.0,2725.9
4.67,5.0,7.0,1.0,0.5,1.0,2382.4
0.53,10.0,30.0,2.0,0.5,1.0,1647.8
9.62,50.0,7.0,2.0,0.5,1.0,2233.7
19.99,20.0,30.0,1.0,0.5,1.0,1849.9
3.66,5.0,365.0,1.0,0.5,1.0,1939.9
0.09,5.0,90.0,2.0,0.5,1.0,2120.4
0.36,20.0,90.0,2.0,0.5,1.0,1851.8
2.63,5.0,90.0,2.0,0.5,1.0,2140.8
0.02,5.0,365.0,2.0,0.5,1.0,2216.0
16.95,20.0,180.0,1.0,0.5,1.0,1915.5
9.99,10.0,90.0,1.0,0.5,1.0,2065.7
17.86,50.0,180.0,2.0,0.5,1.0,2356.8
0.23,50.0,365.0,2.0,0.5,1.0,1327.4
8.47,10.0,180.0,1.0,0.5,1.0,1813.9
49.99,50.0,30.0,1.0,0.5,1.0,1677.7
2.63,50.0,30.0,2.0,0.5,1.0,1621.4
38.46,50.0,30.0,1.0,0.5,1.0,1789.0
14.65,20.0,365.0,1.0,0.5,1.0,1691.3
0.09,10.0,180.0,2.0,0.5,1.0,1733.2
19.99,20.0,7.0,1.0,0.5,1.0,1405.6
9.98,10.0,180.0,1.0,0.5,1.0,2184.4
9.93,10.0,7.0,1.0,0.5,1.0,2104.2
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1825.9
4.99,5.0,180.0,1.0,0.5,1.0,1567.4
7.33,10.0,365.0,1.0,0.5,1.0,1321.0
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2134.2
49.96,50.0,90.0,1.0,0.5,1.0,1509.4
42.37,50.0,180.0,1.0,0.5,1.0,1732.2
4.59,5.0,90.0,1.0,0.5,1.0,1823.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1748.2
2.15,10.0,365.0,2.0,0.5,1.0,1613.5
0.18,10.0,90.0,2.0,0.5,1.0,1355.9
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1847.4
0.05,5.0,180.0,2.0,0.5,1.0,1109.0
0.05,10.0,365.0,2.0,0.5,1.0,1249.4
4.99,5.0,30.0,1.0,0.5,1.0,1299.0
4.3,20.0,365.0,2.0,0.5,1.0,1285.5
4.99,5.0,7.0,1.0,0.5,1.0,1208.3
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1504.6
1.05,20.0,30.0,2.0,0.5,1.0,1420.4
26.32,50.0,90.0,2.0,0.5,1.0,1772.2
4.98,5.0,365.0,1.0,0.5,1.0,1556.8
49.82,50.0,365.0,1.0,0.5,1.0,1195.5
9.17,10.0,90.0,1.0,0.5,1.0,1737.5
48.54,50.0,30.0,1.0,0.5,1.0,1662.1
0.46,50.0,180.0,2.0,0.5,1.0,1814.0
19.86,20.0,7.0,1.0,0.5,1.0,2897.2
7.14,20.0,180.0,2.0,0.5,1.0,1606.4
0.91,50.0,90.0,2.0,0.5,1.0,1260.6
9.96,10.0,365.0,1.0,0.5,1.0,1329.1
10.53,20.0,90.0,2.0,0.5,1.0,1678.0
9.99,10.0,30.0,2.0,0.5,1.0,2374.7
1.79,5.0,180.0,2.0,0.5,1.0,1879.3
18.69,20.0,7.0,1.0,0.5,1.0,1725.0
5.26,10.0,90.0,2.0,0.5,1.0,2050.0
45.87,50.0,90.0,1.0,0.5,1.0,1532.1
18.35,20.0,90.0,1.0,0.5,1.0,2370.7
0.18,20.0,180.0,2.0,0.5,1.0,1736.0
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2071.7
0.96,5.0,7.0,2.0,0.5,1.0,1784.4
