0,1,2,3,4,5,6
8.47,10.0,180.0,1.0,0.5,1.0,2393.8
3.66,5.0,365.0,1.0,0.5,1.0,2225.9
4.59,5.0,90.0,1.0,0.5,1.0,2976.5
2.63,5.0,90.0,1.0,0.5,1.0,2051.0
42.37,50.0,180.0,1.0,0.5,1.0,2779.2
9.96,10.0,365.0,1.0,0.5,1.0,1997.2
0.18,10.0,90.0,2.0,0.5,1.0,3157.4
45.87,50.0,90.0,1.0,0.5,1.0,3231.5
0.23,50.0,365.0,2.0,0.5,1.0,2128.5
4.99,5.0,180.0,1.0,0.5,1.0,2573.1
1.05,20.0,30.0,2.0,0.5,1.0,2139.9
3.57,10.0,180.0,1.0,0.5,1.0,2080.4
49.82,50.0,365.0,1.0,0.5,1.0,2183.4
4.99,5.0,7.0,1.0,0.5,1.0,1928.0
19.99,20.0,7.0,1.0,0.5,1.0,3025.6
0.18,20.0,180.0,2.0,0.5,1.0,2052.4
7.14,20.0,180.0,1.0,0.5,1.0,2166.4
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2067.0
4.3,20.0,365.0,1.0,0.5,1.0,3056.4
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2019.9
9.93,10.0,7.0,1.0,0.5,1.0,2904.2
7.33,10.0,365.0,1.0,0.5,1.0,1982.4
0.96,5.0,7.0,2.0,0.5,1.0,3631.1
18.35,20.0,90.0,1.0,0.5,1.0,2099.9
0.46,50.0,180.0,2.0,0.5,1.0,3008.3
1.92,10.0,7.0,2.0,0.5,1.0,2020.2
49.65,50.0,7.0,1.0,0.5,1.0,2607.7
26.32,50.0,90.0,1.0,0.5,1.0,2910.7
17.86,50.0,180.0,1.0,0.5,1.0,2934.1
49.96,50.0,90.0,1.0,0.5,1.0,2759.0
10.53,20.0,90.0,1.0,0.5,1.0,2180.6
1.08,5.0,365.0,1.0,0.5,1.0,1799.8
15.38,20.0,30.0,1.0,0.5,1.0,2310.4
16.95,20.0,180.0,1.0,0.5,1.0,1880.8
0.05,10.0,365.0,2.0,0.5,1.0,2565.8
0.53,10.0,30.0,2.0,0.5,1.0,2580.2
48.54,50.0,30.0,1.0,0.5,1.0,1794.2
4.85,5.0,30.0,1.0,0.5,1.0,1857.8
2.63,50.0,30.0,1.0,0.5,1.0,2250.4
4.98,5.0,365.0,1.0,0.5,1.0,3206.1
9.17,10.0,90.0,1.0,0.5,1.0,2994.2
19.99,20.0,30.0,1.0,0.5,1.0,1511.5
49.91,50.0,180.0,1.0,0.5,1.0,1973.2
4.99,5.0,30.0,1.0,0.5,1.0,1451.7
0.05,5.0,180.0,2.0,0.5,1.0,1861.6
9.62,50.0,7.0,2.0,0.5,1.0,2555.6
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2594.4
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2290.6
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2302.8
0.26,5.0,30.0,2.0,0.5,1.0,2084.2
0.09,20.0,365.0,2.0,0.5,1.0,1774.4
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1567.3
9.99,10.0,7.0,1.0,0.5,1.0,2083.3
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1217.8
49.99,50.0,30.0,1.0,0.5,1.0,1299.1
38.46,50.0,30.0,1.0,0.5,1.0,1680.7
1.79,5.0,180.0,1.0,0.5,1.0,1711.0
9.99,10.0,90.0,1.0,0.5,1.0,2828.2
19.93,20.0,365.0,1.0,0.5,1.0,1877.2
5.26,10.0,90.0,1.0,0.5,1.0,1949.3
4.24,5.0,180.0,1.0,0.5,1.0,2943.1
9.99,10.0,30.0,1.0,0.5,1.0,1298.3
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1929.4
4.67,5.0,7.0,1.0,0.5,1.0,1599.4
9.98,10.0,180.0,1.0,0.5,1.0,1532.5
2.15,10.0,365.0,1.0,0.5,1.0,2246.5
18.69,20.0,7.0,1.0,0.5,1.0,1563.7
0.09,10.0,180.0,2.0,0.5,1.0,1775.8
36.63,50.0,365.0,1.0,0.5,1.0,1648.9
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2166.1
0.09,5.0,90.0,2.0,0.5,1.0,1519.4
0.91,50.0,90.0,2.0,0.5,1.0,2486.1
10.75,50.0,365.0,1.0,0.5,1.0,2469.0
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2168.1
14.65,20.0,365.0,1.0,0.5,1.0,1988.7
0.36,20.0,90.0,2.0,0.5,1.0,1774.8
4.99,5.0,90.0,1.0,0.5,1.0,1958.1
0.02,5.0,365.0,2.0,0.5,1.0,1694.9
49.99,50.0,7.0,1.0,0.5,1.0,1331.4
19.86,20.0,7.0,1.0,0.5,1.0,1294.6
