0,1,2,3,4,5,6
18.35,20.0,90.0,1.0,0.5,1.0,3413.6
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2958.2
0.05,10.0,365.0,2.0,0.5,1.0,2325.5
1.05,20.0,30.0,2.0,0.5,1.0,1885.2
49.99,50.0,30.0,1.0,0.5,1.0,2097.5
0.91,50.0,90.0,2.0,0.5,1.0,1782.5
4.24,5.0,180.0,1.0,0.5,1.0,2449.6
49.96,50.0,90.0,1.0,0.5,1.0,2206.7
2.63,5.0,90.0,2.0,0.5,1.0,4274.3
0.46,50.0,180.0,2.0,0.5,1.0,2803.3
45.87,50.0,90.0,1.0,0.5,1.0,1662.5
17.86,50.0,180.0,2.0,0.5,1.0,5623.1
0.09,10.0,180.0,2.0,0.5,1.0,2241.6
16.95,20.0,180.0,1.0,0.5,1.0,2708.1
3.57,10.0,180.0,2.0,0.5,1.0,2946.2
5.26,10.0,90.0,1.0,0.5,1.0,3669.9
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2210.0
1.92,10.0,7.0,2.0,0.5,1.0,2748.5
0.09,20.0,365.0,2.0,0.5,1.0,1948.9
49.65,50.0,7.0,1.0,0.5,1.0,2168.2
38.46,50.0,30.0,2.0,0.5,1.0,7197.8
49.91,50.0,180.0,1.0,0.5,1.0,2735.3
7.14,20.0,180.0,2.0,0.5,1.0,4464.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2240.4
2.63,50.0,30.0,2.0,0.5,1.0,2498.5
0.23,50.0,365.0,2.0,0.5,1.0,2495.4
19.86,20.0,7.0,1.0,0.5,1.0,2548.4
9.17,10.0,90.0,1.0,0.5,1.0,2356.3
3.66,5.0,365.0,1.0,0.5,1.0,2818.7
10.53,20.0,90.0,2.0,0.5,1.0,3909.0
9.62,50.0,7.0,2.0,0.5,1.0,2833.7
4.99,5.0,30.0,1.0,0.5,1.0,2513.2
0.18,20.0,180.0,2.0,0.5,1.0,1908.0
14.65,20.0,365.0,1.0,0.5,1.0,2551.5
4.99,5.0,90.0,1.0,0.5,1.0,2350.2
9.98,10.0,180.0,1.0,0.5,1.0,3775.6
4.98,5.0,365.0,1.0,0.5,1.0,2242.1
4.85,5.0,30.0,1.0,0.5,1.0,2014.9
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2393.4
26.32,50.0,90.0,2.0,0.5,1.0,3850.9
9.99,10.0,30.0,1.0,0.5,1.0,3366.5
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,4199.9
9.93,10.0,7.0,1.0,0.5,1.0,2163.8
4.99,5.0,7.0,1.0,0.5,1.0,1696.9
0.09,5.0,90.0,2.0,0.5,1.0,3062.3
49.99,50.0,7.0,1.0,0.5,1.0,2157.7
4.3,20.0,365.0,2.0,0.5,1.0,3264.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2031.7
4.59,5.0,90.0,1.0,0.5,1.0,2568.6
15.38,20.0,30.0,2.0,0.5,1.0,5452.1
0.02,5.0,365.0,2.0,0.5,1.0,2011.2
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2712.4
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1768.2
0.26,5.0,30.0,2.0,0.5,1.0,2496.3
7.33,10.0,365.0,1.0,0.5,1.0,3077.9
19.99,20.0,7.0,1.0,0.5,1.0,1954.7
0.53,10.0,30.0,2.0,0.5,1.0,2647.5
48.54,50.0,30.0,1.0,0.5,1.0,1797.6
2.15,10.0,365.0,2.0,0.5,1.0,2939.7
9.99,10.0,90.0,1.0,0.5,1.0,1987.0
42.37,50.0,180.0,1.0,0.5,1.0,4120.3
18.69,20.0,7.0,1.0,0.5,1.0,1896.4
19.93,20.0,365.0,1.0,0.5,1.0,2048.6
10.75,50.0,365.0,2.0,0.5,1.0,3397.9
0.36,20.0,90.0,2.0,0.5,1.0,2442.4
8.47,10.0,180.0,1.0,0.5,1.0,2543.7
4.67,5.0,7.0,1.0,0.5,1.0,2268.3
19.99,20.0,30.0,1.0,0.5,1.0,1810.4
4.99,5.0,180.0,1.0,0.5,1.0,2674.7
0.96,5.0,7.0,2.0,0.5,1.0,2863.3
9.96,10.0,365.0,1.0,0.5,1.0,2132.0
0.18,10.0,90.0,2.0,0.5,1.0,3007.7
49.82,50.0,365.0,1.0,0.5,1.0,2143.1
1.79,5.0,180.0,2.0,0.5,1.0,3928.6
36.63,50.0,365.0,1.0,0.5,1.0,3573.5
9.99,10.0,7.0,1.0,0.5,1.0,2179.8
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2838.9
0.05,5.0,180.0,2.0,0.5,1.0,2619.3
1.08,5.0,365.0,2.0,0.5,1.0,4876.8
46.730000000000004,50.0,7.0,2.0,0.5,1.0,3999.4
