0,1,2,3,4,5,6
4.3,20.0,365.0,2.0,0.5,1.0,1650.1
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1160.2
1.92,10.0,7.0,2.0,0.5,1.0,986.3
49.82,50.0,365.0,1.0,0.5,1.0,1826.3
10.53,20.0,90.0,2.0,0.5,1.0,1483.7
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1773.7
49.91,50.0,180.0,1.0,0.5,1.0,2218.3
15.38,20.0,30.0,2.0,0.5,1.0,1546.6
17.86,50.0,180.0,2.0,0.5,1.0,1285.0
0.02,5.0,365.0,2.0,0.5,1.0,2730.0
3.57,10.0,180.0,2.0,0.5,1.0,1344.1
0.18,10.0,90.0,2.0,0.5,1.0,1359.9
49.99,50.0,7.0,1.0,0.5,1.0,1831.6
18.69,20.0,7.0,2.0,0.5,1.0,1715.5
1.79,5.0,180.0,2.0,0.5,1.0,1528.0
9.709999999999999,10.0,30.0,2.0,0.5,1.0,1959.3
0.36,20.0,90.0,2.0,0.5,1.0,1201.2
0.09,10.0,180.0,2.0,0.5,1.0,1099.7
9.98,10.0,180.0,1.0,0.5,1.0,2119.8
8.47,10.0,180.0,2.0,0.5,1.0,1078.3
0.23,50.0,365.0,2.0,0.5,1.0,1067.3
9.99,10.0,90.0,1.0,0.5,1.0,1306.5
0.46,50.0,180.0,2.0,0.5,1.0,985.3000002
0.18,20.0,180.0,2.0,0.5,1.0,999.7
19.99,20.0,30.0,1.0,0.5,1.0,1618.3
7.33,10.0,365.0,2.0,0.5,1.0,1413.8
0.09,5.0,90.0,2.0,0.5,1.0,1326.9
14.65,20.0,365.0,2.0,0.5,1.0,1238.7
0.96,5.0,7.0,2.0,0.5,1.0,1729.0
45.87,50.0,90.0,2.0,0.5,1.0,2464.3
18.35,20.0,90.0,2.0,0.5,1.0,2200.9
4.98,5.0,365.0,1.0,0.5,1.0,1957.7
0.91,50.0,90.0,2.0,0.5,1.0,1190.4
1.08,5.0,365.0,2.0,0.5,1.0,1327.8
7.14,20.0,180.0,2.0,0.5,1.0,1901.0
9.99,10.0,7.0,1.0,0.5,1.0,1862.1
49.96,50.0,90.0,2.0,0.5,1.0,1660.5
0.05,5.0,180.0,2.0,0.5,1.0,1367.9
42.37,50.0,180.0,2.0,0.5,1.0,1441.4
9.96,10.0,365.0,1.0,0.5,1.0,1835.7
19.99,20.0,7.0,1.0,0.5,1.0,1459.8
4.99,5.0,7.0,1.0,0.5,1.0,2480.0
5.26,10.0,90.0,2.0,0.5,1.0,1359.1
4.67,5.0,7.0,2.0,0.5,1.0,2102.0
16.95,20.0,180.0,2.0,0.5,1.0,1334.0
4.85,5.0,30.0,2.0,0.5,1.0,1766.9
9.99,10.0,30.0,1.0,0.5,1.0,2501.0
49.65,50.0,7.0,2.0,0.5,1.0,1877.2
19.93,20.0,365.0,1.0,0.5,1.0,1453.9
9.93,10.0,7.0,2.0,0.5,1.0,2187.4
4.24,5.0,180.0,2.0,0.5,1.0,2255.6
2.63,50.0,30.0,2.0,0.5,1.0,1494.9
4.970000000000001,5.0,7.0,2.0,0.5,1.0,1443.4
48.54,50.0,30.0,2.0,0.5,1.0,1861.5
49.99,50.0,30.0,2.0,0.5,1.0,1558.5
4.99,5.0,30.0,1.0,0.5,1.0,2270.7
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1366.3
2.15,10.0,365.0,2.0,0.5,1.0,1259.3
10.75,50.0,365.0,2.0,0.5,1.0,2450.1
3.66,5.0,365.0,2.0,0.5,1.0,1446.7
0.26,5.0,30.0,2.0,0.5,1.0,1286.6
38.46,50.0,30.0,2.0,0.5,1.0,1088.5
26.32,50.0,90.0,2.0,0.5,1.0,1470.3
9.17,10.0,90.0,2.0,0.5,1.0,1242.6
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1484.2
19.86,20.0,7.0,2.0,0.5,1.0,1327.9
19.419999999999998,20.0,30.0,2.0,0.5,1.0,1479.8
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1283.8
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1793.2
1.05,20.0,30.0,2.0,0.5,1.0,1042.7
4.99,5.0,90.0,1.0,0.5,1.0,1752.4
9.62,50.0,7.0,2.0,0.5,1.0,2516.7
36.63,50.0,365.0,2.0,0.5,1.0,1569.7
0.09,20.0,365.0,2.0,0.5,1.0,1079.2
4.99,5.0,180.0,2.0,0.5,1.0,1151.2
0.05,10.0,365.0,2.0,0.5,1.0,1305.0
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1046.6
4.59,5.0,90.0,1.0,0.5,1.0,1918.0
2.63,5.0,90.0,2.0,0.5,1.0,938.1999998
0.53,10.0,30.0,2.0,0.5,1.0,935.8000002
