0,1,2,3,4,5,6
3.66,5.0,365.0,2.0,0.5,1.0,2442.9
9.62,50.0,7.0,2.0,0.5,1.0,1531.8
45.87,50.0,90.0,2.0,0.5,1.0,1852.3
9.96,10.0,365.0,1.0,0.5,1.0,1677.9
3.57,10.0,180.0,2.0,0.5,1.0,1975.9
19.86,20.0,7.0,2.0,0.5,1.0,2794.7
0.09,5.0,90.0,2.0,0.5,1.0,1821.6
9.99,10.0,90.0,1.0,0.5,1.0,1609.0
1.79,5.0,180.0,2.0,0.5,1.0,2042.1
2.63,5.0,90.0,2.0,0.5,1.0,1340.7
1.05,20.0,30.0,2.0,0.5,1.0,1574.0
4.67,5.0,7.0,1.0,0.5,1.0,1499.5
9.99,10.0,7.0,1.0,0.5,1.0,1342.3
0.53,10.0,30.0,2.0,0.5,1.0,1192.9
0.26,5.0,30.0,2.0,0.5,1.0,1179.5
10.53,20.0,90.0,0.0,0.5,1.0,
49.65,50.0,7.0,0.0,0.5,1.0,
0.05,10.0,365.0,2.0,0.5,1.0,3809.4
4.3,20.0,365.0,2.0,0.5,1.0,1352.7
19.99,20.0,7.0,1.0,0.5,1.0,1562.8
42.37,50.0,180.0,2.0,0.5,1.0,1181.5
9.98,10.0,180.0,1.0,0.5,1.0,1369.1
7.33,10.0,365.0,2.0,0.5,1.0,954.8
9.17,10.0,90.0,1.0,0.5,1.0,2988.9
4.99,5.0,7.0,2.0,0.5,1.0,1000.8
14.65,20.0,365.0,1.0,0.5,1.0,2746.9
0.96,5.0,7.0,2.0,0.5,1.0,1134.3
18.35,20.0,90.0,1.0,0.5,1.0,1528.2
26.32,50.0,90.0,2.0,0.5,1.0,1451.7
0.46,50.0,180.0,2.0,0.5,1.0,1341.2
0.18,10.0,90.0,2.0,0.5,1.0,1161.3
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2172.0
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2109.9
38.46,50.0,30.0,2.0,0.5,1.0,1256.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1515.3
4.99,5.0,30.0,1.0,0.5,1.0,955.2
19.99,20.0,30.0,1.0,0.5,1.0,1694.9
0.18,20.0,180.0,2.0,0.5,1.0,1016.0
48.54,50.0,30.0,2.0,0.5,1.0,2857.1
49.82,50.0,365.0,1.0,0.5,1.0,1132.1
0.09,20.0,365.0,2.0,0.5,1.0,1038.1
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1164.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1160.3
4.98,5.0,365.0,1.0,0.5,1.0,1067.6
0.02,5.0,365.0,2.0,0.5,1.0,1115.4
10.75,50.0,365.0,2.0,0.5,1.0,1645.8
0.91,50.0,90.0,2.0,0.5,1.0,856.9
36.63,50.0,365.0,1.0,0.5,1.0,2011.0
9.93,10.0,7.0,1.0,0.5,1.0,1166.3
0.05,5.0,180.0,2.0,0.5,1.0,1273.5
5.26,10.0,90.0,2.0,0.5,1.0,1562.7
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1501.5
4.99,5.0,180.0,1.0,0.5,1.0,1513.2
8.47,10.0,180.0,1.0,0.5,1.0,2059.7
19.93,20.0,365.0,1.0,0.5,1.0,1182.0
9.99,10.0,30.0,1.0,0.5,1.0,1111.9
2.63,50.0,30.0,2.0,0.5,1.0,1211.6
49.91,50.0,180.0,1.0,0.5,1.0,1163.4
4.99,5.0,90.0,1.0,0.5,1.0,1007.0
49.99,50.0,30.0,1.0,0.5,1.0,1288.8
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,922.6
0.36,20.0,90.0,2.0,0.5,1.0,940.1
0.23,50.0,365.0,2.0,0.5,1.0,1297.3
4.59,5.0,90.0,1.0,0.5,1.0,1801.7
7.14,20.0,180.0,2.0,0.5,1.0,1466.7
17.86,50.0,180.0,2.0,0.5,1.0,1165.4
4.85,5.0,30.0,1.0,0.5,1.0,1257.1
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1738.7
18.69,20.0,7.0,2.0,0.5,1.0,2381.6
49.99,50.0,7.0,1.0,0.5,1.0,1062.3
4.24,5.0,180.0,1.0,0.5,1.0,1707.5
1.08,5.0,365.0,2.0,0.5,1.0,1902.2
2.15,10.0,365.0,2.0,0.5,1.0,921.2
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1882.1
15.38,20.0,30.0,2.0,0.5,1.0,1534.1
1.92,10.0,7.0,2.0,0.5,1.0,936.2
16.95,20.0,180.0,2.0,0.5,1.0,1227.7
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1547.7
49.96,50.0,90.0,1.0,0.5,1.0,1230.5
0.09,10.0,180.0,2.0,0.5,1.0,1096.2
