0,1,2,3,4,5,6
19.419999999999998,20.0,30.0,2.0,0.5,1.0,1146.0
1.05,20.0,30.0,2.0,0.5,1.0,1416.0
16.95,20.0,180.0,1.0,0.5,1.0,1350.0
4.24,5.0,180.0,1.0,0.5,1.0,1423.0
5.26,10.0,90.0,2.0,0.5,1.0,1616.0
1.79,5.0,180.0,1.0,0.5,1.0,1162.0
1.92,10.0,7.0,2.0,0.5,1.0,1032.0
0.09,5.0,90.0,2.0,0.5,1.0,2086.0
4.3,20.0,365.0,1.0,0.5,1.0,2092.0
9.99,10.0,7.0,2.0,0.5,1.0,1481.0
0.96,5.0,7.0,1.0,0.5,1.0,1820.0
14.65,20.0,365.0,1.0,0.5,1.0,1483.0
26.32,50.0,90.0,2.0,0.5,1.0,2114.0
4.99,5.0,7.0,1.0,0.5,1.0,1528.0
38.46,50.0,30.0,1.0,0.5,1.0,1280.0
3.66,5.0,365.0,1.0,0.5,1.0,1978.0
15.38,20.0,30.0,1.0,0.5,1.0,1257.0
0.23,50.0,365.0,2.0,0.5,1.0,1394.0
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1373.0
3.57,10.0,180.0,1.0,0.5,1.0,1665.0
0.91,50.0,90.0,1.0,0.5,1.0,1464.0
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1326.0
0.46,50.0,180.0,1.0,0.5,1.0,985.0
48.54,50.0,30.0,2.0,0.5,1.0,986.0
4.59,5.0,90.0,2.0,0.5,1.0,1368.0
0.05,10.0,365.0,1.0,0.5,1.0,1410.0
49.65,50.0,7.0,2.0,0.5,1.0,1122.0
9.99,10.0,90.0,2.0,0.5,1.0,1496.0
8.47,10.0,180.0,1.0,0.5,1.0,1121.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1213.0
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1169.0
4.85,5.0,30.0,1.0,0.5,1.0,1122.0
0.09,10.0,180.0,1.0,0.5,1.0,921.0
19.99,20.0,30.0,1.0,0.5,1.0,985.0
1.08,5.0,365.0,2.0,0.5,1.0,1278.0
4.67,5.0,7.0,1.0,0.5,1.0,944.0
0.18,10.0,90.0,1.0,0.5,1.0,831.0
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1325.0
49.96,50.0,90.0,1.0,0.5,1.0,976.0
4.970000000000001,5.0,7.0,1.0,0.5,1.0,876.0
2.63,50.0,30.0,1.0,0.5,1.0,1664.0
0.05,5.0,180.0,1.0,0.5,1.0,805.0
19.93,20.0,365.0,1.0,0.5,1.0,943.0
49.91,50.0,180.0,1.0,0.5,1.0,967.0
10.53,20.0,90.0,1.0,0.5,1.0,964.0
0.36,20.0,90.0,1.0,0.5,1.0,1122.0
9.62,50.0,7.0,1.0,0.5,1.0,785.0
9.98,10.0,180.0,1.0,0.5,1.0,773.0
7.33,10.0,365.0,1.0,0.5,1.0,829.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,872.0
9.93,10.0,7.0,1.0,0.5,1.0,760.0
9.99,10.0,30.0,1.0,0.5,1.0,1530.0
0.09,20.0,365.0,2.0,0.5,1.0,1238.0
0.53,10.0,30.0,2.0,0.5,1.0,1286.0
4.99,5.0,90.0,1.0,0.5,1.0,1843.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1124.0
7.14,20.0,180.0,1.0,0.5,1.0,1348.0
45.87,50.0,90.0,1.0,0.5,1.0,1865.0
0.26,5.0,30.0,1.0,0.5,1.0,1417.0
49.99,50.0,7.0,1.0,0.5,1.0,1347.0
4.99,5.0,30.0,1.0,0.5,1.0,788.0
42.37,50.0,180.0,1.0,0.5,1.0,1213.0
10.75,50.0,365.0,1.0,0.5,1.0,1594.0
4.99,5.0,180.0,1.0,0.5,1.0,1187.0
19.86,20.0,7.0,1.0,0.5,1.0,1041.0
4.98,5.0,365.0,1.0,0.5,1.0,1086.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1449.0
49.82,50.0,365.0,1.0,0.5,1.0,1843.0
9.17,10.0,90.0,1.0,0.5,1.0,1023.0
49.99,50.0,30.0,1.0,0.5,1.0,899.0
2.15,10.0,365.0,1.0,0.5,1.0,741.0
17.86,50.0,180.0,1.0,0.5,1.0,629.0
0.02,5.0,365.0,1.0,0.5,1.0,752.0
2.63,5.0,90.0,1.0,0.5,1.0,1257.0
18.69,20.0,7.0,1.0,0.5,1.0,1006.0
19.99,20.0,7.0,1.0,0.5,1.0,923.0
18.35,20.0,90.0,1.0,0.5,1.0,1143.0
9.96,10.0,365.0,1.0,0.5,1.0,717.0
36.63,50.0,365.0,1.0,0.5,1.0,1448.0
0.18,20.0,180.0,2.0,0.5,1.0,1704.0
