0,1,2,3,4,5,6
8.47,10.0,180.0,1.0,0.5,1.0,4670.0
1.92,10.0,7.0,2.0,0.5,1.0,4905.6
36.63,50.0,365.0,1.0,0.5,1.0,2929.1
7.33,10.0,365.0,1.0,0.5,1.0,2379.6
4.99,5.0,90.0,1.0,0.5,1.0,3085.9
0.53,10.0,30.0,2.0,0.5,1.0,3095.2
9.96,10.0,365.0,1.0,0.5,1.0,2391.3
0.26,5.0,30.0,2.0,0.5,1.0,2711.9
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,4660.0
10.53,20.0,90.0,2.0,0.5,1.0,1704.6
4.99,5.0,30.0,1.0,0.5,1.0,2085.8
0.05,5.0,180.0,2.0,0.5,1.0,2197.7
1.79,5.0,180.0,2.0,0.5,1.0,2824.4
2.63,5.0,90.0,2.0,0.5,1.0,3068.0
4.3,20.0,365.0,2.0,0.5,1.0,2690.6
4.24,5.0,180.0,1.0,0.5,1.0,1589.3
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1443.5
19.99,20.0,7.0,1.0,0.5,1.0,2106.3
3.57,10.0,180.0,2.0,0.5,1.0,2193.9
9.99,10.0,90.0,1.0,0.5,1.0,1937.1
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1848.8
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1503.3
0.96,5.0,7.0,2.0,0.5,1.0,1198.3
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1491.5
0.18,10.0,90.0,2.0,0.5,1.0,1290.1
4.85,5.0,30.0,1.0,0.5,1.0,1364.5
49.99,50.0,30.0,1.0,0.5,1.0,1104.6
9.99,10.0,30.0,1.0,0.5,1.0,1611.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1193.7
45.87,50.0,90.0,1.0,0.5,1.0,1291.9
10.75,50.0,365.0,2.0,0.5,1.0,1400.1
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1398.0
9.17,10.0,90.0,1.0,0.5,1.0,1183.7
26.32,50.0,90.0,2.0,0.5,1.0,1858.6
18.35,20.0,90.0,1.0,0.5,1.0,1890.9
5.26,10.0,90.0,2.0,0.5,1.0,2501.6
0.05,10.0,365.0,2.0,0.5,1.0,1298.0
1.08,5.0,365.0,2.0,0.5,1.0,1581.8
3.66,5.0,365.0,1.0,0.5,1.0,5148.8
9.350000000000001,10.0,7.0,1.0,0.5,1.0,3774.5
4.99,5.0,7.0,1.0,0.5,1.0,2262.5
14.65,20.0,365.0,1.0,0.5,1.0,2206.2
49.82,50.0,365.0,1.0,0.5,1.0,1405.6
9.99,10.0,7.0,1.0,0.5,1.0,1151.4
0.09,20.0,365.0,2.0,0.5,1.0,1120.4
16.95,20.0,180.0,1.0,0.5,1.0,2886.9
2.63,50.0,30.0,2.0,0.5,1.0,1459.0
49.91,50.0,180.0,1.0,0.5,1.0,2047.0
9.98,10.0,180.0,1.0,0.5,1.0,1253.2
0.18,20.0,180.0,2.0,0.5,1.0,1744.5
42.37,50.0,180.0,1.0,0.5,1.0,2839.7
9.62,50.0,7.0,2.0,0.5,1.0,1818.6
0.09,5.0,90.0,2.0,0.5,1.0,2512.2
0.91,50.0,90.0,2.0,0.5,1.0,1710.7
19.99,20.0,30.0,1.0,0.5,1.0,1434.5
0.23,50.0,365.0,2.0,0.5,1.0,1509.7
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1660.2
38.46,50.0,30.0,2.0,0.5,1.0,2046.2
49.99,50.0,7.0,1.0,0.5,1.0,1385.1
19.93,20.0,365.0,1.0,0.5,1.0,2122.4
17.86,50.0,180.0,2.0,0.5,1.0,1939.6
18.69,20.0,7.0,1.0,0.5,1.0,1192.9
0.02,5.0,365.0,2.0,0.5,1.0,1758.6
0.46,50.0,180.0,2.0,0.5,1.0,1190.1
19.86,20.0,7.0,1.0,0.5,1.0,1106.4
7.14,20.0,180.0,2.0,0.5,1.0,1666.2
4.98,5.0,365.0,1.0,0.5,1.0,1274.7
0.36,20.0,90.0,2.0,0.5,1.0,1248.6
4.67,5.0,7.0,1.0,0.5,1.0,1339.4
49.96,50.0,90.0,1.0,0.5,1.0,1243.5
2.15,10.0,365.0,2.0,0.5,1.0,1048.1
1.05,20.0,30.0,2.0,0.5,1.0,1369.6
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2098.9
4.99,5.0,180.0,1.0,0.5,1.0,1405.9
15.38,20.0,30.0,2.0,0.5,1.0,2460.9
49.65,50.0,7.0,1.0,0.5,1.0,1616.5
48.54,50.0,30.0,1.0,0.5,1.0,2959.0
0.09,10.0,180.0,2.0,0.5,1.0,2029.6
9.93,10.0,7.0,1.0,0.5,1.0,2713.2
4.59,5.0,90.0,1.0,0.5,1.0,1400.3
