0,1,2,3,4,5,6
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2098.3
0.09,5.0,90.0,2.0,0.5,1.0,1837.9
49.99,50.0,7.0,1.0,0.5,1.0,2347.5
0.46,50.0,180.0,2.0,0.5,1.0,1809.4
0.02,5.0,365.0,2.0,0.5,1.0,2199.2
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1669.0
49.65,50.0,7.0,2.0,0.5,1.0,2139.6
2.63,5.0,90.0,1.0,0.5,1.0,1770.4
1.05,20.0,30.0,2.0,0.5,1.0,1390.1
5.26,10.0,90.0,2.0,0.5,1.0,1536.3
10.75,50.0,365.0,2.0,0.5,1.0,1493.0
49.91,50.0,180.0,2.0,0.5,1.0,2380.4
9.93,10.0,7.0,1.0,0.5,1.0,2403.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1898.1
49.99,50.0,30.0,1.0,0.5,1.0,1608.1
16.95,20.0,180.0,1.0,0.5,1.0,2141.5
10.53,20.0,90.0,1.0,0.5,1.0,2578.5
1.92,10.0,7.0,2.0,0.5,1.0,1840.4
4.85,5.0,30.0,1.0,0.5,1.0,1617.3
0.05,10.0,365.0,2.0,0.5,1.0,1526.6
38.46,50.0,30.0,2.0,0.5,1.0,3334.9
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2035.1
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1791.7
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1842.2
0.26,5.0,30.0,2.0,0.5,1.0,1543.2
17.86,50.0,180.0,2.0,0.5,1.0,2013.5
4.99,5.0,180.0,1.0,0.5,1.0,1737.8
0.09,20.0,365.0,2.0,0.5,1.0,1578.8
4.98,5.0,365.0,1.0,0.5,1.0,1882.5
0.91,50.0,90.0,2.0,0.5,1.0,1968.3
19.419999999999998,20.0,30.0,2.0,0.5,1.0,1642.3
8.47,10.0,180.0,1.0,0.5,1.0,2041.0
0.05,5.0,180.0,2.0,0.5,1.0,1407.5
49.96,50.0,90.0,1.0,0.5,1.0,1251.6
49.82,50.0,365.0,1.0,0.5,1.0,1055.0
1.79,5.0,180.0,1.0,0.5,1.0,2032.1
1.08,5.0,365.0,1.0,0.5,1.0,1816.3
42.37,50.0,180.0,1.0,0.5,1.0,2037.3
0.53,10.0,30.0,2.0,0.5,1.0,1532.2
4.24,5.0,180.0,1.0,0.5,1.0,1572.2
26.32,50.0,90.0,2.0,0.5,1.0,1935.0
19.99,20.0,30.0,1.0,0.5,1.0,1734.4
48.54,50.0,30.0,1.0,0.5,1.0,1096.3
15.38,20.0,30.0,2.0,0.5,1.0,2529.7
4.99,5.0,90.0,1.0,0.5,1.0,2070.9
3.66,5.0,365.0,1.0,0.5,1.0,1563.3
0.18,20.0,180.0,2.0,0.5,1.0,1489.7
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1577.7
4.3,20.0,365.0,2.0,0.5,1.0,2020.9
3.57,10.0,180.0,2.0,0.5,1.0,2025.9
14.65,20.0,365.0,1.0,0.5,1.0,2247.8
9.62,50.0,7.0,2.0,0.5,1.0,1558.4
0.96,5.0,7.0,2.0,0.5,1.0,1560.1
19.93,20.0,365.0,1.0,0.5,1.0,1361.2
36.63,50.0,365.0,2.0,0.5,1.0,2070.5
7.33,10.0,365.0,1.0,0.5,1.0,1956.9
0.36,20.0,90.0,2.0,0.5,1.0,1004.8
4.99,5.0,7.0,2.0,0.5,1.0,1829.9
19.99,20.0,7.0,2.0,0.5,1.0,3217.4
2.15,10.0,365.0,2.0,0.5,1.0,1465.8
45.87,50.0,90.0,1.0,0.5,1.0,2140.1
4.59,5.0,90.0,1.0,0.5,1.0,2003.4
18.35,20.0,90.0,1.0,0.5,1.0,1767.7
0.09,10.0,180.0,2.0,0.5,1.0,1496.7
9.98,10.0,180.0,1.0,0.5,1.0,3063.6
19.86,20.0,7.0,2.0,0.5,1.0,1630.3
9.709999999999999,10.0,30.0,2.0,0.5,1.0,3347.0
9.17,10.0,90.0,2.0,0.5,1.0,1906.5
4.99,5.0,30.0,1.0,0.5,1.0,2067.3
4.67,5.0,7.0,2.0,0.5,1.0,2983.0
0.18,10.0,90.0,2.0,0.5,1.0,1036.5
18.69,20.0,7.0,2.0,0.5,1.0,1161.0
9.96,10.0,365.0,1.0,0.5,1.0,1591.6
0.23,50.0,365.0,2.0,0.5,1.0,1025.0
2.63,50.0,30.0,2.0,0.5,1.0,1665.0
7.14,20.0,180.0,2.0,0.5,1.0,1214.3
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1904.0
9.99,10.0,90.0,1.0,0.5,1.0,1903.7
9.99,10.0,30.0,1.0,0.5,1.0,1395.5
9.99,10.0,7.0,1.0,0.5,1.0,1175.2
