0,1,2,3,4,5,6
18.35,20.0,90.0,1.0,0.5,1.0,2065.2
3.57,10.0,180.0,1.0,0.5,1.0,2250.1
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1788.4
9.99,10.0,7.0,1.0,0.5,1.0,1697.8
9.17,10.0,90.0,1.0,0.5,1.0,1583.2
36.63,50.0,365.0,1.0,0.5,1.0,1824.7
4.67,5.0,7.0,1.0,0.5,1.0,1557.5
0.46,50.0,180.0,2.0,0.5,1.0,4205.6
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,3689.5
17.86,50.0,180.0,1.0,0.5,1.0,2258.1
19.86,20.0,7.0,1.0,0.5,1.0,1622.9
18.69,20.0,7.0,1.0,0.5,1.0,1768.7
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1402.8
4.24,5.0,180.0,1.0,0.5,1.0,1525.3
14.65,20.0,365.0,1.0,0.5,1.0,1696.2
38.46,50.0,30.0,1.0,0.5,1.0,2078.3
49.82,50.0,365.0,1.0,0.5,1.0,1500.4
26.32,50.0,90.0,1.0,0.5,1.0,3301.0
19.99,20.0,30.0,1.0,0.5,1.0,1141.1
1.79,5.0,180.0,1.0,0.5,1.0,3015.1
15.38,20.0,30.0,1.0,0.5,1.0,1202.3
49.91,50.0,180.0,1.0,0.5,1.0,1549.5
4.85,5.0,30.0,1.0,0.5,1.0,1311.6
0.09,20.0,365.0,2.0,0.5,1.0,1617.7
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1437.1
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1860.1
9.96,10.0,365.0,1.0,0.5,1.0,953.2
48.54,50.0,30.0,1.0,0.5,1.0,1347.2
1.92,10.0,7.0,1.0,0.5,1.0,2044.6
0.18,10.0,90.0,2.0,0.5,1.0,1562.9
10.53,20.0,90.0,1.0,0.5,1.0,3221.6
49.99,50.0,7.0,1.0,0.5,1.0,1107.1
9.99,10.0,30.0,1.0,0.5,1.0,1315.9
0.02,5.0,365.0,2.0,0.5,1.0,1854.9
10.75,50.0,365.0,1.0,0.5,1.0,2708.8
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2643.5
0.05,5.0,180.0,2.0,0.5,1.0,2686.0
19.93,20.0,365.0,1.0,0.5,1.0,4044.6
7.14,20.0,180.0,1.0,0.5,1.0,4043.8
0.09,5.0,90.0,2.0,0.5,1.0,3377.7
9.93,10.0,7.0,1.0,0.5,1.0,1264.1
7.33,10.0,365.0,1.0,0.5,1.0,1167.9
45.87,50.0,90.0,1.0,0.5,1.0,1436.9
49.99,50.0,30.0,1.0,0.5,1.0,810.2
3.66,5.0,365.0,1.0,0.5,1.0,2114.0
16.95,20.0,180.0,1.0,0.5,1.0,957.2
2.63,50.0,30.0,2.0,0.5,1.0,4675.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1704.6
2.63,5.0,90.0,1.0,0.5,1.0,2230.4
0.09,10.0,180.0,2.0,0.5,1.0,1952.3
4.99,5.0,90.0,1.0,0.5,1.0,1037.7
42.37,50.0,180.0,1.0,0.5,1.0,1336.9
49.65,50.0,7.0,1.0,0.5,1.0,1381.0
8.47,10.0,180.0,1.0,0.5,1.0,1470.9
0.23,50.0,365.0,2.0,0.5,1.0,1948.9
0.96,5.0,7.0,2.0,0.5,1.0,3774.3
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1551.7
49.96,50.0,90.0,1.0,0.5,1.0,1961.3
5.26,10.0,90.0,1.0,0.5,1.0,2462.5
2.15,10.0,365.0,2.0,0.5,1.0,4370.6
4.99,5.0,30.0,1.0,0.5,1.0,1055.5
19.99,20.0,7.0,1.0,0.5,1.0,987.9
4.99,5.0,7.0,1.0,0.5,1.0,1187.2
4.3,20.0,365.0,1.0,0.5,1.0,4208.9
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1010.7
0.53,10.0,30.0,2.0,0.5,1.0,1659.6
0.26,5.0,30.0,2.0,0.5,1.0,1984.5
9.62,50.0,7.0,2.0,0.5,1.0,3442.2
1.05,20.0,30.0,2.0,0.5,1.0,1800.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,988.0
4.98,5.0,365.0,1.0,0.5,1.0,2751.0
0.18,20.0,180.0,2.0,0.5,1.0,1350.0
0.36,20.0,90.0,2.0,0.5,1.0,1731.4
4.99,5.0,180.0,1.0,0.5,1.0,1298.2
9.98,10.0,180.0,1.0,0.5,1.0,1279.4
4.59,5.0,90.0,1.0,0.5,1.0,2374.0
1.08,5.0,365.0,2.0,0.5,1.0,3185.2
0.91,50.0,90.0,2.0,0.5,1.0,1589.5
9.99,10.0,90.0,1.0,0.5,1.0,1519.5
0.05,10.0,365.0,2.0,0.5,1.0,1470.1
