0,1,2,3,4,5,6
0.05,10.0,365.0,2.0,0.5,1.0,3464.5
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2241.7
2.15,10.0,365.0,2.0,0.5,1.0,4333.7
9.93,10.0,7.0,1.0,0.5,1.0,2684.9
0.18,10.0,90.0,2.0,0.5,1.0,2452.7
0.09,5.0,90.0,2.0,0.5,1.0,1769.4
4.3,20.0,365.0,2.0,0.5,1.0,2264.9
3.66,5.0,365.0,1.0,0.5,1.0,2547.2
36.63,50.0,365.0,1.0,0.5,1.0,2921.5
9.98,10.0,180.0,1.0,0.5,1.0,2429.3
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2982.9
0.53,10.0,30.0,2.0,0.5,1.0,1990.2
9.96,10.0,365.0,1.0,0.5,1.0,1639.2
4.99,5.0,180.0,1.0,0.5,1.0,1506.1
9.99,10.0,7.0,1.0,0.5,1.0,1414.2
4.85,5.0,30.0,1.0,0.5,1.0,1050.9
49.65,50.0,7.0,1.0,0.5,1.0,1244.6
5.26,10.0,90.0,2.0,0.5,1.0,3397.9
10.53,20.0,90.0,2.0,0.5,1.0,2471.8
1.05,20.0,30.0,2.0,0.5,1.0,2129.2
19.99,20.0,7.0,1.0,0.5,1.0,1837.1
1.92,10.0,7.0,2.0,0.5,1.0,2032.1
17.86,50.0,180.0,2.0,0.5,1.0,1637.2
49.99,50.0,7.0,1.0,0.5,1.0,1346.5
4.59,5.0,90.0,1.0,0.5,1.0,1955.1
8.47,10.0,180.0,1.0,0.5,1.0,2088.1
19.93,20.0,365.0,1.0,0.5,1.0,1518.9
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2026.4
14.65,20.0,365.0,1.0,0.5,1.0,2302.1
0.46,50.0,180.0,2.0,0.5,1.0,1988.3
4.98,5.0,365.0,1.0,0.5,1.0,1826.6
0.36,20.0,90.0,2.0,0.5,1.0,1747.5
10.75,50.0,365.0,2.0,0.5,1.0,2301.3
19.99,20.0,30.0,1.0,0.5,1.0,1974.8
9.17,10.0,90.0,1.0,0.5,1.0,1217.2
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1256.9
2.63,50.0,30.0,2.0,0.5,1.0,1904.9
49.99,50.0,30.0,1.0,0.5,1.0,1625.5
15.38,20.0,30.0,1.0,0.5,1.0,1980.7
4.99,5.0,90.0,1.0,0.5,1.0,1378.2
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,3802.2
7.33,10.0,365.0,1.0,0.5,1.0,2369.6
7.14,20.0,180.0,2.0,0.5,1.0,1944.0
19.86,20.0,7.0,1.0,0.5,1.0,1941.0
0.91,50.0,90.0,2.0,0.5,1.0,1225.1
9.62,50.0,7.0,2.0,0.5,1.0,1493.9
0.05,5.0,180.0,2.0,0.5,1.0,1785.8
0.02,5.0,365.0,2.0,0.5,1.0,1533.6
0.26,5.0,30.0,2.0,0.5,1.0,1959.5
4.99,5.0,7.0,1.0,0.5,1.0,1908.7
1.08,5.0,365.0,2.0,0.5,1.0,1538.8
4.67,5.0,7.0,1.0,0.5,1.0,1958.6
4.99,5.0,30.0,1.0,0.5,1.0,1004.5
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1271.0
18.35,20.0,90.0,1.0,0.5,1.0,1470.4
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,4043.5
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1251.4
42.37,50.0,180.0,1.0,0.5,1.0,1823.8
46.730000000000004,50.0,7.0,2.0,0.5,1.0,2745.0
0.23,50.0,365.0,2.0,0.5,1.0,1665.4
3.57,10.0,180.0,2.0,0.5,1.0,1991.3
2.63,5.0,90.0,2.0,0.5,1.0,1446.2
45.87,50.0,90.0,2.0,0.5,1.0,2061.0
18.69,20.0,7.0,2.0,0.5,1.0,1460.6
26.32,50.0,90.0,2.0,0.5,1.0,2974.6
0.09,20.0,365.0,2.0,0.5,1.0,1293.8
16.95,20.0,180.0,1.0,0.5,1.0,2079.5
49.91,50.0,180.0,1.0,0.5,1.0,1411.4
19.419999999999998,20.0,30.0,1.0,0.5,1.0,911.5
48.54,50.0,30.0,1.0,0.5,1.0,1878.3
1.79,5.0,180.0,2.0,0.5,1.0,2070.5
49.96,50.0,90.0,1.0,0.5,1.0,1278.8
0.18,20.0,180.0,2.0,0.5,1.0,1176.8
0.96,5.0,7.0,2.0,0.5,1.0,2250.0
38.46,50.0,30.0,2.0,0.5,1.0,1976.8
49.82,50.0,365.0,1.0,0.5,1.0,1477.9
9.99,10.0,90.0,1.0,0.5,1.0,1360.8
0.09,10.0,180.0,2.0,0.5,1.0,1792.0
4.24,5.0,180.0,1.0,0.5,1.0,1407.7
9.99,10.0,30.0,1.0,0.5,1.0,1262.0
