0,1,2,3,4,5,6
0.46,50.0,180.0,2.0,0.5,1.0,2527.1
9.99,10.0,30.0,1.0,0.5,1.0,3367.5
9.93,10.0,7.0,1.0,0.5,1.0,2170.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1871.8
0.05,5.0,180.0,2.0,0.5,1.0,2472.4
42.37,50.0,180.0,2.0,0.5,1.0,3192.7
7.14,20.0,180.0,2.0,0.5,1.0,2873.0
0.18,20.0,180.0,2.0,0.5,1.0,2021.7
9.99,10.0,7.0,1.0,0.5,1.0,2374.6
19.99,20.0,30.0,1.0,0.5,1.0,2105.0
4.85,5.0,30.0,1.0,0.5,1.0,3707.7
4.24,5.0,180.0,2.0,0.5,1.0,2401.0
49.96,50.0,90.0,1.0,0.5,1.0,2140.5
0.91,50.0,90.0,2.0,0.5,1.0,1936.8
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2151.0
49.65,50.0,7.0,1.0,0.5,1.0,2229.3
16.95,20.0,180.0,2.0,0.5,1.0,2906.4
19.419999999999998,20.0,30.0,1.0,0.5,1.0,5059.0
49.99,50.0,30.0,1.0,0.5,1.0,1867.6
7.33,10.0,365.0,2.0,0.5,1.0,1651.1
36.63,50.0,365.0,2.0,0.5,1.0,2022.6
0.09,20.0,365.0,2.0,0.5,1.0,1269.5
4.98,5.0,365.0,1.0,0.5,1.0,2255.7
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2137.8
4.59,5.0,90.0,2.0,0.5,1.0,2755.1
0.36,20.0,90.0,2.0,0.5,1.0,1494.4
8.47,10.0,180.0,2.0,0.5,1.0,1367.7
2.15,10.0,365.0,2.0,0.5,1.0,1078.8
4.99,5.0,90.0,1.0,0.5,1.0,1969.8
10.53,20.0,90.0,2.0,0.5,1.0,1691.0
19.99,20.0,7.0,1.0,0.5,1.0,1874.1
9.17,10.0,90.0,2.0,0.5,1.0,7794.8
38.46,50.0,30.0,2.0,0.5,1.0,2413.8
4.67,5.0,7.0,2.0,0.5,1.0,5006.4
14.65,20.0,365.0,2.0,0.5,1.0,2039.8
9.709999999999999,10.0,30.0,0.0,0.5,1.0,
0.05,10.0,365.0,2.0,0.5,1.0,2064.8
3.66,5.0,365.0,2.0,0.5,1.0,3613.8
9.96,10.0,365.0,2.0,0.5,1.0,2202.2
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2227.5
10.75,50.0,365.0,2.0,0.5,1.0,2137.1
45.87,50.0,90.0,2.0,0.5,1.0,4921.0
0.23,50.0,365.0,2.0,0.5,1.0,1358.5
1.05,20.0,30.0,2.0,0.5,1.0,1195.4
2.63,5.0,90.0,2.0,0.5,1.0,1319.0
9.62,50.0,7.0,2.0,0.5,1.0,1971.5
9.98,10.0,180.0,1.0,0.5,1.0,2410.9
18.69,20.0,7.0,2.0,0.5,1.0,2003.3
0.09,10.0,180.0,2.0,0.5,1.0,1232.4
0.26,5.0,30.0,2.0,0.5,1.0,1705.9
15.38,20.0,30.0,2.0,0.5,1.0,1395.8
1.79,5.0,180.0,2.0,0.5,1.0,1764.0
18.35,20.0,90.0,2.0,0.5,1.0,1312.8
49.91,50.0,180.0,1.0,0.5,1.0,2805.7
1.08,5.0,365.0,2.0,0.5,1.0,1267.2
0.02,5.0,365.0,2.0,0.5,1.0,1277.8
48.54,50.0,30.0,1.0,0.5,1.0,2323.8
0.09,5.0,90.0,2.0,0.5,1.0,1318.3
4.3,20.0,365.0,2.0,0.5,1.0,1541.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2416.8
3.57,10.0,180.0,2.0,0.5,1.0,1710.8
4.99,5.0,7.0,1.0,0.5,1.0,2031.1
1.92,10.0,7.0,2.0,0.5,1.0,1907.5
4.99,5.0,180.0,1.0,0.5,1.0,2826.5
49.99,50.0,7.0,1.0,0.5,1.0,2301.7
49.82,50.0,365.0,1.0,0.5,1.0,2438.8
17.86,50.0,180.0,2.0,0.5,1.0,4921.3
9.99,10.0,90.0,1.0,0.5,1.0,5678.3
0.96,5.0,7.0,2.0,0.5,1.0,2429.4
19.93,20.0,365.0,2.0,0.5,1.0,3094.4
5.26,10.0,90.0,2.0,0.5,1.0,1652.6
9.350000000000001,10.0,7.0,2.0,0.5,1.0,2317.4
26.32,50.0,90.0,2.0,0.5,1.0,2071.4
19.86,20.0,7.0,1.0,0.5,1.0,2782.7
4.99,5.0,30.0,1.0,0.5,1.0,4388.9
0.53,10.0,30.0,2.0,0.5,1.0,2130.3
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1585.0
4.970000000000001,5.0,7.0,2.0,0.5,1.0,2574.9
0.18,10.0,90.0,2.0,0.5,1.0,7159.5
2.63,50.0,30.0,2.0,0.5,1.0,2241.3
