0,1,2,3,4,5,6
15.38,20.0,30.0,2.0,0.5,1.0,3083.2
42.37,50.0,180.0,2.0,0.5,1.0,3937.1
26.32,50.0,90.0,2.0,0.5,1.0,2860.5
16.95,20.0,180.0,2.0,0.5,1.0,4249.7
9.17,10.0,90.0,2.0,0.5,1.0,2779.2
2.15,10.0,365.0,2.0,0.5,1.0,5211.1
14.65,20.0,365.0,1.0,0.5,1.0,3775.4
4.3,20.0,365.0,2.0,0.5,1.0,3795.1
45.87,50.0,90.0,1.0,0.5,1.0,4062.1
0.18,10.0,90.0,2.0,0.5,1.0,2557.7
9.99,10.0,90.0,1.0,0.5,1.0,3173.9
2.63,50.0,30.0,2.0,0.5,1.0,2385.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,4497.8
19.99,20.0,7.0,1.0,0.5,1.0,2302.8
9.350000000000001,10.0,7.0,2.0,0.5,1.0,4482.7
4.99,5.0,30.0,1.0,0.5,1.0,2691.4
0.53,10.0,30.0,2.0,0.5,1.0,2166.1
19.99,20.0,30.0,1.0,0.5,1.0,3221.2
0.23,50.0,365.0,2.0,0.5,1.0,1711.9
18.69,20.0,7.0,2.0,0.5,1.0,3839.1
10.53,20.0,90.0,2.0,0.5,1.0,2874.7
49.99,50.0,30.0,1.0,0.5,1.0,2170.4
3.57,10.0,180.0,2.0,0.5,1.0,2368.2
19.419999999999998,20.0,30.0,1.0,0.5,1.0,4293.5
9.98,10.0,180.0,1.0,0.5,1.0,3788.3
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2991.1
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2300.4
0.09,10.0,180.0,2.0,0.5,1.0,1326.4
0.05,5.0,180.0,2.0,0.5,1.0,2018.5
49.82,50.0,365.0,1.0,0.5,1.0,2831.2
19.86,20.0,7.0,2.0,0.5,1.0,3035.7
0.91,50.0,90.0,2.0,0.5,1.0,1828.8
8.47,10.0,180.0,2.0,0.5,1.0,2828.2
0.02,5.0,365.0,2.0,0.5,1.0,1806.1
49.99,50.0,7.0,2.0,0.5,1.0,2263.3
0.36,20.0,90.0,2.0,0.5,1.0,2088.1
9.96,10.0,365.0,1.0,0.5,1.0,2726.0
9.99,10.0,7.0,2.0,0.5,1.0,2258.2
4.98,5.0,365.0,1.0,0.5,1.0,2389.4
7.14,20.0,180.0,2.0,0.5,1.0,2666.8
1.08,5.0,365.0,2.0,0.5,1.0,4245.3
9.709999999999999,10.0,30.0,1.0,0.5,1.0,5303.4
4.99,5.0,7.0,1.0,0.5,1.0,1837.5
49.91,50.0,180.0,1.0,0.5,1.0,2321.7
1.05,20.0,30.0,2.0,0.5,1.0,1165.0
0.26,5.0,30.0,2.0,0.5,1.0,1211.6
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2608.3
46.730000000000004,50.0,7.0,2.0,0.5,1.0,3238.2
3.66,5.0,365.0,1.0,0.5,1.0,2295.7
36.63,50.0,365.0,2.0,0.5,1.0,2096.1
1.79,5.0,180.0,2.0,0.5,1.0,1505.8
38.46,50.0,30.0,2.0,0.5,1.0,2067.6
18.35,20.0,90.0,2.0,0.5,1.0,2096.7
5.26,10.0,90.0,2.0,0.5,1.0,2089.7
4.99,5.0,180.0,1.0,0.5,1.0,2357.4
49.96,50.0,90.0,1.0,0.5,1.0,3762.1
19.93,20.0,365.0,1.0,0.5,1.0,4021.1
0.09,5.0,90.0,2.0,0.5,1.0,1897.7
4.24,5.0,180.0,2.0,0.5,1.0,6723.4
2.63,5.0,90.0,2.0,0.5,1.0,1897.8
0.46,50.0,180.0,2.0,0.5,1.0,1493.6
48.54,50.0,30.0,2.0,0.5,1.0,4316.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,4119.3
17.86,50.0,180.0,2.0,0.5,1.0,2614.6
0.18,20.0,180.0,2.0,0.5,1.0,1170.6
7.33,10.0,365.0,2.0,0.5,1.0,1564.0
10.75,50.0,365.0,2.0,0.5,1.0,1857.8
9.99,10.0,30.0,1.0,0.5,1.0,2455.7
4.85,5.0,30.0,2.0,0.5,1.0,6205.6
4.59,5.0,90.0,2.0,0.5,1.0,2313.6
9.62,50.0,7.0,2.0,0.5,1.0,1776.3
49.65,50.0,7.0,2.0,0.5,1.0,1829.3
0.05,10.0,365.0,2.0,0.5,1.0,1029.0
0.09,20.0,365.0,2.0,0.5,1.0,1524.1
1.92,10.0,7.0,2.0,0.5,1.0,1115.1
4.99,5.0,90.0,1.0,0.5,1.0,1996.0
9.93,10.0,7.0,2.0,0.5,1.0,2549.7
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1828.8
0.96,5.0,7.0,2.0,0.5,1.0,1464.7
4.67,5.0,7.0,2.0,0.5,1.0,2705.7
