0,1,2,3,4,5,6
0.23,50.0,365.0,2.0,0.5,1.0,1722.4
0.18,10.0,90.0,2.0,0.5,1.0,1884.8
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1586.2
4.99,5.0,90.0,1.0,0.5,1.0,1463.1
49.99,50.0,7.0,1.0,0.5,1.0,1961.6
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2298.3
49.96,50.0,90.0,1.0,0.5,1.0,2038.8
7.14,20.0,180.0,2.0,0.5,1.0,1527.9
0.26,5.0,30.0,2.0,0.5,1.0,1506.5
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1589.9
18.35,20.0,90.0,1.0,0.5,1.0,1300.5
0.09,10.0,180.0,2.0,0.5,1.0,1201.3
4.85,5.0,30.0,1.0,0.5,1.0,1221.7
4.98,5.0,365.0,1.0,0.5,1.0,1281.4
4.67,5.0,7.0,2.0,0.5,1.0,1526.2
9.99,10.0,7.0,1.0,0.5,1.0,1226.3
0.02,5.0,365.0,2.0,0.5,1.0,1096.1
49.91,50.0,180.0,1.0,0.5,1.0,1246.4
19.86,20.0,7.0,2.0,0.5,1.0,1402.8
9.99,10.0,30.0,1.0,0.5,1.0,1622.5
49.65,50.0,7.0,1.0,0.5,1.0,1885.4
4.3,20.0,365.0,2.0,0.5,1.0,1405.1
9.96,10.0,365.0,1.0,0.5,1.0,1278.1
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1246.3
10.53,20.0,90.0,2.0,0.5,1.0,1734.1
49.82,50.0,365.0,1.0,0.5,1.0,1270.0
0.18,20.0,180.0,2.0,0.5,1.0,1035.1
4.24,5.0,180.0,1.0,0.5,1.0,1758.7
0.53,10.0,30.0,2.0,0.5,1.0,1186.0
0.46,50.0,180.0,2.0,0.5,1.0,1356.3
4.59,5.0,90.0,2.0,0.5,1.0,1292.3
48.54,50.0,30.0,1.0,0.5,1.0,1842.0
16.95,20.0,180.0,1.0,0.5,1.0,1781.3
3.57,10.0,180.0,2.0,0.5,1.0,1025.8
2.15,10.0,365.0,2.0,0.5,1.0,1190.1
2.63,5.0,90.0,1.0,0.5,1.0,2726.0
38.46,50.0,30.0,2.0,0.5,1.0,1579.7
9.17,10.0,90.0,1.0,0.5,1.0,1269.8
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2292.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1980.8
49.99,50.0,30.0,1.0,0.5,1.0,1589.4
0.05,10.0,365.0,2.0,0.5,1.0,1729.9
4.99,5.0,7.0,1.0,0.5,1.0,1492.3
26.32,50.0,90.0,2.0,0.5,1.0,1294.6
18.69,20.0,7.0,1.0,0.5,1.0,1805.8
0.91,50.0,90.0,2.0,0.5,1.0,1419.7
9.93,10.0,7.0,1.0,0.5,1.0,1186.6
5.26,10.0,90.0,2.0,0.5,1.0,1750.8
8.47,10.0,180.0,2.0,0.5,1.0,1043.1
17.86,50.0,180.0,2.0,0.5,1.0,1159.0
4.99,5.0,180.0,1.0,0.5,1.0,2048.3
14.65,20.0,365.0,1.0,0.5,1.0,1980.1
42.37,50.0,180.0,1.0,0.5,1.0,1379.8
9.62,50.0,7.0,2.0,0.5,1.0,1299.0
9.99,10.0,90.0,1.0,0.5,1.0,1245.1
7.33,10.0,365.0,1.0,0.5,1.0,1381.7
0.96,5.0,7.0,2.0,0.5,1.0,826.3
19.93,20.0,365.0,1.0,0.5,1.0,1487.7
2.63,50.0,30.0,2.0,0.5,1.0,1127.2
9.98,10.0,180.0,1.0,0.5,1.0,1296.3
0.36,20.0,90.0,2.0,0.5,1.0,1958.2
1.08,5.0,365.0,2.0,0.5,1.0,1097.8
0.09,5.0,90.0,2.0,0.5,1.0,1326.6
10.75,50.0,365.0,2.0,0.5,1.0,1193.2
1.92,10.0,7.0,2.0,0.5,1.0,917.1
1.05,20.0,30.0,2.0,0.5,1.0,1318.5
1.79,5.0,180.0,2.0,0.5,1.0,1155.2
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1191.5
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1669.5
19.99,20.0,30.0,1.0,0.5,1.0,1351.3
0.05,5.0,180.0,2.0,0.5,1.0,1340.2
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1099.5
3.66,5.0,365.0,2.0,0.5,1.0,1270.6
0.09,20.0,365.0,2.0,0.5,1.0,1069.7
19.99,20.0,7.0,1.0,0.5,1.0,1262.0
15.38,20.0,30.0,2.0,0.5,1.0,1901.4
36.63,50.0,365.0,2.0,0.5,1.0,1793.2
4.99,5.0,30.0,1.0,0.5,1.0,1470.4
45.87,50.0,90.0,2.0,0.5,1.0,1354.9
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1641.2
