0,1,2,3,4,5,6
0.26,5.0,30.0,2.0,0.5,1.0,2706.1
9.93,10.0,7.0,1.0,0.5,1.0,3778.1
19.419999999999998,20.0,30.0,1.0,0.5,1.0,4410.5
14.65,20.0,365.0,1.0,0.5,1.0,3108.8
4.99,5.0,180.0,1.0,0.5,1.0,2452.6
0.09,20.0,365.0,2.0,0.5,1.0,1910.0
0.46,50.0,180.0,2.0,0.5,1.0,2923.2
0.36,20.0,90.0,2.0,0.5,1.0,1517.2
0.05,5.0,180.0,2.0,0.5,1.0,1399.6
1.79,5.0,180.0,2.0,0.5,1.0,1562.2
49.91,50.0,180.0,1.0,0.5,1.0,3347.8
2.15,10.0,365.0,2.0,0.5,1.0,2675.2
26.32,50.0,90.0,2.0,0.5,1.0,3041.9
7.33,10.0,365.0,2.0,0.5,1.0,2574.0
4.67,5.0,7.0,2.0,0.5,1.0,1945.1
0.53,10.0,30.0,2.0,0.5,1.0,2176.7
0.18,10.0,90.0,2.0,0.5,1.0,1512.8
15.38,20.0,30.0,2.0,0.5,1.0,1653.0
7.14,20.0,180.0,2.0,0.5,1.0,3097.7
19.99,20.0,30.0,1.0,0.5,1.0,1957.5
0.91,50.0,90.0,2.0,0.5,1.0,1434.6
4.24,5.0,180.0,1.0,0.5,1.0,3209.9
49.99,50.0,7.0,1.0,0.5,1.0,1963.4
0.09,10.0,180.0,2.0,0.5,1.0,939.9000000999999
19.86,20.0,7.0,2.0,0.5,1.0,2148.4
18.35,20.0,90.0,2.0,0.5,1.0,3465.1
36.63,50.0,365.0,2.0,0.5,1.0,3457.9
0.05,10.0,365.0,2.0,0.5,1.0,891.8000002
17.86,50.0,180.0,2.0,0.5,1.0,2515.2
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2265.4
49.99,50.0,30.0,1.0,0.5,1.0,1706.2
3.57,10.0,180.0,2.0,0.5,1.0,2936.3
9.98,10.0,180.0,1.0,0.5,1.0,2173.5
2.63,50.0,30.0,2.0,0.5,1.0,1164.1
49.65,50.0,7.0,2.0,0.5,1.0,2421.9
2.63,5.0,90.0,2.0,0.5,1.0,1274.1
0.09,5.0,90.0,2.0,0.5,1.0,1263.9
18.69,20.0,7.0,2.0,0.5,1.0,1454.6
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2185.7
4.98,5.0,365.0,1.0,0.5,1.0,2246.8
19.93,20.0,365.0,1.0,0.5,1.0,2558.8
0.23,50.0,365.0,2.0,0.5,1.0,1595.1
4.85,5.0,30.0,1.0,0.5,1.0,3143.3
1.05,20.0,30.0,2.0,0.5,1.0,2280.4
9.709999999999999,10.0,30.0,2.0,0.5,1.0,4815.2
0.96,5.0,7.0,2.0,0.5,1.0,1382.9
45.87,50.0,90.0,2.0,0.5,1.0,2933.9
9.99,10.0,90.0,1.0,0.5,1.0,4750.8
3.66,5.0,365.0,2.0,0.5,1.0,2399.6
8.47,10.0,180.0,2.0,0.5,1.0,2414.4
4.3,20.0,365.0,2.0,0.5,1.0,2093.3
9.62,50.0,7.0,2.0,0.5,1.0,2794.4
10.75,50.0,365.0,2.0,0.5,1.0,1747.8
4.99,5.0,30.0,1.0,0.5,1.0,3553.8
16.95,20.0,180.0,2.0,0.5,1.0,1894.3
46.730000000000004,50.0,7.0,2.0,0.5,1.0,3898.0
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,3620.8
19.99,20.0,7.0,1.0,0.5,1.0,1639.8
9.99,10.0,30.0,1.0,0.5,1.0,3303.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,4928.9
9.350000000000001,10.0,7.0,2.0,0.5,1.0,4577.8
9.99,10.0,7.0,1.0,0.5,1.0,1959.1
9.96,10.0,365.0,2.0,0.5,1.0,1790.0
4.59,5.0,90.0,2.0,0.5,1.0,3027.7
1.08,5.0,365.0,2.0,0.5,1.0,1911.5
48.54,50.0,30.0,2.0,0.5,1.0,3725.4
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1602.0
10.53,20.0,90.0,2.0,0.5,1.0,4731.2
5.26,10.0,90.0,2.0,0.5,1.0,5329.4
49.96,50.0,90.0,1.0,0.5,1.0,1858.9
4.99,5.0,7.0,2.0,0.5,1.0,1430.4
38.46,50.0,30.0,2.0,0.5,1.0,3572.0
0.18,20.0,180.0,2.0,0.5,1.0,1996.5
9.17,10.0,90.0,2.0,0.5,1.0,3541.2
42.37,50.0,180.0,2.0,0.5,1.0,1692.2
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1160.7
0.02,5.0,365.0,2.0,0.5,1.0,1047.2
1.92,10.0,7.0,2.0,0.5,1.0,1367.9
49.82,50.0,365.0,1.0,0.5,1.0,2390.5
4.99,5.0,90.0,1.0,0.5,1.0,2623.5
