0,1,2,3,4,5,6
4.98,5.0,365.0,1.0,0.5,1.0,2595.1
3.57,10.0,180.0,2.0,0.5,1.0,2029.7
1.92,10.0,7.0,2.0,0.5,1.0,1735.8
4.3,20.0,365.0,2.0,0.5,1.0,1510.0
1.08,5.0,365.0,2.0,0.5,1.0,2285.9
0.36,20.0,90.0,2.0,0.5,1.0,1991.7
19.99,20.0,30.0,1.0,0.5,1.0,2038.4
9.99,10.0,90.0,1.0,0.5,1.0,2018.9
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2395.3
0.96,5.0,7.0,2.0,0.5,1.0,1234.2
0.18,20.0,180.0,2.0,0.5,1.0,1290.4
4.99,5.0,90.0,1.0,0.5,1.0,1505.1
0.09,20.0,365.0,2.0,0.5,1.0,1270.3
2.63,50.0,30.0,2.0,0.5,1.0,2213.5
0.09,5.0,90.0,2.0,0.5,1.0,1101.4
49.91,50.0,180.0,1.0,0.5,1.0,2170.9
10.75,50.0,365.0,2.0,0.5,1.0,1300.2
0.02,5.0,365.0,2.0,0.5,1.0,986.1
19.86,20.0,7.0,1.0,0.5,1.0,2065.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1819.7
0.18,10.0,90.0,2.0,0.5,1.0,1019.5
4.85,5.0,30.0,2.0,0.5,1.0,2256.7
49.65,50.0,7.0,1.0,0.5,1.0,1924.7
9.93,10.0,7.0,2.0,0.5,1.0,2227.1
26.32,50.0,90.0,2.0,0.5,1.0,1481.7
19.99,20.0,7.0,1.0,0.5,1.0,1894.1
4.59,5.0,90.0,2.0,0.5,1.0,1734.4
18.35,20.0,90.0,2.0,0.5,1.0,1914.4
0.05,5.0,180.0,2.0,0.5,1.0,2475.8
9.99,10.0,7.0,1.0,0.5,1.0,1623.6
1.05,20.0,30.0,2.0,0.5,1.0,1806.2
36.63,50.0,365.0,2.0,0.5,1.0,1778.9
0.23,50.0,365.0,2.0,0.5,1.0,1380.0
16.95,20.0,180.0,2.0,0.5,1.0,2488.8
45.87,50.0,90.0,2.0,0.5,1.0,2083.1
14.65,20.0,365.0,2.0,0.5,1.0,1363.4
19.93,20.0,365.0,1.0,0.5,1.0,5167.8
49.99,50.0,7.0,2.0,0.5,1.0,1079.4
2.63,5.0,90.0,2.0,0.5,1.0,1764.2
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1475.5
10.53,20.0,90.0,2.0,0.5,1.0,1520.7
1.79,5.0,180.0,2.0,0.5,1.0,1025.9
4.99,5.0,7.0,1.0,0.5,1.0,1715.6
48.54,50.0,30.0,2.0,0.5,1.0,2696.4
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1769.4
0.91,50.0,90.0,2.0,0.5,1.0,1325.9
49.99,50.0,30.0,1.0,0.5,1.0,1644.9
4.67,5.0,7.0,2.0,0.5,1.0,1617.2
5.26,10.0,90.0,2.0,0.5,1.0,1395.9
9.350000000000001,10.0,7.0,2.0,0.5,1.0,2772.8
0.53,10.0,30.0,2.0,0.5,1.0,1137.7
18.69,20.0,7.0,2.0,0.5,1.0,1281.2
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,884.2
0.05,10.0,365.0,2.0,0.5,1.0,1816.9
0.46,50.0,180.0,2.0,0.5,1.0,1133.6
3.66,5.0,365.0,2.0,0.5,1.0,2474.9
19.419999999999998,20.0,30.0,2.0,0.5,1.0,1411.7
0.09,10.0,180.0,2.0,0.5,1.0,1523.8
7.33,10.0,365.0,2.0,0.5,1.0,1568.8
42.37,50.0,180.0,2.0,0.5,1.0,993.2
2.15,10.0,365.0,2.0,0.5,1.0,1193.3
4.99,5.0,30.0,1.0,0.5,1.0,1868.0
9.96,10.0,365.0,2.0,0.5,1.0,2028.7
9.99,10.0,30.0,1.0,0.5,1.0,1054.7
8.47,10.0,180.0,1.0,0.5,1.0,2018.7
9.98,10.0,180.0,1.0,0.5,1.0,1699.9
0.26,5.0,30.0,2.0,0.5,1.0,976.6
4.99,5.0,180.0,1.0,0.5,1.0,2262.9
49.82,50.0,365.0,1.0,0.5,1.0,2056.2
15.38,20.0,30.0,2.0,0.5,1.0,2936.1
9.17,10.0,90.0,1.0,0.5,1.0,1998.8
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,900.2
49.96,50.0,90.0,1.0,0.5,1.0,1706.9
7.14,20.0,180.0,2.0,0.5,1.0,1090.9
4.24,5.0,180.0,1.0,0.5,1.0,1929.5
38.46,50.0,30.0,2.0,0.5,1.0,1188.9
9.709999999999999,10.0,30.0,2.0,0.5,1.0,1268.6
17.86,50.0,180.0,2.0,0.5,1.0,2364.2
9.62,50.0,7.0,2.0,0.5,1.0,2972.3
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1188.6
