0,1,2,3,4,5,6
15.38,20.0,30.0,2.0,0.5,1.0,2510.0
10.53,20.0,90.0,2.0,0.5,1.0,2201.4
17.86,50.0,180.0,2.0,0.5,1.0,1908.8
4.99,5.0,90.0,2.0,0.5,1.0,2151.3
4.98,5.0,365.0,1.0,0.5,1.0,2729.5
9.96,10.0,365.0,1.0,0.5,1.0,1847.1
4.99,5.0,180.0,1.0,0.5,1.0,1486.5
4.59,5.0,90.0,1.0,0.5,1.0,2215.7
2.63,50.0,30.0,2.0,0.5,1.0,1808.1
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2206.2
14.65,20.0,365.0,1.0,0.5,1.0,1437.4
0.09,20.0,365.0,2.0,0.5,1.0,1734.9
38.46,50.0,30.0,2.0,0.5,1.0,1972.3
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2117.7
49.96,50.0,90.0,1.0,0.5,1.0,1981.0
4.24,5.0,180.0,1.0,0.5,1.0,1874.1
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2726.6
7.14,20.0,180.0,2.0,0.5,1.0,1421.3
9.99,10.0,7.0,1.0,0.5,1.0,1542.4
19.419999999999998,20.0,30.0,2.0,0.5,1.0,2254.2
1.79,5.0,180.0,2.0,0.5,1.0,1234.1
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1246.3
2.15,10.0,365.0,2.0,0.5,1.0,1538.7
1.05,20.0,30.0,2.0,0.5,1.0,1249.0
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1229.5
18.35,20.0,90.0,1.0,0.5,1.0,2682.9
5.26,10.0,90.0,2.0,0.5,1.0,1412.2
1.08,5.0,365.0,2.0,0.5,1.0,1204.2
8.47,10.0,180.0,2.0,0.5,1.0,1844.8
4.85,5.0,30.0,2.0,0.5,1.0,2004.3
16.95,20.0,180.0,2.0,0.5,1.0,2113.7
9.93,10.0,7.0,2.0,0.5,1.0,1175.0
2.63,5.0,90.0,2.0,0.5,1.0,1740.9
0.91,50.0,90.0,2.0,0.5,1.0,1286.2
49.82,50.0,365.0,1.0,0.5,1.0,1706.6
10.75,50.0,365.0,2.0,0.5,1.0,1673.5
26.32,50.0,90.0,2.0,0.5,1.0,1146.6
19.99,20.0,30.0,1.0,0.5,1.0,1902.4
9.98,10.0,180.0,1.0,0.5,1.0,1346.0
48.54,50.0,30.0,2.0,0.5,1.0,2218.4
7.33,10.0,365.0,1.0,0.5,1.0,2328.8
0.09,10.0,180.0,2.0,0.5,1.0,941.0
0.18,10.0,90.0,2.0,0.5,1.0,2051.6
0.96,5.0,7.0,2.0,0.5,1.0,1422.3
4.67,5.0,7.0,2.0,0.5,1.0,1221.7
0.05,10.0,365.0,2.0,0.5,1.0,1368.7
0.46,50.0,180.0,2.0,0.5,1.0,1078.6
19.99,20.0,7.0,1.0,0.5,1.0,1339.4
45.87,50.0,90.0,2.0,0.5,1.0,1778.6
49.91,50.0,180.0,1.0,0.5,1.0,2880.0
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1286.9
36.63,50.0,365.0,2.0,0.5,1.0,1589.8
4.3,20.0,365.0,2.0,0.5,1.0,1071.5
49.65,50.0,7.0,2.0,0.5,1.0,1215.8
0.36,20.0,90.0,2.0,0.5,1.0,1229.9
3.57,10.0,180.0,2.0,0.5,1.0,918.4
0.23,50.0,365.0,2.0,0.5,1.0,882.0
49.99,50.0,30.0,2.0,0.5,1.0,1034.5
0.02,5.0,365.0,2.0,0.5,1.0,896.8000000999999
1.92,10.0,7.0,2.0,0.5,1.0,1005.0
4.99,5.0,7.0,1.0,0.5,1.0,1969.3
19.86,20.0,7.0,2.0,0.5,1.0,1287.2
19.959999999999997,20.0,180.0,2.0,0.5,1.0,1787.4
9.17,10.0,90.0,2.0,0.5,1.0,2041.7
9.99,10.0,90.0,1.0,0.5,1.0,2567.1
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1848.8
3.66,5.0,365.0,2.0,0.5,1.0,1427.5
19.93,20.0,365.0,1.0,0.5,1.0,1436.1
0.05,5.0,180.0,2.0,0.5,1.0,1751.4
4.99,5.0,30.0,1.0,0.5,1.0,1809.0
9.62,50.0,7.0,2.0,0.5,1.0,1786.2
0.09,5.0,90.0,2.0,0.5,1.0,1484.1
0.26,5.0,30.0,2.0,0.5,1.0,1309.5
9.99,10.0,30.0,1.0,0.5,1.0,1910.0
42.37,50.0,180.0,2.0,0.5,1.0,1490.2
0.53,10.0,30.0,2.0,0.5,1.0,1012.8
0.18,20.0,180.0,2.0,0.5,1.0,925.9
18.69,20.0,7.0,2.0,0.5,1.0,1448.1
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1115.9
49.99,50.0,7.0,1.0,0.5,1.0,2117.6
