0,1,2,3,4,5,6
19.86,20.0,7.0,2.0,0.5,1.0,2094.3
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1662.5
0.91,50.0,90.0,1.0,0.5,1.0,759.7
2.63,5.0,90.0,1.0,0.5,1.0,1433.8
0.09,10.0,180.0,1.0,0.5,1.0,2311.6
5.26,10.0,90.0,1.0,0.5,1.0,1484.7
1.08,5.0,365.0,1.0,0.5,1.0,1234.0
0.26,5.0,30.0,1.0,0.5,1.0,1459.0
0.05,5.0,180.0,1.0,0.5,1.0,1195.5
0.96,5.0,7.0,2.0,0.5,1.0,1765.9
1.92,10.0,7.0,2.0,0.5,1.0,1836.4
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,819.2
10.75,50.0,365.0,1.0,0.5,1.0,987.4
49.65,50.0,7.0,1.0,0.5,1.0,1424.5
18.35,20.0,90.0,1.0,0.5,1.0,2450.1
4.970000000000001,5.0,7.0,2.0,0.5,1.0,1313.3
0.05,10.0,365.0,1.0,0.5,1.0,961.8
0.09,20.0,365.0,1.0,0.5,1.0,1111.8
0.53,10.0,30.0,1.0,0.5,1.0,694.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1794.7
14.65,20.0,365.0,1.0,0.5,1.0,1062.6
9.99,10.0,30.0,1.0,0.5,1.0,1353.5
4.67,5.0,7.0,1.0,0.5,1.0,1060.5
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1218.9
0.02,5.0,365.0,1.0,0.5,1.0,1258.6
17.86,50.0,180.0,1.0,0.5,1.0,979.5
9.62,50.0,7.0,1.0,0.5,1.0,1136.3
0.09,5.0,90.0,1.0,0.5,1.0,2060.7
42.37,50.0,180.0,1.0,0.5,1.0,1698.1
1.05,20.0,30.0,1.0,0.5,1.0,1020.3
19.979999999999997,20.0,90.0,1.0,0.5,1.0,792.5
45.87,50.0,90.0,1.0,0.5,1.0,826.4
2.63,50.0,30.0,1.0,0.5,1.0,799.0
7.14,20.0,180.0,1.0,0.5,1.0,1289.0
10.53,20.0,90.0,1.0,0.5,1.0,949.7
19.99,20.0,30.0,1.0,0.5,1.0,930.4
19.959999999999997,20.0,180.0,1.0,0.5,1.0,972.2
16.95,20.0,180.0,1.0,0.5,1.0,922.4
15.38,20.0,30.0,1.0,0.5,1.0,1459.2
49.96,50.0,90.0,1.0,0.5,1.0,780.4
0.46,50.0,180.0,1.0,0.5,1.0,1391.8
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1370.8
3.66,5.0,365.0,1.0,0.5,1.0,1155.2
4.85,5.0,30.0,1.0,0.5,1.0,1259.0
0.18,20.0,180.0,1.0,0.5,1.0,1540.7
4.99,5.0,30.0,1.0,0.5,1.0,1195.8
9.99,10.0,90.0,1.0,0.5,1.0,1355.0
26.32,50.0,90.0,1.0,0.5,1.0,684.4
38.46,50.0,30.0,1.0,0.5,1.0,722.3
7.33,10.0,365.0,1.0,0.5,1.0,1107.8
4.59,5.0,90.0,1.0,0.5,1.0,829.0
4.99,5.0,90.0,1.0,0.5,1.0,1245.0
9.17,10.0,90.0,1.0,0.5,1.0,748.4
4.99,5.0,7.0,2.0,0.5,1.0,1259.1
49.82,50.0,365.0,1.0,0.5,1.0,735.8
4.99,5.0,180.0,1.0,0.5,1.0,1093.6
8.47,10.0,180.0,1.0,0.5,1.0,1092.1
9.93,10.0,7.0,2.0,0.5,1.0,1585.1
0.18,10.0,90.0,1.0,0.5,1.0,935.2
19.99,20.0,7.0,2.0,0.5,1.0,1347.6
19.93,20.0,365.0,1.0,0.5,1.0,1283.2
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1565.4
4.98,5.0,365.0,1.0,0.5,1.0,1060.0
48.54,50.0,30.0,1.0,0.5,1.0,1141.8
49.99,50.0,30.0,1.0,0.5,1.0,1372.6
0.23,50.0,365.0,1.0,0.5,1.0,997.5
9.96,10.0,365.0,1.0,0.5,1.0,1156.2
9.99,10.0,7.0,2.0,0.5,1.0,1108.3
3.57,10.0,180.0,1.0,0.5,1.0,1699.6
9.98,10.0,180.0,1.0,0.5,1.0,972.1
1.79,5.0,180.0,1.0,0.5,1.0,1156.8
49.91,50.0,180.0,1.0,0.5,1.0,1492.4
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1524.2
2.15,10.0,365.0,1.0,0.5,1.0,2083.9
49.99,50.0,7.0,1.0,0.5,1.0,1164.8
36.63,50.0,365.0,1.0,0.5,1.0,1811.2
4.3,20.0,365.0,1.0,0.5,1.0,1013.3
18.69,20.0,7.0,2.0,0.5,1.0,1260.7
0.36,20.0,90.0,1.0,0.5,1.0,1148.7
4.24,5.0,180.0,1.0,0.5,1.0,1213.0
