0,1,2,3,4,5,6
0.23,50.0,365.0,2.0,0.5,1.0,3532.6
49.91,50.0,180.0,1.0,0.5,1.0,3239.9
3.66,5.0,365.0,1.0,0.5,1.0,2425.6
19.99,20.0,30.0,1.0,0.5,1.0,2570.0
19.93,20.0,365.0,1.0,0.5,1.0,2026.2
9.350000000000001,10.0,7.0,1.0,0.5,1.0,3289.6
1.92,10.0,7.0,2.0,0.5,1.0,2649.3
14.65,20.0,365.0,1.0,0.5,1.0,1880.5
9.17,10.0,90.0,1.0,0.5,1.0,3859.3
48.54,50.0,30.0,1.0,0.5,1.0,1840.7
0.05,5.0,180.0,2.0,0.5,1.0,3598.6
0.09,10.0,180.0,2.0,0.5,1.0,2425.4
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2679.8
0.91,50.0,90.0,2.0,0.5,1.0,6457.4
1.05,20.0,30.0,2.0,0.5,1.0,2321.4
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,4017.0
9.99,10.0,7.0,1.0,0.5,1.0,2343.3
0.09,5.0,90.0,2.0,0.5,1.0,1432.5
0.53,10.0,30.0,2.0,0.5,1.0,1925.8
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1975.7
7.14,20.0,180.0,2.0,0.5,1.0,2168.4
0.18,20.0,180.0,2.0,0.5,1.0,1706.1
16.95,20.0,180.0,1.0,0.5,1.0,2480.0
1.08,5.0,365.0,1.0,0.5,1.0,5137.7
0.96,5.0,7.0,2.0,0.5,1.0,1647.7
10.75,50.0,365.0,1.0,0.5,1.0,4345.0
49.96,50.0,90.0,1.0,0.5,1.0,2369.2
0.18,10.0,90.0,2.0,0.5,1.0,2495.8
4.99,5.0,180.0,1.0,0.5,1.0,1912.2
2.15,10.0,365.0,1.0,0.5,1.0,3081.6
19.99,20.0,7.0,1.0,0.5,1.0,1831.2
10.53,20.0,90.0,1.0,0.5,1.0,2681.5
49.99,50.0,7.0,1.0,0.5,1.0,1611.4
4.59,5.0,90.0,1.0,0.5,1.0,2334.7
36.63,50.0,365.0,1.0,0.5,1.0,1762.6
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1728.9
9.99,10.0,90.0,1.0,0.5,1.0,1592.2
5.26,10.0,90.0,1.0,0.5,1.0,2521.5
3.57,10.0,180.0,2.0,0.5,1.0,5354.0
4.67,5.0,7.0,1.0,0.5,1.0,1719.9
15.38,20.0,30.0,2.0,0.5,1.0,2668.5
9.98,10.0,180.0,1.0,0.5,1.0,1778.0
9.93,10.0,7.0,1.0,0.5,1.0,2018.1
0.05,10.0,365.0,2.0,0.5,1.0,2446.1
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2105.3
1.79,5.0,180.0,1.0,0.5,1.0,2970.7
18.69,20.0,7.0,1.0,0.5,1.0,2087.8
19.86,20.0,7.0,1.0,0.5,1.0,1520.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2344.6
4.24,5.0,180.0,1.0,0.5,1.0,2400.7
9.96,10.0,365.0,1.0,0.5,1.0,1512.3
18.35,20.0,90.0,1.0,0.5,1.0,1436.6
0.26,5.0,30.0,2.0,0.5,1.0,3840.6
2.63,50.0,30.0,2.0,0.5,1.0,1902.1
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2001.5
26.32,50.0,90.0,2.0,0.5,1.0,5663.7
49.82,50.0,365.0,1.0,0.5,1.0,1537.5
8.47,10.0,180.0,1.0,0.5,1.0,2025.3
0.09,20.0,365.0,2.0,0.5,1.0,5015.4
4.3,20.0,365.0,2.0,0.5,1.0,4533.1
4.99,5.0,30.0,1.0,0.5,1.0,1759.7
0.02,5.0,365.0,2.0,0.5,1.0,2551.9
49.99,50.0,30.0,1.0,0.5,1.0,1535.7
9.62,50.0,7.0,2.0,0.5,1.0,5017.4
4.99,5.0,7.0,1.0,0.5,1.0,1632.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2888.7
2.63,5.0,90.0,2.0,0.5,1.0,2760.8
4.98,5.0,365.0,1.0,0.5,1.0,2080.4
49.65,50.0,7.0,2.0,0.5,1.0,2553.6
45.87,50.0,90.0,1.0,0.5,1.0,1841.2
17.86,50.0,180.0,2.0,0.5,1.0,2487.8
0.36,20.0,90.0,2.0,0.5,1.0,4130.4
38.46,50.0,30.0,2.0,0.5,1.0,2311.1
7.33,10.0,365.0,1.0,0.5,1.0,3218.3
4.99,5.0,90.0,1.0,0.5,1.0,1376.3
4.85,5.0,30.0,1.0,0.5,1.0,2563.1
0.46,50.0,180.0,2.0,0.5,1.0,5426.3
9.99,10.0,30.0,1.0,0.5,1.0,1956.9
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2080.8
42.37,50.0,180.0,1.0,0.5,1.0,3441.5
