0,1,2,3,4,5,6
4.67,5.0,7.0,1.0,0.5,1.0,2046.5
9.99,10.0,90.0,1.0,0.5,1.0,2098.3
14.65,20.0,365.0,1.0,0.5,1.0,2012.2
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2197.5
9.93,10.0,7.0,1.0,0.5,1.0,1784.9
4.24,5.0,180.0,1.0,0.5,1.0,2434.4
9.99,10.0,30.0,1.0,0.5,1.0,1637.8
18.35,20.0,90.0,1.0,0.5,1.0,3714.8
7.33,10.0,365.0,1.0,0.5,1.0,1907.1
7.14,20.0,180.0,2.0,0.5,1.0,1738.5
9.62,50.0,7.0,2.0,0.5,1.0,1412.7
4.3,20.0,365.0,2.0,0.5,1.0,1606.2
0.91,50.0,90.0,2.0,0.5,1.0,2417.6
2.15,10.0,365.0,2.0,0.5,1.0,2410.1
46.730000000000004,50.0,7.0,2.0,0.5,1.0,2481.8
0.96,5.0,7.0,2.0,0.5,1.0,1451.4
0.09,20.0,365.0,2.0,0.5,1.0,1521.3
45.87,50.0,90.0,1.0,0.5,1.0,3889.1
19.93,20.0,365.0,1.0,0.5,1.0,1935.7
9.98,10.0,180.0,1.0,0.5,1.0,1593.0
49.65,50.0,7.0,2.0,0.5,1.0,1433.6
19.86,20.0,7.0,1.0,0.5,1.0,1860.9
0.05,5.0,180.0,2.0,0.5,1.0,1277.4
48.54,50.0,30.0,1.0,0.5,1.0,2114.5
4.98,5.0,365.0,1.0,0.5,1.0,2001.6
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1867.4
36.63,50.0,365.0,2.0,0.5,1.0,4770.5
19.99,20.0,7.0,1.0,0.5,1.0,1151.7
8.47,10.0,180.0,2.0,0.5,1.0,2905.1
4.59,5.0,90.0,1.0,0.5,1.0,1818.0
4.99,5.0,7.0,1.0,0.5,1.0,1434.0
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1508.9
0.18,20.0,180.0,2.0,0.5,1.0,1274.6
2.63,50.0,30.0,2.0,0.5,1.0,1435.5
4.99,5.0,180.0,1.0,0.5,1.0,1794.9
0.05,10.0,365.0,2.0,0.5,1.0,1461.1
4.99,5.0,30.0,1.0,0.5,1.0,1414.4
16.95,20.0,180.0,1.0,0.5,1.0,3494.1
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2371.9
49.96,50.0,90.0,1.0,0.5,1.0,2176.6
49.99,50.0,7.0,1.0,0.5,1.0,1579.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1903.2
38.46,50.0,30.0,2.0,0.5,1.0,1518.4
49.91,50.0,180.0,1.0,0.5,1.0,1459.5
42.37,50.0,180.0,1.0,0.5,1.0,2866.4
4.99,5.0,90.0,1.0,0.5,1.0,1662.4
26.32,50.0,90.0,2.0,0.5,1.0,1682.9
0.46,50.0,180.0,2.0,0.5,1.0,1741.4
9.17,10.0,90.0,1.0,0.5,1.0,3585.3
3.66,5.0,365.0,1.0,0.5,1.0,2285.2
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2240.5
2.63,5.0,90.0,1.0,0.5,1.0,3738.7
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1457.0
0.23,50.0,365.0,2.0,0.5,1.0,1223.7
0.26,5.0,30.0,2.0,0.5,1.0,1347.3
0.02,5.0,365.0,2.0,0.5,1.0,1117.6
49.82,50.0,365.0,1.0,0.5,1.0,1242.3
10.75,50.0,365.0,2.0,0.5,1.0,1437.7
9.96,10.0,365.0,1.0,0.5,1.0,1355.2
1.05,20.0,30.0,2.0,0.5,1.0,1164.9
1.79,5.0,180.0,2.0,0.5,1.0,1104.0
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2573.4
15.38,20.0,30.0,2.0,0.5,1.0,1202.3
0.53,10.0,30.0,2.0,0.5,1.0,1763.8
9.99,10.0,7.0,1.0,0.5,1.0,1545.8
1.08,5.0,365.0,2.0,0.5,1.0,2285.1
10.53,20.0,90.0,2.0,0.5,1.0,2973.0
17.86,50.0,180.0,2.0,0.5,1.0,1560.6
4.85,5.0,30.0,1.0,0.5,1.0,1863.9
3.57,10.0,180.0,1.0,0.5,1.0,3844.1
0.18,10.0,90.0,2.0,0.5,1.0,1926.3
18.69,20.0,7.0,2.0,0.5,1.0,1936.7
49.99,50.0,30.0,1.0,0.5,1.0,2539.1
5.26,10.0,90.0,2.0,0.5,1.0,1518.9
0.09,10.0,180.0,2.0,0.5,1.0,1973.6
1.92,10.0,7.0,2.0,0.5,1.0,1977.3
0.09,5.0,90.0,2.0,0.5,1.0,1452.3
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1158.3
0.36,20.0,90.0,2.0,0.5,1.0,977.9
19.99,20.0,30.0,1.0,0.5,1.0,1360.5
