0,1,2,3,4,5,6
9.96,10.0,365.0,1.0,0.5,1.0,2393.1
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1617.5
0.02,5.0,365.0,2.0,0.5,1.0,2300.6
10.53,20.0,90.0,1.0,0.5,1.0,2314.3
49.99,50.0,30.0,1.0,0.5,1.0,1927.0
0.09,10.0,180.0,2.0,0.5,1.0,2106.9
4.67,5.0,7.0,1.0,0.5,1.0,1743.4
48.54,50.0,30.0,1.0,0.5,1.0,2053.0
19.99,20.0,7.0,1.0,0.5,1.0,2137.6
15.38,20.0,30.0,1.0,0.5,1.0,1609.0
9.17,10.0,90.0,1.0,0.5,1.0,1478.7
3.66,5.0,365.0,1.0,0.5,1.0,2039.1
14.65,20.0,365.0,1.0,0.5,1.0,1123.4
26.32,50.0,90.0,1.0,0.5,1.0,2851.2
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1992.5
9.62,50.0,7.0,2.0,0.5,1.0,1726.5
49.91,50.0,180.0,1.0,0.5,1.0,1425.9
9.99,10.0,30.0,1.0,0.5,1.0,1525.8
38.46,50.0,30.0,1.0,0.5,1.0,1283.8
36.63,50.0,365.0,1.0,0.5,1.0,1458.1
18.35,20.0,90.0,1.0,0.5,1.0,1216.5
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1042.0
4.24,5.0,180.0,1.0,0.5,1.0,1067.5
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1106.3
0.18,20.0,180.0,2.0,0.5,1.0,1358.5
1.92,10.0,7.0,2.0,0.5,1.0,1799.2
49.99,50.0,7.0,1.0,0.5,1.0,1348.1
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2315.0
0.26,5.0,30.0,2.0,0.5,1.0,1422.5
0.09,5.0,90.0,2.0,0.5,1.0,1582.7
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1009.9
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1140.7
0.36,20.0,90.0,2.0,0.5,1.0,1161.5
1.79,5.0,180.0,2.0,0.5,1.0,1878.2
42.37,50.0,180.0,1.0,0.5,1.0,1004.8
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1023.8
0.91,50.0,90.0,2.0,0.5,1.0,1426.1
8.47,10.0,180.0,1.0,0.5,1.0,1025.2
9.98,10.0,180.0,1.0,0.5,1.0,1175.8
4.98,5.0,365.0,1.0,0.5,1.0,892.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1002.7
5.26,10.0,90.0,1.0,0.5,1.0,2181.1
2.63,50.0,30.0,2.0,0.5,1.0,1282.7
10.75,50.0,365.0,1.0,0.5,1.0,2434.3
9.99,10.0,7.0,1.0,0.5,1.0,804.2
1.08,5.0,365.0,2.0,0.5,1.0,1732.7
4.85,5.0,30.0,1.0,0.5,1.0,1075.4
19.99,20.0,30.0,1.0,0.5,1.0,1007.1
4.99,5.0,7.0,1.0,0.5,1.0,797.4
45.87,50.0,90.0,1.0,0.5,1.0,1167.4
2.63,5.0,90.0,1.0,0.5,1.0,1860.5
49.96,50.0,90.0,1.0,0.5,1.0,1087.1
0.09,20.0,365.0,2.0,0.5,1.0,840.7
1.05,20.0,30.0,2.0,0.5,1.0,929.3
9.93,10.0,7.0,1.0,0.5,1.0,998.7
2.15,10.0,365.0,1.0,0.5,1.0,1884.3
7.33,10.0,365.0,1.0,0.5,1.0,892.8
0.96,5.0,7.0,2.0,0.5,1.0,1480.5
9.99,10.0,90.0,1.0,0.5,1.0,1360.5
4.99,5.0,90.0,1.0,0.5,1.0,1057.9
0.53,10.0,30.0,2.0,0.5,1.0,969.8
4.3,20.0,365.0,1.0,0.5,1.0,2167.4
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1308.8
0.05,5.0,180.0,2.0,0.5,1.0,1629.2
19.93,20.0,365.0,1.0,0.5,1.0,735.5
19.86,20.0,7.0,1.0,0.5,1.0,953.8
0.23,50.0,365.0,2.0,0.5,1.0,910.4
49.65,50.0,7.0,1.0,0.5,1.0,1026.1
4.99,5.0,30.0,1.0,0.5,1.0,1035.5
16.95,20.0,180.0,1.0,0.5,1.0,1006.5
3.57,10.0,180.0,1.0,0.5,1.0,2749.0
4.59,5.0,90.0,1.0,0.5,1.0,976.7
18.69,20.0,7.0,1.0,0.5,1.0,712.1
4.99,5.0,180.0,1.0,0.5,1.0,934.2
49.82,50.0,365.0,1.0,0.5,1.0,938.5
17.86,50.0,180.0,1.0,0.5,1.0,1107.4
7.14,20.0,180.0,1.0,0.5,1.0,3280.4
0.05,10.0,365.0,2.0,0.5,1.0,864.9
0.46,50.0,180.0,2.0,0.5,1.0,1240.9
0.18,10.0,90.0,2.0,0.5,1.0,1352.2
