0,1,2,3,4,5,6
0.26,5.0,30.0,2.0,0.5,1.0,2336.3
2.15,10.0,365.0,1.0,0.5,1.0,1862.4
49.99,50.0,7.0,1.0,0.5,1.0,3181.7
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2416.8
7.14,20.0,180.0,1.0,0.5,1.0,1343.9
0.09,10.0,180.0,2.0,0.5,1.0,1514.0
3.66,5.0,365.0,1.0,0.5,1.0,3407.2
4.24,5.0,180.0,1.0,0.5,1.0,2410.2
7.33,10.0,365.0,1.0,0.5,1.0,1269.8
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2606.2
9.99,10.0,90.0,1.0,0.5,1.0,1111.7
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2334.8
0.53,10.0,30.0,2.0,0.5,1.0,2022.9
0.46,50.0,180.0,1.0,0.5,1.0,3833.5
9.99,10.0,30.0,1.0,0.5,1.0,1308.0
3.57,10.0,180.0,1.0,0.5,1.0,1520.1
0.36,20.0,90.0,2.0,0.5,1.0,2410.8
5.26,10.0,90.0,1.0,0.5,1.0,1479.9
49.96,50.0,90.0,1.0,0.5,1.0,1371.2
19.86,20.0,7.0,1.0,0.5,1.0,1368.7
49.99,50.0,30.0,1.0,0.5,1.0,745.0
4.970000000000001,5.0,7.0,1.0,0.5,1.0,972.8
0.05,10.0,365.0,1.0,0.5,1.0,2480.5
1.08,5.0,365.0,1.0,0.5,1.0,1185.4
9.350000000000001,10.0,7.0,2.0,0.5,1.0,2376.4
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1064.3
2.63,5.0,90.0,1.0,0.5,1.0,1488.7
14.65,20.0,365.0,1.0,0.5,1.0,1146.6
15.38,20.0,30.0,1.0,0.5,1.0,1036.7
9.99,10.0,7.0,1.0,0.5,1.0,648.7
18.35,20.0,90.0,1.0,0.5,1.0,1319.6
4.99,5.0,90.0,1.0,0.5,1.0,753.3
1.79,5.0,180.0,1.0,0.5,1.0,1081.7
8.47,10.0,180.0,1.0,0.5,1.0,1012.4
0.96,5.0,7.0,1.0,0.5,1.0,595.4
10.75,50.0,365.0,1.0,0.5,1.0,1596.7
4.85,5.0,30.0,1.0,0.5,1.0,1380.4
0.02,5.0,365.0,1.0,0.5,1.0,1598.1
17.86,50.0,180.0,1.0,0.5,1.0,1281.3
9.17,10.0,90.0,1.0,0.5,1.0,1511.3
0.18,10.0,90.0,1.0,0.5,1.0,1449.9
4.99,5.0,30.0,1.0,0.5,1.0,1569.8
19.99,20.0,7.0,1.0,0.5,1.0,1198.8
1.92,10.0,7.0,1.0,0.5,1.0,1023.3
0.05,5.0,180.0,1.0,0.5,1.0,3111.7
2.63,50.0,30.0,1.0,0.5,1.0,1414.3
42.37,50.0,180.0,1.0,0.5,1.0,1354.3
9.62,50.0,7.0,2.0,0.5,1.0,2420.4
49.82,50.0,365.0,1.0,0.5,1.0,1622.2
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1376.7
4.67,5.0,7.0,1.0,0.5,1.0,3096.8
19.93,20.0,365.0,1.0,0.5,1.0,2008.0
4.3,20.0,365.0,1.0,0.5,1.0,1195.1
4.59,5.0,90.0,1.0,0.5,1.0,1531.5
9.93,10.0,7.0,1.0,0.5,1.0,2344.8
38.46,50.0,30.0,1.0,0.5,1.0,1729.4
48.54,50.0,30.0,1.0,0.5,1.0,1839.5
0.23,50.0,365.0,1.0,0.5,1.0,4164.1
9.96,10.0,365.0,1.0,0.5,1.0,1292.3
4.99,5.0,180.0,1.0,0.5,1.0,1944.1
45.87,50.0,90.0,1.0,0.5,1.0,1291.0
1.05,20.0,30.0,2.0,0.5,1.0,1682.1
49.91,50.0,180.0,1.0,0.5,1.0,917.4
4.99,5.0,7.0,1.0,0.5,1.0,1718.9
36.63,50.0,365.0,1.0,0.5,1.0,1107.2
0.91,50.0,90.0,2.0,0.5,1.0,3025.6
46.730000000000004,50.0,7.0,1.0,0.5,1.0,868.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2549.8
0.18,20.0,180.0,1.0,0.5,1.0,1387.8
18.69,20.0,7.0,2.0,0.5,1.0,1249.4
26.32,50.0,90.0,1.0,0.5,1.0,1972.5
4.98,5.0,365.0,1.0,0.5,1.0,1128.4
19.99,20.0,30.0,1.0,0.5,1.0,1299.9
0.09,5.0,90.0,1.0,0.5,1.0,1987.2
16.95,20.0,180.0,1.0,0.5,1.0,1373.8
0.09,20.0,365.0,1.0,0.5,1.0,2099.0
49.65,50.0,7.0,1.0,0.5,1.0,1999.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,587.3
10.53,20.0,90.0,1.0,0.5,1.0,1427.3
9.98,10.0,180.0,1.0,0.5,1.0,1458.8
