0,1,2,3,4,5,6
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2098.3
38.46,50.0,30.0,2.0,0.5,1.0,1510.7
9.62,50.0,7.0,2.0,0.5,1.0,1125.7
14.65,20.0,365.0,2.0,0.5,1.0,1323.1
1.05,20.0,30.0,2.0,0.5,1.0,1009.3
48.54,50.0,30.0,2.0,0.5,1.0,3088.8
0.18,10.0,90.0,2.0,0.5,1.0,1251.0
4.67,5.0,7.0,2.0,0.5,1.0,1146.4
49.99,50.0,7.0,2.0,0.5,1.0,2625.4
0.53,10.0,30.0,2.0,0.5,1.0,1385.7
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1392.0
9.709999999999999,10.0,30.0,2.0,0.5,1.0,1222.8
5.26,10.0,90.0,2.0,0.5,1.0,1026.1
19.959999999999997,20.0,180.0,2.0,0.5,1.0,1243.6
1.92,10.0,7.0,2.0,0.5,1.0,1388.5
2.63,50.0,30.0,2.0,0.5,1.0,1124.9
2.15,10.0,365.0,2.0,0.5,1.0,897.1
0.02,5.0,365.0,2.0,0.5,1.0,1295.3
0.96,5.0,7.0,2.0,0.5,1.0,1415.9
0.09,5.0,90.0,2.0,0.5,1.0,1066.3
9.93,10.0,7.0,2.0,0.5,1.0,1334.7
0.36,20.0,90.0,2.0,0.5,1.0,1225.7
7.33,10.0,365.0,2.0,0.5,1.0,1108.7
4.99,5.0,90.0,2.0,0.5,1.0,1854.2
9.98,10.0,180.0,2.0,0.5,1.0,1119.2
0.18,20.0,180.0,2.0,0.5,1.0,924.8
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1010.4
0.05,5.0,180.0,2.0,0.5,1.0,633.6
19.93,20.0,365.0,2.0,0.5,1.0,941.6
0.05,10.0,365.0,2.0,0.5,1.0,921.5
4.24,5.0,180.0,2.0,0.5,1.0,1347.0
49.91,50.0,180.0,2.0,0.5,1.0,1236.9
4.85,5.0,30.0,2.0,0.5,1.0,959.1
18.69,20.0,7.0,2.0,0.5,1.0,1029.3
4.970000000000001,5.0,7.0,2.0,0.5,1.0,815.2
18.35,20.0,90.0,2.0,0.5,1.0,782.1
1.08,5.0,365.0,2.0,0.5,1.0,1034.7
42.37,50.0,180.0,2.0,0.5,1.0,1192.9
49.96,50.0,90.0,2.0,0.5,1.0,1064.2
15.38,20.0,30.0,2.0,0.5,1.0,1119.7
45.87,50.0,90.0,2.0,0.5,1.0,1176.4
9.99,10.0,90.0,2.0,0.5,1.0,831.2
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,897.7
3.57,10.0,180.0,2.0,0.5,1.0,1035.9
9.99,10.0,7.0,2.0,0.5,1.0,1228.5
49.65,50.0,7.0,2.0,0.5,1.0,1523.8
0.26,5.0,30.0,2.0,0.5,1.0,1687.6
4.3,20.0,365.0,2.0,0.5,1.0,867.0
16.95,20.0,180.0,2.0,0.5,1.0,1083.0
17.86,50.0,180.0,2.0,0.5,1.0,2184.6
0.46,50.0,180.0,2.0,0.5,1.0,1497.7
19.979999999999997,20.0,90.0,2.0,0.5,1.0,1417.0
19.86,20.0,7.0,2.0,0.5,1.0,743.0
10.53,20.0,90.0,2.0,0.5,1.0,814.9
0.91,50.0,90.0,2.0,0.5,1.0,666.5
4.99,5.0,7.0,2.0,0.5,1.0,1351.0
4.99,5.0,30.0,2.0,0.5,1.0,684.6
49.82,50.0,365.0,2.0,0.5,1.0,1248.3
2.63,5.0,90.0,2.0,0.5,1.0,3645.6
4.59,5.0,90.0,2.0,0.5,1.0,2437.6
0.09,10.0,180.0,2.0,0.5,1.0,949.8
0.23,50.0,365.0,2.0,0.5,1.0,807.6
0.09,20.0,365.0,2.0,0.5,1.0,1013.0
19.419999999999998,20.0,30.0,2.0,0.5,1.0,1431.3
49.99,50.0,30.0,0.0,0.5,1.0,
1.79,5.0,180.0,0.0,0.5,1.0,
10.75,50.0,365.0,2.0,0.5,1.0,1520.4
9.17,10.0,90.0,2.0,0.5,1.0,1011.4
9.96,10.0,365.0,2.0,0.5,1.0,1130.9
8.47,10.0,180.0,2.0,0.5,1.0,1092.8
19.99,20.0,7.0,2.0,0.5,1.0,1187.7
4.99,5.0,180.0,2.0,0.5,1.0,1117.9
19.99,20.0,30.0,2.0,0.5,1.0,2577.2
36.63,50.0,365.0,2.0,0.5,1.0,1218.3
3.66,5.0,365.0,2.0,0.5,1.0,975.7
7.14,20.0,180.0,2.0,0.5,1.0,1114.5
26.32,50.0,90.0,2.0,0.5,1.0,997.9
9.99,10.0,30.0,2.0,0.5,1.0,1214.3
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1176.4
4.98,5.0,365.0,2.0,0.5,1.0,935.6
