0,1,2,3,4,5,6
7.33,10.0,365.0,1.0,0.5,1.0,1805.8
9.93,10.0,7.0,1.0,0.5,1.0,1707.6
3.66,5.0,365.0,1.0,0.5,1.0,2106.8
46.730000000000004,50.0,7.0,1.0,0.5,1.0,2907.9
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1469.1
14.65,20.0,365.0,1.0,0.5,1.0,1676.7
0.09,10.0,180.0,2.0,0.5,1.0,2349.4
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2203.6
10.75,50.0,365.0,2.0,0.5,1.0,2842.9
0.46,50.0,180.0,2.0,0.5,1.0,1535.6
19.93,20.0,365.0,1.0,0.5,1.0,1473.8
18.35,20.0,90.0,1.0,0.5,1.0,1799.3
2.63,50.0,30.0,2.0,0.5,1.0,2153.4
4.67,5.0,7.0,1.0,0.5,1.0,1497.7
42.37,50.0,180.0,1.0,0.5,1.0,1285.8
2.63,5.0,90.0,1.0,0.5,1.0,2757.3
48.54,50.0,30.0,1.0,0.5,1.0,1693.2
4.98,5.0,365.0,1.0,0.5,1.0,1162.7
0.05,5.0,180.0,2.0,0.5,1.0,1458.1
0.02,5.0,365.0,2.0,0.5,1.0,1818.6
19.86,20.0,7.0,1.0,0.5,1.0,1521.9
36.63,50.0,365.0,1.0,0.5,1.0,1563.8
9.62,50.0,7.0,2.0,0.5,1.0,2107.2
1.79,5.0,180.0,2.0,0.5,1.0,1533.1
4.3,20.0,365.0,2.0,0.5,1.0,1439.5
4.59,5.0,90.0,1.0,0.5,1.0,1538.2
26.32,50.0,90.0,2.0,0.5,1.0,2263.0
9.98,10.0,180.0,1.0,0.5,1.0,1401.1
0.18,20.0,180.0,2.0,0.5,1.0,1361.5
45.87,50.0,90.0,1.0,0.5,1.0,1833.7
49.99,50.0,30.0,1.0,0.5,1.0,1892.5
49.82,50.0,365.0,1.0,0.5,1.0,1123.7
8.47,10.0,180.0,1.0,0.5,1.0,1918.0
18.69,20.0,7.0,1.0,0.5,1.0,1232.8
9.99,10.0,90.0,1.0,0.5,1.0,1637.2
19.99,20.0,7.0,1.0,0.5,1.0,1210.8
49.96,50.0,90.0,1.0,0.5,1.0,1626.1
4.99,5.0,30.0,1.0,0.5,1.0,1258.6
49.91,50.0,180.0,1.0,0.5,1.0,1525.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,981.7
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2074.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,897.9
0.09,5.0,90.0,2.0,0.5,1.0,2179.0
9.96,10.0,365.0,1.0,0.5,1.0,949.1
1.05,20.0,30.0,2.0,0.5,1.0,1363.0
4.970000000000001,5.0,7.0,2.0,0.5,1.0,1042.5
0.05,10.0,365.0,2.0,0.5,1.0,1187.8
16.95,20.0,180.0,1.0,0.5,1.0,1024.7
0.18,10.0,90.0,2.0,0.5,1.0,945.1
10.53,20.0,90.0,2.0,0.5,1.0,2074.7
4.99,5.0,90.0,1.0,0.5,1.0,1851.5
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1329.9
38.46,50.0,30.0,1.0,0.5,1.0,1746.6
0.23,50.0,365.0,2.0,0.5,1.0,1455.9
19.99,20.0,30.0,1.0,0.5,1.0,1321.3
0.26,5.0,30.0,2.0,0.5,1.0,1814.2
2.15,10.0,365.0,2.0,0.5,1.0,2058.8
0.53,10.0,30.0,2.0,0.5,1.0,983.2
0.36,20.0,90.0,2.0,0.5,1.0,1036.4
4.85,5.0,30.0,1.0,0.5,1.0,1423.3
7.14,20.0,180.0,1.0,0.5,1.0,2739.6
9.99,10.0,30.0,1.0,0.5,1.0,1383.7
4.99,5.0,7.0,1.0,0.5,1.0,1603.6
15.38,20.0,30.0,1.0,0.5,1.0,1350.5
4.99,5.0,180.0,1.0,0.5,1.0,1419.3
4.24,5.0,180.0,1.0,0.5,1.0,1048.7
1.92,10.0,7.0,2.0,0.5,1.0,1291.1
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1251.7
0.91,50.0,90.0,2.0,0.5,1.0,875.6
5.26,10.0,90.0,1.0,0.5,1.0,1380.1
0.96,5.0,7.0,2.0,0.5,1.0,1235.2
49.99,50.0,7.0,1.0,0.5,1.0,1345.5
3.57,10.0,180.0,1.0,0.5,1.0,1662.4
9.17,10.0,90.0,1.0,0.5,1.0,961.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,927.8
1.08,5.0,365.0,1.0,0.5,1.0,2166.0
49.65,50.0,7.0,1.0,0.5,1.0,2314.1
17.86,50.0,180.0,2.0,0.5,1.0,2365.7
9.99,10.0,7.0,1.0,0.5,1.0,1617.1
0.09,20.0,365.0,2.0,0.5,1.0,2047.0
