0,1,2,3,4,5,6
3.66,5.0,365.0,1.0,0.5,1.0,2322.2
2.63,5.0,90.0,2.0,0.5,1.0,1751.8
4.98,5.0,365.0,1.0,0.5,1.0,1656.2
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1349.1
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2114.1
0.18,20.0,180.0,2.0,0.5,1.0,1995.9
0.53,10.0,30.0,2.0,0.5,1.0,1978.7
0.91,50.0,90.0,2.0,0.5,1.0,1563.7
48.54,50.0,30.0,1.0,0.5,1.0,2148.0
1.92,10.0,7.0,2.0,0.5,1.0,1388.5
4.3,20.0,365.0,2.0,0.5,1.0,1741.2
4.99,5.0,90.0,2.0,0.5,1.0,1823.2
10.53,20.0,90.0,2.0,0.5,1.0,1606.8
0.09,20.0,365.0,1.0,0.5,1.0,1953.9
2.15,10.0,365.0,2.0,0.5,1.0,1544.6
19.93,20.0,365.0,1.0,0.5,1.0,2117.2
4.970000000000001,5.0,7.0,2.0,0.5,1.0,2343.1
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1619.4
18.35,20.0,90.0,1.0,0.5,1.0,3881.6
4.85,5.0,30.0,2.0,0.5,1.0,1879.8
16.95,20.0,180.0,1.0,0.5,1.0,1755.6
9.98,10.0,180.0,1.0,0.5,1.0,2163.6
49.91,50.0,180.0,1.0,0.5,1.0,1783.2
19.86,20.0,7.0,1.0,0.5,1.0,1898.0
18.69,20.0,7.0,2.0,0.5,1.0,2996.5
9.99,10.0,7.0,1.0,0.5,1.0,2413.3
0.26,5.0,30.0,2.0,0.5,1.0,1561.5
4.67,5.0,7.0,1.0,0.5,1.0,3007.8
5.26,10.0,90.0,2.0,0.5,1.0,3919.4
36.63,50.0,365.0,1.0,0.5,1.0,1584.9
15.38,20.0,30.0,2.0,0.5,1.0,3330.3
0.09,10.0,180.0,1.0,0.5,1.0,1566.0
19.99,20.0,30.0,1.0,0.5,1.0,1569.0
9.96,10.0,365.0,1.0,0.5,1.0,1468.7
49.82,50.0,365.0,1.0,0.5,1.0,1983.9
14.65,20.0,365.0,1.0,0.5,1.0,3998.6
42.37,50.0,180.0,1.0,0.5,1.0,1221.3
4.24,5.0,180.0,1.0,0.5,1.0,1539.8
49.99,50.0,7.0,1.0,0.5,1.0,1574.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2556.9
9.99,10.0,30.0,1.0,0.5,1.0,2125.5
9.62,50.0,7.0,2.0,0.5,1.0,2971.3
10.75,50.0,365.0,1.0,0.5,1.0,1453.2
4.99,5.0,30.0,1.0,0.5,1.0,1765.1
17.86,50.0,180.0,1.0,0.5,1.0,1800.0
4.99,5.0,7.0,1.0,0.5,1.0,1919.1
46.730000000000004,50.0,7.0,2.0,0.5,1.0,5606.7
8.47,10.0,180.0,1.0,0.5,1.0,1183.9
26.32,50.0,90.0,1.0,0.5,1.0,3404.3
19.979999999999997,20.0,90.0,2.0,0.5,1.0,1359.5
49.99,50.0,30.0,1.0,0.5,1.0,2040.2
1.79,5.0,180.0,2.0,0.5,1.0,2846.8
0.18,10.0,90.0,2.0,0.5,1.0,2723.2
0.46,50.0,180.0,2.0,0.5,1.0,3555.5
0.05,5.0,180.0,2.0,0.5,1.0,2622.7
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2452.1
49.65,50.0,7.0,1.0,0.5,1.0,2156.0
1.05,20.0,30.0,2.0,0.5,1.0,2451.7
9.93,10.0,7.0,1.0,0.5,1.0,2472.7
9.99,10.0,90.0,1.0,0.5,1.0,1729.4
7.33,10.0,365.0,1.0,0.5,1.0,2180.9
7.14,20.0,180.0,2.0,0.5,1.0,2617.5
38.46,50.0,30.0,2.0,0.5,1.0,2250.1
0.96,5.0,7.0,2.0,0.5,1.0,1450.1
4.59,5.0,90.0,1.0,0.5,1.0,2834.7
4.99,5.0,180.0,1.0,0.5,1.0,1860.5
3.57,10.0,180.0,2.0,0.5,1.0,3222.9
9.17,10.0,90.0,1.0,0.5,1.0,6021.1
0.36,20.0,90.0,2.0,0.5,1.0,2310.4
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2179.6
0.09,5.0,90.0,2.0,0.5,1.0,2008.7
49.96,50.0,90.0,1.0,0.5,1.0,1906.3
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1895.1
1.08,5.0,365.0,2.0,0.5,1.0,3354.0
45.87,50.0,90.0,1.0,0.5,1.0,1341.8
0.02,5.0,365.0,2.0,0.5,1.0,1768.3
0.05,10.0,365.0,2.0,0.5,1.0,1824.6
2.63,50.0,30.0,2.0,0.5,1.0,1575.0
19.99,20.0,7.0,2.0,0.5,1.0,1486.9
0.23,50.0,365.0,2.0,0.5,1.0,2248.8
