0,1,2,3,4,5,6
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1866.7
4.3,20.0,365.0,1.0,0.5,1.0,1711.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2048.6
4.99,5.0,30.0,2.0,0.5,1.0,2007.7
0.18,20.0,180.0,2.0,0.5,1.0,1574.3
19.99,20.0,30.0,1.0,0.5,1.0,1911.2
49.82,50.0,365.0,1.0,0.5,1.0,1740.1
14.65,20.0,365.0,1.0,0.5,1.0,2502.2
26.32,50.0,90.0,1.0,0.5,1.0,1802.0
9.93,10.0,7.0,1.0,0.5,1.0,1352.5
9.96,10.0,365.0,2.0,0.5,1.0,1332.2
1.05,20.0,30.0,2.0,0.5,1.0,2169.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1344.6
45.87,50.0,90.0,1.0,0.5,1.0,1176.2
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1651.2
18.35,20.0,90.0,2.0,0.5,1.0,1169.9
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1495.6
7.33,10.0,365.0,1.0,0.5,1.0,1744.0
19.93,20.0,365.0,1.0,0.5,1.0,1147.4
38.46,50.0,30.0,1.0,0.5,1.0,1432.1
19.99,20.0,7.0,1.0,0.5,1.0,1297.7
4.99,5.0,180.0,1.0,0.5,1.0,1241.1
5.26,10.0,90.0,2.0,0.5,1.0,1771.7
15.38,20.0,30.0,1.0,0.5,1.0,1446.9
10.53,20.0,90.0,1.0,0.5,1.0,1359.8
4.99,5.0,7.0,1.0,0.5,1.0,1404.9
0.96,5.0,7.0,2.0,0.5,1.0,1129.2
9.17,10.0,90.0,1.0,0.5,1.0,1536.7
2.15,10.0,365.0,1.0,0.5,1.0,1730.8
49.99,50.0,7.0,1.0,0.5,1.0,997.8000000999999
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1352.5
0.91,50.0,90.0,2.0,0.5,1.0,1311.7
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1413.6
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1534.0
0.02,5.0,365.0,2.0,0.5,1.0,1160.9
16.95,20.0,180.0,1.0,0.5,1.0,1057.5
1.79,5.0,180.0,1.0,0.5,1.0,1713.7
2.63,50.0,30.0,2.0,0.5,1.0,1414.5
0.09,10.0,180.0,2.0,0.5,1.0,1463.9
0.36,20.0,90.0,2.0,0.5,1.0,1139.9
0.09,20.0,365.0,2.0,0.5,1.0,1237.4
10.75,50.0,365.0,1.0,0.5,1.0,1390.1
48.54,50.0,30.0,1.0,0.5,1.0,919.5
7.14,20.0,180.0,2.0,0.5,1.0,1481.3
49.65,50.0,7.0,1.0,0.5,1.0,759.7
8.47,10.0,180.0,1.0,0.5,1.0,1282.3
49.96,50.0,90.0,1.0,0.5,1.0,1126.4
9.99,10.0,90.0,1.0,0.5,1.0,913.3000000999999
2.63,5.0,90.0,2.0,0.5,1.0,1202.3
36.63,50.0,365.0,1.0,0.5,1.0,1099.3
18.69,20.0,7.0,1.0,0.5,1.0,815.7
0.46,50.0,180.0,2.0,0.5,1.0,722.3000000999999
1.92,10.0,7.0,2.0,0.5,1.0,899.0
0.53,10.0,30.0,2.0,0.5,1.0,737.5
9.62,50.0,7.0,2.0,0.5,1.0,1137.5
17.86,50.0,180.0,2.0,0.5,1.0,1330.3
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1961.8
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1607.6
42.37,50.0,180.0,1.0,0.5,1.0,1342.9
1.08,5.0,365.0,1.0,0.5,1.0,1771.1
0.05,10.0,365.0,2.0,0.5,1.0,1062.3
9.98,10.0,180.0,1.0,0.5,1.0,1001.3
49.99,50.0,30.0,1.0,0.5,1.0,1180.6
4.59,5.0,90.0,1.0,0.5,1.0,973.1999999000001
19.86,20.0,7.0,1.0,0.5,1.0,1008.7
4.24,5.0,180.0,1.0,0.5,1.0,831.3
3.57,10.0,180.0,2.0,0.5,1.0,1667.4
0.23,50.0,365.0,2.0,0.5,1.0,1199.6
3.66,5.0,365.0,1.0,0.5,1.0,877.5
9.99,10.0,7.0,1.0,0.5,1.0,873.8
4.67,5.0,7.0,1.0,0.5,1.0,1130.2
0.26,5.0,30.0,1.0,0.5,1.0,1033.6
49.91,50.0,180.0,1.0,0.5,1.0,1004.2
9.99,10.0,30.0,1.0,0.5,1.0,1410.2
0.18,10.0,90.0,2.0,0.5,1.0,1168.8
0.09,5.0,90.0,2.0,0.5,1.0,1186.3
0.05,5.0,180.0,2.0,0.5,1.0,1230.0
4.99,5.0,90.0,1.0,0.5,1.0,1130.8
4.85,5.0,30.0,1.0,0.5,1.0,824.0
4.98,5.0,365.0,1.0,0.5,1.0,676.9
