0,1,2,3,4,5,6
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1866.0
4.99,5.0,180.0,1.0,0.5,1.0,2364.9
49.82,50.0,365.0,1.0,0.5,1.0,2608.8
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2003.5
0.91,50.0,90.0,2.0,0.5,1.0,2578.6
9.99,10.0,30.0,1.0,0.5,1.0,2307.4
49.96,50.0,90.0,1.0,0.5,1.0,2451.3
49.91,50.0,180.0,1.0,0.5,1.0,2523.7
42.37,50.0,180.0,1.0,0.5,1.0,2802.0
1.92,10.0,7.0,2.0,0.5,1.0,2254.4
26.32,50.0,90.0,1.0,0.5,1.0,5555.9
0.02,5.0,365.0,2.0,0.5,1.0,1700.2
0.26,5.0,30.0,2.0,0.5,1.0,3203.3
4.99,5.0,90.0,1.0,0.5,1.0,1653.8
4.85,5.0,30.0,1.0,0.5,1.0,1912.0
2.63,50.0,30.0,2.0,0.5,1.0,1828.8
4.67,5.0,7.0,1.0,0.5,1.0,2287.0
19.99,20.0,7.0,1.0,0.5,1.0,1743.4
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,3663.0
10.75,50.0,365.0,1.0,0.5,1.0,2612.9
7.14,20.0,180.0,1.0,0.5,1.0,2532.3
19.93,20.0,365.0,1.0,0.5,1.0,1894.8
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2097.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1920.0
49.65,50.0,7.0,1.0,0.5,1.0,2306.0
4.24,5.0,180.0,1.0,0.5,1.0,3339.2
1.05,20.0,30.0,2.0,0.5,1.0,2302.7
9.99,10.0,7.0,2.0,0.5,1.0,1384.0
0.05,10.0,365.0,2.0,0.5,1.0,2689.3
9.62,50.0,7.0,2.0,0.5,1.0,2341.4
4.59,5.0,90.0,1.0,0.5,1.0,3477.1
9.99,10.0,90.0,1.0,0.5,1.0,1838.2
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2108.9
0.53,10.0,30.0,2.0,0.5,1.0,2631.0
4.99,5.0,7.0,1.0,0.5,1.0,3020.4
18.35,20.0,90.0,1.0,0.5,1.0,3027.6
9.17,10.0,90.0,1.0,0.5,1.0,2337.3
15.38,20.0,30.0,1.0,0.5,1.0,2534.2
8.47,10.0,180.0,1.0,0.5,1.0,2557.0
14.65,20.0,365.0,1.0,0.5,1.0,2930.9
3.57,10.0,180.0,1.0,0.5,1.0,4142.2
0.36,20.0,90.0,2.0,0.5,1.0,1725.2
0.96,5.0,7.0,2.0,0.5,1.0,2336.7
2.63,5.0,90.0,1.0,0.5,1.0,3563.5
49.99,50.0,7.0,1.0,0.5,1.0,2454.8
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1860.4
9.98,10.0,180.0,1.0,0.5,1.0,1690.3
17.86,50.0,180.0,2.0,0.5,1.0,5967.8
7.33,10.0,365.0,1.0,0.5,1.0,3444.3
4.98,5.0,365.0,1.0,0.5,1.0,1563.6
1.79,5.0,180.0,1.0,0.5,1.0,3816.6
9.96,10.0,365.0,1.0,0.5,1.0,1542.8
5.26,10.0,90.0,1.0,0.5,1.0,3132.9
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1945.4
38.46,50.0,30.0,1.0,0.5,1.0,2823.3
0.09,20.0,365.0,2.0,0.5,1.0,1836.8
0.05,5.0,180.0,2.0,0.5,1.0,2975.3
0.46,50.0,180.0,2.0,0.5,1.0,2753.8
0.18,10.0,90.0,2.0,0.5,1.0,1622.3
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2048.5
19.979999999999997,20.0,90.0,1.0,0.5,1.0,3578.5
0.18,20.0,180.0,2.0,0.5,1.0,1284.6
19.86,20.0,7.0,1.0,0.5,1.0,2088.4
36.63,50.0,365.0,1.0,0.5,1.0,2916.6
0.09,5.0,90.0,2.0,0.5,1.0,2416.6
3.66,5.0,365.0,1.0,0.5,1.0,1908.0
10.53,20.0,90.0,1.0,0.5,1.0,3796.7
4.3,20.0,365.0,2.0,0.5,1.0,5455.3
4.99,5.0,30.0,1.0,0.5,1.0,1644.7
0.23,50.0,365.0,2.0,0.5,1.0,2742.3
18.69,20.0,7.0,1.0,0.5,1.0,2374.6
2.15,10.0,365.0,1.0,0.5,1.0,2584.2
48.54,50.0,30.0,1.0,0.5,1.0,1834.2
16.95,20.0,180.0,1.0,0.5,1.0,2057.0
45.87,50.0,90.0,1.0,0.5,1.0,1820.1
49.99,50.0,30.0,1.0,0.5,1.0,2709.0
9.93,10.0,7.0,1.0,0.5,1.0,2281.6
0.09,10.0,180.0,2.0,0.5,1.0,1865.6
1.08,5.0,365.0,1.0,0.5,1.0,2879.3
19.99,20.0,30.0,1.0,0.5,1.0,2582.5
