0,1,2,3,4,5,6
9.350000000000001,10.0,7.0,2.0,0.5,1.0,5000.9
9.99,10.0,30.0,1.0,0.5,1.0,2664.5
1.92,10.0,7.0,2.0,0.5,1.0,2100.5
0.09,10.0,180.0,2.0,0.5,1.0,1470.9
17.86,50.0,180.0,2.0,0.5,1.0,3440.3
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2024.5
0.96,5.0,7.0,2.0,0.5,1.0,1285.4
0.09,5.0,90.0,2.0,0.5,1.0,2676.5
0.18,20.0,180.0,2.0,0.5,1.0,2197.1
9.99,10.0,7.0,2.0,0.5,1.0,1365.8
2.15,10.0,365.0,2.0,0.5,1.0,2120.8
1.79,5.0,180.0,2.0,0.5,1.0,1683.0
10.53,20.0,90.0,2.0,0.5,1.0,1241.8
1.05,20.0,30.0,2.0,0.5,1.0,1401.6
18.69,20.0,7.0,2.0,0.5,1.0,1155.7
45.87,50.0,90.0,1.0,0.5,1.0,3454.0
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2904.2
9.96,10.0,365.0,1.0,0.5,1.0,2173.2
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1765.0
9.62,50.0,7.0,2.0,0.5,1.0,2374.7
19.86,20.0,7.0,2.0,0.5,1.0,1211.4
9.98,10.0,180.0,1.0,0.5,1.0,2339.7
0.05,5.0,180.0,2.0,0.5,1.0,2896.5
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1658.7
5.26,10.0,90.0,2.0,0.5,1.0,2059.1
0.09,20.0,365.0,2.0,0.5,1.0,2805.8
36.63,50.0,365.0,2.0,0.5,1.0,1571.8
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2371.0
0.53,10.0,30.0,2.0,0.5,1.0,1853.0
2.63,50.0,30.0,2.0,0.5,1.0,1968.6
49.82,50.0,365.0,1.0,0.5,1.0,1388.0
0.05,10.0,365.0,2.0,0.5,1.0,2164.1
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,3347.4
10.75,50.0,365.0,2.0,0.5,1.0,923.0
4.67,5.0,7.0,1.0,0.5,1.0,1425.6
4.3,20.0,365.0,2.0,0.5,1.0,2036.0
48.54,50.0,30.0,2.0,0.5,1.0,5651.4
0.18,10.0,90.0,2.0,0.5,1.0,1152.2
49.96,50.0,90.0,2.0,0.5,1.0,3239.6
19.93,20.0,365.0,1.0,0.5,1.0,4858.9
4.99,5.0,30.0,1.0,0.5,1.0,1892.5
0.26,5.0,30.0,2.0,0.5,1.0,2034.6
19.99,20.0,30.0,1.0,0.5,1.0,1508.1
49.99,50.0,7.0,1.0,0.5,1.0,2027.7
9.93,10.0,7.0,2.0,0.5,1.0,1810.4
2.63,5.0,90.0,2.0,0.5,1.0,2724.9
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1809.8
49.91,50.0,180.0,1.0,0.5,1.0,1787.3
49.99,50.0,30.0,1.0,0.5,1.0,2417.2
15.38,20.0,30.0,2.0,0.5,1.0,2595.0
1.08,5.0,365.0,1.0,0.5,1.0,2804.0
8.47,10.0,180.0,1.0,0.5,1.0,3665.6
4.99,5.0,90.0,1.0,0.5,1.0,2527.2
3.66,5.0,365.0,1.0,0.5,1.0,1851.3
26.32,50.0,90.0,2.0,0.5,1.0,2403.2
16.95,20.0,180.0,2.0,0.5,1.0,2721.0
0.46,50.0,180.0,2.0,0.5,1.0,988.4
0.02,5.0,365.0,2.0,0.5,1.0,1972.2
4.24,5.0,180.0,1.0,0.5,1.0,6066.9
18.35,20.0,90.0,2.0,0.5,1.0,2578.2
0.91,50.0,90.0,2.0,0.5,1.0,955.3000000999999
0.36,20.0,90.0,2.0,0.5,1.0,930.1
7.14,20.0,180.0,2.0,0.5,1.0,1067.8
4.98,5.0,365.0,1.0,0.5,1.0,1582.4
14.65,20.0,365.0,2.0,0.5,1.0,1490.3
3.57,10.0,180.0,2.0,0.5,1.0,5055.8
4.85,5.0,30.0,2.0,0.5,1.0,2226.8
7.33,10.0,365.0,2.0,0.5,1.0,3944.2
42.37,50.0,180.0,2.0,0.5,1.0,1292.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,978.5
38.46,50.0,30.0,2.0,0.5,1.0,1480.6
4.59,5.0,90.0,1.0,0.5,1.0,2524.4
9.17,10.0,90.0,2.0,0.5,1.0,3119.7
9.709999999999999,10.0,30.0,2.0,0.5,1.0,3136.8
4.99,5.0,7.0,1.0,0.5,1.0,1260.4
49.65,50.0,7.0,2.0,0.5,1.0,1733.8
9.99,10.0,90.0,1.0,0.5,1.0,3160.5
0.23,50.0,365.0,2.0,0.5,1.0,1495.1
4.99,5.0,180.0,1.0,0.5,1.0,1331.4
19.99,20.0,7.0,1.0,0.5,1.0,3186.9
