0,1,2,3,4,5,6
9.99,10.0,90.0,1.0,0.5,1.0,4320.3
0.46,50.0,180.0,2.0,0.5,1.0,2248.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1723.1
1.05,20.0,30.0,2.0,0.5,1.0,962.7
4.99,5.0,7.0,1.0,0.5,1.0,1527.1
2.63,5.0,90.0,2.0,0.5,1.0,1538.0
17.86,50.0,180.0,2.0,0.5,1.0,1456.3
9.99,10.0,30.0,1.0,0.5,1.0,1884.5
4.99,5.0,180.0,1.0,0.5,1.0,1261.1
45.87,50.0,90.0,2.0,0.5,1.0,2257.1
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1128.5
2.63,50.0,30.0,2.0,0.5,1.0,829.7
0.05,10.0,365.0,2.0,0.5,1.0,745.9
7.33,10.0,365.0,2.0,0.5,1.0,1102.0
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1225.3
42.37,50.0,180.0,2.0,0.5,1.0,1248.1
0.23,50.0,365.0,2.0,0.5,1.0,822.5
4.3,20.0,365.0,2.0,0.5,1.0,799.3
0.53,10.0,30.0,2.0,0.5,1.0,972.2
9.62,50.0,7.0,2.0,0.5,1.0,1246.1
0.05,5.0,180.0,2.0,0.5,1.0,760.5
0.36,20.0,90.0,2.0,0.5,1.0,910.2
4.24,5.0,180.0,2.0,0.5,1.0,1392.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,881.1
4.99,5.0,90.0,1.0,0.5,1.0,1063.3
49.99,50.0,30.0,1.0,0.5,1.0,1152.8
49.99,50.0,7.0,2.0,0.5,1.0,1547.0
0.02,5.0,365.0,2.0,0.5,1.0,791.1
4.99,5.0,30.0,1.0,0.5,1.0,1091.9
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1128.5
1.08,5.0,365.0,2.0,0.5,1.0,912.3
26.32,50.0,90.0,2.0,0.5,1.0,1009.8
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1200.5
19.86,20.0,7.0,1.0,0.5,1.0,975.2
3.57,10.0,180.0,2.0,0.5,1.0,937.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1413.5
19.99,20.0,7.0,1.0,0.5,1.0,871.5
19.93,20.0,365.0,1.0,0.5,1.0,960.7
49.65,50.0,7.0,1.0,0.5,1.0,1743.6
1.92,10.0,7.0,2.0,0.5,1.0,856.6
48.54,50.0,30.0,2.0,0.5,1.0,1425.5
19.99,20.0,30.0,1.0,0.5,1.0,1029.3
15.38,20.0,30.0,2.0,0.5,1.0,984.8
0.09,5.0,90.0,2.0,0.5,1.0,800.6
0.96,5.0,7.0,2.0,0.5,1.0,849.1
5.26,10.0,90.0,2.0,0.5,1.0,761.2
18.69,20.0,7.0,2.0,0.5,1.0,774.0
38.46,50.0,30.0,2.0,0.5,1.0,759.8
49.96,50.0,90.0,1.0,0.5,1.0,1255.5
9.99,10.0,7.0,1.0,0.5,1.0,1679.3
18.35,20.0,90.0,2.0,0.5,1.0,836.6
4.98,5.0,365.0,1.0,0.5,1.0,1770.9
2.15,10.0,365.0,2.0,0.5,1.0,771.1
10.53,20.0,90.0,2.0,0.5,1.0,887.2
36.63,50.0,365.0,2.0,0.5,1.0,788.8
49.91,50.0,180.0,1.0,0.5,1.0,1918.2
0.26,5.0,30.0,2.0,0.5,1.0,905.5
0.91,50.0,90.0,2.0,0.5,1.0,802.5
9.350000000000001,10.0,7.0,2.0,0.5,1.0,758.0
9.96,10.0,365.0,2.0,0.5,1.0,756.9
9.17,10.0,90.0,2.0,0.5,1.0,740.0
4.85,5.0,30.0,2.0,0.5,1.0,1371.5
4.67,5.0,7.0,2.0,0.5,1.0,819.7
3.66,5.0,365.0,2.0,0.5,1.0,794.9
49.82,50.0,365.0,1.0,0.5,1.0,2294.3
4.59,5.0,90.0,1.0,0.5,1.0,1379.9
9.709999999999999,10.0,30.0,2.0,0.5,1.0,834.7
0.09,20.0,365.0,2.0,0.5,1.0,833.6
16.95,20.0,180.0,2.0,0.5,1.0,822.1
9.93,10.0,7.0,2.0,0.5,1.0,1803.8
10.75,50.0,365.0,2.0,0.5,1.0,1299.5
8.47,10.0,180.0,2.0,0.5,1.0,912.7
0.18,10.0,90.0,2.0,0.5,1.0,513.5
0.09,10.0,180.0,2.0,0.5,1.0,663.0
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1067.0
0.18,20.0,180.0,2.0,0.5,1.0,1220.0
7.14,20.0,180.0,2.0,0.5,1.0,2424.2
1.79,5.0,180.0,2.0,0.5,1.0,1157.7
14.65,20.0,365.0,2.0,0.5,1.0,927.2
9.98,10.0,180.0,1.0,0.5,1.0,1931.7
