0,1,2,3,4,5,6
4.99,5.0,90.0,1.0,0.5,1.0,3468.3
48.54,50.0,30.0,1.0,0.5,1.0,3260.3
2.15,10.0,365.0,1.0,0.5,1.0,3233.4
2.63,5.0,90.0,1.0,0.5,1.0,2645.8
4.85,5.0,30.0,1.0,0.5,1.0,1741.2
4.99,5.0,7.0,1.0,0.5,1.0,2104.9
49.96,50.0,90.0,1.0,0.5,1.0,1524.3
9.93,10.0,7.0,1.0,0.5,1.0,2353.1
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1580.5
2.63,50.0,30.0,2.0,0.5,1.0,2933.7
0.36,20.0,90.0,2.0,0.5,1.0,3644.6
19.99,20.0,30.0,1.0,0.5,1.0,1894.0
0.53,10.0,30.0,2.0,0.5,1.0,2718.8
8.47,10.0,180.0,1.0,0.5,1.0,1740.9
10.75,50.0,365.0,1.0,0.5,1.0,2208.4
49.99,50.0,7.0,1.0,0.5,1.0,2534.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1485.6
19.99,20.0,7.0,1.0,0.5,1.0,1859.5
0.09,20.0,365.0,1.0,0.5,1.0,2616.3
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1846.8
4.99,5.0,30.0,1.0,0.5,1.0,1592.9
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2145.4
19.93,20.0,365.0,1.0,0.5,1.0,1545.0
1.92,10.0,7.0,2.0,0.5,1.0,1419.9
4.3,20.0,365.0,1.0,0.5,1.0,1827.9
49.65,50.0,7.0,1.0,0.5,1.0,1657.8
9.99,10.0,90.0,1.0,0.5,1.0,1482.2
9.96,10.0,365.0,1.0,0.5,1.0,1728.6
9.98,10.0,180.0,1.0,0.5,1.0,1372.2
38.46,50.0,30.0,1.0,0.5,1.0,1549.4
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1582.5
1.08,5.0,365.0,1.0,0.5,1.0,1752.4
4.99,5.0,180.0,1.0,0.5,1.0,1365.6
7.33,10.0,365.0,1.0,0.5,1.0,1479.9
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2379.4
4.67,5.0,7.0,1.0,0.5,1.0,1649.7
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1548.2
19.86,20.0,7.0,1.0,0.5,1.0,1217.0
45.87,50.0,90.0,1.0,0.5,1.0,1732.2
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1371.5
9.99,10.0,7.0,1.0,0.5,1.0,1521.4
17.86,50.0,180.0,1.0,0.5,1.0,2005.5
10.53,20.0,90.0,1.0,0.5,1.0,1296.2
0.26,5.0,30.0,2.0,0.5,1.0,2353.5
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1977.8
18.35,20.0,90.0,1.0,0.5,1.0,1324.2
0.09,5.0,90.0,1.0,0.5,1.0,2516.4
0.46,50.0,180.0,2.0,0.5,1.0,2051.6
0.18,20.0,180.0,2.0,0.5,1.0,1908.9
0.18,10.0,90.0,2.0,0.5,1.0,2011.0
3.66,5.0,365.0,1.0,0.5,1.0,1839.9
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2268.9
0.23,50.0,365.0,2.0,0.5,1.0,2257.5
1.79,5.0,180.0,1.0,0.5,1.0,2314.4
1.05,20.0,30.0,2.0,0.5,1.0,1557.1
49.91,50.0,180.0,1.0,0.5,1.0,1909.0
4.24,5.0,180.0,1.0,0.5,1.0,1756.1
26.32,50.0,90.0,1.0,0.5,1.0,2639.9
5.26,10.0,90.0,1.0,0.5,1.0,1960.6
18.69,20.0,7.0,1.0,0.5,1.0,1378.1
0.05,10.0,365.0,2.0,0.5,1.0,2864.2
16.95,20.0,180.0,1.0,0.5,1.0,1610.3
0.02,5.0,365.0,2.0,0.5,1.0,2148.1
14.65,20.0,365.0,1.0,0.5,1.0,1634.2
15.38,20.0,30.0,1.0,0.5,1.0,1609.1
49.82,50.0,365.0,1.0,0.5,1.0,1759.1
7.14,20.0,180.0,1.0,0.5,1.0,1851.7
9.99,10.0,30.0,1.0,0.5,1.0,1675.4
9.17,10.0,90.0,1.0,0.5,1.0,1555.1
0.91,50.0,90.0,2.0,0.5,1.0,3705.5
49.99,50.0,30.0,1.0,0.5,1.0,1575.8
3.57,10.0,180.0,2.0,0.5,1.0,1622.3
36.63,50.0,365.0,1.0,0.5,1.0,1332.7
9.62,50.0,7.0,2.0,0.5,1.0,1927.5
4.98,5.0,365.0,1.0,0.5,1.0,1483.7
0.09,10.0,180.0,2.0,0.5,1.0,4298.6
42.37,50.0,180.0,1.0,0.5,1.0,1218.2
4.59,5.0,90.0,1.0,0.5,1.0,1531.6
0.05,5.0,180.0,2.0,0.5,1.0,2022.6
0.96,5.0,7.0,2.0,0.5,1.0,2434.2
