0,1,2,3,4,5,6
26.32,50.0,90.0,2.0,0.5,1.0,2144.0
9.93,10.0,7.0,1.0,0.5,1.0,1926.0
4.85,5.0,30.0,1.0,0.5,1.0,2092.0
4.99,5.0,30.0,1.0,0.5,1.0,2077.0
4.3,20.0,365.0,1.0,0.5,1.0,2361.0
9.99,10.0,90.0,1.0,0.5,1.0,1687.0
48.54,50.0,30.0,1.0,0.5,1.0,2272.0
16.95,20.0,180.0,1.0,0.5,1.0,2046.0
45.87,50.0,90.0,1.0,0.5,1.0,1777.0
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1762.0
0.18,20.0,180.0,1.0,0.5,1.0,3338.0
4.59,5.0,90.0,1.0,0.5,1.0,3607.0
4.99,5.0,7.0,1.0,0.5,1.0,1131.0
46.730000000000004,50.0,7.0,2.0,0.5,1.0,3696.0
19.99,20.0,30.0,1.0,0.5,1.0,2091.0
10.75,50.0,365.0,1.0,0.5,1.0,2107.0
19.93,20.0,365.0,1.0,0.5,1.0,1447.0
4.98,5.0,365.0,1.0,0.5,1.0,1237.0
0.26,5.0,30.0,2.0,0.5,1.0,2197.0
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,3817.0
9.98,10.0,180.0,1.0,0.5,1.0,4342.0
7.33,10.0,365.0,1.0,0.5,1.0,1356.0
3.57,10.0,180.0,1.0,0.5,1.0,1506.0
2.15,10.0,365.0,1.0,0.5,1.0,1176.0
0.09,5.0,90.0,2.0,0.5,1.0,1419.0
18.35,20.0,90.0,1.0,0.5,1.0,1387.0
14.65,20.0,365.0,1.0,0.5,1.0,1327.0
49.82,50.0,365.0,1.0,0.5,1.0,1191.0
0.05,10.0,365.0,1.0,0.5,1.0,1927.0
49.99,50.0,30.0,1.0,0.5,1.0,3501.0
42.37,50.0,180.0,1.0,0.5,1.0,1612.0
9.96,10.0,365.0,1.0,0.5,1.0,1476.0
4.67,5.0,7.0,1.0,0.5,1.0,1027.0
49.96,50.0,90.0,1.0,0.5,1.0,1087.0
3.8499999999999996,20.0,7.0,1.0,0.5,1.0,1013.0
1.05,20.0,30.0,2.0,0.5,1.0,2001.0
4.99,5.0,90.0,1.0,0.5,1.0,1282.0
8.47,10.0,180.0,1.0,0.5,1.0,1252.0
2.63,5.0,90.0,1.0,0.5,1.0,1716.0
0.46,50.0,180.0,1.0,0.5,1.0,1342.0
4.99,5.0,180.0,1.0,0.5,1.0,1319.0
49.91,50.0,180.0,1.0,0.5,1.0,1386.0
17.86,50.0,180.0,1.0,0.5,1.0,1222.0
38.46,50.0,30.0,1.0,0.5,1.0,2422.0
1.08,5.0,365.0,1.0,0.5,1.0,1027.0
19.86,20.0,7.0,1.0,0.5,1.0,1252.0
15.38,20.0,30.0,1.0,0.5,1.0,2272.0
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1073.0
0.09,10.0,180.0,2.0,0.5,1.0,2120.0
1.79,5.0,180.0,1.0,0.5,1.0,1491.0
0.36,20.0,90.0,2.0,0.5,1.0,1999.0
3.66,5.0,365.0,1.0,0.5,1.0,2827.0
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1207.0
1.92,10.0,7.0,2.0,0.5,1.0,1402.0
7.14,20.0,180.0,1.0,0.5,1.0,1478.0
0.02,5.0,365.0,2.0,0.5,1.0,1971.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2482.0
49.65,50.0,7.0,1.0,0.5,1.0,1717.0
36.63,50.0,365.0,1.0,0.5,1.0,2871.0
18.69,20.0,7.0,1.0,0.5,1.0,2467.0
0.18,10.0,90.0,2.0,0.5,1.0,1417.0
2.63,50.0,30.0,2.0,0.5,1.0,1386.0
9.99,10.0,7.0,1.0,0.5,1.0,2123.0
0.96,5.0,7.0,2.0,0.5,1.0,1747.0
0.05,5.0,180.0,2.0,0.5,1.0,2001.0
9.17,10.0,90.0,1.0,0.5,1.0,1221.0
10.53,20.0,90.0,1.0,0.5,1.0,2151.0
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2947.0
19.99,20.0,7.0,1.0,0.5,1.0,1252.0
4.24,5.0,180.0,1.0,0.5,1.0,1192.0
0.91,50.0,90.0,2.0,0.5,1.0,1822.0
9.62,50.0,7.0,1.0,0.5,1.0,1132.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,862.0
9.99,10.0,30.0,1.0,0.5,1.0,1282.0
5.26,10.0,90.0,2.0,0.5,1.0,1926.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1492.0
0.53,10.0,30.0,2.0,0.5,1.0,1673.0
49.99,50.0,7.0,1.0,0.5,1.0,1161.0
0.23,50.0,365.0,2.0,0.5,1.0,1867.0
0.09,20.0,365.0,2.0,0.5,1.0,1507.0
