0,1,2,3,4,5,6
19.93,20.0,365.0,1.0,0.5,1.0,2622.8
9.99,10.0,30.0,1.0,0.5,1.0,1961.9
49.96,50.0,90.0,1.0,0.5,1.0,2091.8
9.93,10.0,7.0,1.0,0.5,1.0,2128.5
3.66,5.0,365.0,1.0,0.5,1.0,2091.0
19.86,20.0,7.0,1.0,0.5,1.0,2426.4
5.26,10.0,90.0,1.0,0.5,1.0,2394.3
19.99,20.0,7.0,1.0,0.5,1.0,1907.9
38.46,50.0,30.0,1.0,0.5,1.0,2658.2
0.05,10.0,365.0,2.0,0.5,1.0,2457.8
42.37,50.0,180.0,1.0,0.5,1.0,2186.2
4.67,5.0,7.0,1.0,0.5,1.0,3259.3
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1770.0
2.15,10.0,365.0,1.0,0.5,1.0,2313.9
0.91,50.0,90.0,2.0,0.5,1.0,2042.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2001.7
17.86,50.0,180.0,2.0,0.5,1.0,4220.3
4.99,5.0,90.0,1.0,0.5,1.0,2019.6
0.18,20.0,180.0,2.0,0.5,1.0,1747.7
19.99,20.0,30.0,1.0,0.5,1.0,1626.3
18.69,20.0,7.0,1.0,0.5,1.0,1536.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2155.4
1.92,10.0,7.0,2.0,0.5,1.0,2114.5
14.65,20.0,365.0,1.0,0.5,1.0,1778.7
48.54,50.0,30.0,1.0,0.5,1.0,1891.2
45.87,50.0,90.0,1.0,0.5,1.0,1987.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2683.6
9.17,10.0,90.0,1.0,0.5,1.0,1538.4
3.57,10.0,180.0,1.0,0.5,1.0,3468.5
49.65,50.0,7.0,1.0,0.5,1.0,1809.9
2.63,50.0,30.0,2.0,0.5,1.0,1986.4
36.63,50.0,365.0,1.0,0.5,1.0,1796.0
1.79,5.0,180.0,1.0,0.5,1.0,2219.2
0.18,10.0,90.0,2.0,0.5,1.0,2474.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1715.8
9.96,10.0,365.0,1.0,0.5,1.0,1929.9
9.99,10.0,7.0,1.0,0.5,1.0,2105.7
15.38,20.0,30.0,2.0,0.5,1.0,2786.7
7.14,20.0,180.0,1.0,0.5,1.0,4186.5
0.09,20.0,365.0,2.0,0.5,1.0,1866.2
49.99,50.0,30.0,1.0,0.5,1.0,1846.4
49.82,50.0,365.0,1.0,0.5,1.0,1642.3
0.09,5.0,90.0,2.0,0.5,1.0,2380.2
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1866.6
9.62,50.0,7.0,2.0,0.5,1.0,3746.6
10.53,20.0,90.0,1.0,0.5,1.0,2450.3
4.3,20.0,365.0,1.0,0.5,1.0,2530.4
0.53,10.0,30.0,2.0,0.5,1.0,2562.6
9.98,10.0,180.0,1.0,0.5,1.0,2459.0
49.99,50.0,7.0,2.0,0.5,1.0,2298.2
16.95,20.0,180.0,1.0,0.5,1.0,2546.5
18.35,20.0,90.0,1.0,0.5,1.0,1555.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1746.4
4.99,5.0,180.0,1.0,0.5,1.0,1548.6
4.59,5.0,90.0,1.0,0.5,1.0,1675.6
0.96,5.0,7.0,2.0,0.5,1.0,1570.5
0.02,5.0,365.0,1.0,0.5,1.0,1588.5
8.47,10.0,180.0,1.0,0.5,1.0,1554.2
0.46,50.0,180.0,2.0,0.5,1.0,1674.6
0.09,10.0,180.0,2.0,0.5,1.0,2714.3
0.26,5.0,30.0,2.0,0.5,1.0,1978.9
0.36,20.0,90.0,2.0,0.5,1.0,1970.4
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1626.3
4.99,5.0,30.0,1.0,0.5,1.0,1490.7
0.23,50.0,365.0,2.0,0.5,1.0,1595.6
7.33,10.0,365.0,1.0,0.5,1.0,1530.9
4.85,5.0,30.0,1.0,0.5,1.0,1291.3
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2842.5
9.99,10.0,90.0,1.0,0.5,1.0,1154.3
4.99,5.0,7.0,1.0,0.5,1.0,2132.2
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2554.9
10.75,50.0,365.0,2.0,0.5,1.0,2596.5
49.91,50.0,180.0,1.0,0.5,1.0,1901.9
26.32,50.0,90.0,2.0,0.5,1.0,2116.0
4.24,5.0,180.0,1.0,0.5,1.0,1292.1
2.63,5.0,90.0,1.0,0.5,1.0,1954.3
4.98,5.0,365.0,1.0,0.5,1.0,1362.0
1.05,20.0,30.0,2.0,0.5,1.0,1531.0
0.05,5.0,180.0,2.0,0.5,1.0,1508.2
1.08,5.0,365.0,1.0,0.5,1.0,1642.0
