0,1,2,3,4,5,6
17.86,50.0,180.0,2.0,0.5,1.0,5278.0
16.95,20.0,180.0,1.0,0.5,1.0,3000.0
0.26,5.0,30.0,2.0,0.5,1.0,2093.0
19.99,20.0,30.0,1.0,0.5,1.0,2928.0
26.32,50.0,90.0,2.0,0.5,1.0,3303.0
3.57,10.0,180.0,2.0,0.5,1.0,3749.0
4.99,5.0,90.0,1.0,0.5,1.0,1591.0
0.18,10.0,90.0,2.0,0.5,1.0,2040.0
5.26,10.0,90.0,2.0,0.5,1.0,1982.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1587.0
3.66,5.0,365.0,1.0,0.5,1.0,1835.0
36.63,50.0,365.0,2.0,0.5,1.0,2859.0
0.02,5.0,365.0,2.0,0.5,1.0,1859.0
9.99,10.0,30.0,1.0,0.5,1.0,1223.0
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1915.0
9.98,10.0,180.0,1.0,0.5,1.0,2298.0
1.08,5.0,365.0,1.0,0.5,1.0,6599.0
4.3,20.0,365.0,2.0,0.5,1.0,2318.0
0.96,5.0,7.0,2.0,0.5,1.0,2351.0
4.99,5.0,30.0,1.0,0.5,1.0,2944.0
18.35,20.0,90.0,1.0,0.5,1.0,2000.0
0.05,5.0,180.0,2.0,0.5,1.0,2579.0
7.33,10.0,365.0,1.0,0.5,1.0,1533.0
4.24,5.0,180.0,1.0,0.5,1.0,2337.0
0.05,10.0,365.0,2.0,0.5,1.0,1328.0
9.99,10.0,90.0,1.0,0.5,1.0,1514.0
9.96,10.0,365.0,2.0,0.5,1.0,1764.0
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2208.0
49.91,50.0,180.0,1.0,0.5,1.0,1563.0
49.65,50.0,7.0,1.0,0.5,1.0,1910.0
4.85,5.0,30.0,1.0,0.5,1.0,1677.0
2.15,10.0,365.0,2.0,0.5,1.0,2895.0
9.93,10.0,7.0,1.0,0.5,1.0,1155.0
2.63,50.0,30.0,2.0,0.5,1.0,1984.0
4.59,5.0,90.0,1.0,0.5,1.0,2667.0
0.18,20.0,180.0,2.0,0.5,1.0,2597.0
9.99,10.0,7.0,1.0,0.5,1.0,1823.0
10.53,20.0,90.0,2.0,0.5,1.0,2140.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2166.0
49.96,50.0,90.0,1.0,0.5,1.0,1761.0
4.99,5.0,180.0,1.0,0.5,1.0,2078.0
4.98,5.0,365.0,1.0,0.5,1.0,1613.0
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1318.0
15.38,20.0,30.0,2.0,0.5,1.0,2457.0
2.63,5.0,90.0,1.0,0.5,1.0,3665.0
19.86,20.0,7.0,1.0,0.5,1.0,1925.0
0.09,20.0,365.0,2.0,0.5,1.0,2224.0
7.14,20.0,180.0,2.0,0.5,1.0,2158.0
4.99,5.0,7.0,1.0,0.5,1.0,2052.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1477.0
0.53,10.0,30.0,2.0,0.5,1.0,3221.0
49.82,50.0,365.0,1.0,0.5,1.0,1228.0
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1254.0
38.46,50.0,30.0,1.0,0.5,1.0,1894.0
45.87,50.0,90.0,1.0,0.5,1.0,1452.0
1.92,10.0,7.0,2.0,0.5,1.0,1785.0
48.54,50.0,30.0,1.0,0.5,1.0,2735.0
14.65,20.0,365.0,1.0,0.5,1.0,1676.0
49.99,50.0,30.0,1.0,0.5,1.0,1220.0
18.69,20.0,7.0,2.0,0.5,1.0,2165.0
0.91,50.0,90.0,2.0,0.5,1.0,1835.0
1.05,20.0,30.0,2.0,0.5,1.0,2043.0
0.46,50.0,180.0,2.0,0.5,1.0,1943.0
0.09,10.0,180.0,2.0,0.5,1.0,2115.0
1.79,5.0,180.0,2.0,0.5,1.0,2001.0
0.36,20.0,90.0,2.0,0.5,1.0,1651.0
4.67,5.0,7.0,1.0,0.5,1.0,1347.0
10.75,50.0,365.0,2.0,0.5,1.0,1653.0
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2051.0
19.93,20.0,365.0,1.0,0.5,1.0,1534.0
9.62,50.0,7.0,2.0,0.5,1.0,3369.0
49.99,50.0,7.0,1.0,0.5,1.0,1268.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2066.0
0.23,50.0,365.0,2.0,0.5,1.0,2919.0
19.99,20.0,7.0,1.0,0.5,1.0,1587.0
0.09,5.0,90.0,2.0,0.5,1.0,1179.0
42.37,50.0,180.0,1.0,0.5,1.0,2473.0
8.47,10.0,180.0,1.0,0.5,1.0,1119.0
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1141.0
9.17,10.0,90.0,1.0,0.5,1.0,2515.0
