0,1,2,3,4,5,6
9.93,10.0,7.0,1.0,0.5,1.0,2938.5
4.99,5.0,30.0,1.0,0.5,1.0,1734.0
9.96,10.0,365.0,1.0,0.5,1.0,1365.2
18.69,20.0,7.0,1.0,0.5,1.0,1639.2
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1849.7
0.05,10.0,365.0,1.0,0.5,1.0,2721.8
49.91,50.0,180.0,1.0,0.5,1.0,1797.6
9.17,10.0,90.0,1.0,0.5,1.0,1264.5
49.65,50.0,7.0,1.0,0.5,1.0,1150.3
2.63,5.0,90.0,1.0,0.5,1.0,1189.2
0.26,5.0,30.0,2.0,0.5,1.0,3171.3
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2987.2
0.18,20.0,180.0,1.0,0.5,1.0,4106.0
49.99,50.0,30.0,1.0,0.5,1.0,3905.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1851.5
2.63,50.0,30.0,2.0,0.5,1.0,1375.7
4.99,5.0,90.0,1.0,0.5,1.0,1890.7
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2202.0
36.63,50.0,365.0,1.0,0.5,1.0,1381.4
0.09,5.0,90.0,1.0,0.5,1.0,2367.2
10.53,20.0,90.0,1.0,0.5,1.0,2070.6
9.99,10.0,30.0,1.0,0.5,1.0,1573.0
4.98,5.0,365.0,1.0,0.5,1.0,1017.5
2.15,10.0,365.0,1.0,0.5,1.0,1824.3
9.99,10.0,7.0,1.0,0.5,1.0,2346.4
9.62,50.0,7.0,1.0,0.5,1.0,1215.7
16.95,20.0,180.0,1.0,0.5,1.0,1509.5
8.47,10.0,180.0,1.0,0.5,1.0,1463.6
0.23,50.0,365.0,1.0,0.5,1.0,1256.7
0.18,10.0,90.0,1.0,0.5,1.0,3143.1
49.99,50.0,7.0,1.0,0.5,1.0,2884.0
3.57,10.0,180.0,1.0,0.5,1.0,1511.9
15.38,20.0,30.0,1.0,0.5,1.0,1409.8
0.91,50.0,90.0,1.0,0.5,1.0,2228.1
10.75,50.0,365.0,1.0,0.5,1.0,1402.6
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1617.0
19.86,20.0,7.0,2.0,0.5,1.0,2326.9
0.46,50.0,180.0,1.0,0.5,1.0,2582.5
0.02,5.0,365.0,1.0,0.5,1.0,2238.6
3.66,5.0,365.0,1.0,0.5,1.0,1774.4
4.59,5.0,90.0,1.0,0.5,1.0,1727.3
9.98,10.0,180.0,1.0,0.5,1.0,1659.3
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1515.1
49.82,50.0,365.0,1.0,0.5,1.0,1242.0
49.96,50.0,90.0,1.0,0.5,1.0,1551.5
5.26,10.0,90.0,1.0,0.5,1.0,2082.5
1.92,10.0,7.0,2.0,0.5,1.0,1738.5
1.08,5.0,365.0,1.0,0.5,1.0,1655.4
4.67,5.0,7.0,1.0,0.5,1.0,2262.2
17.86,50.0,180.0,1.0,0.5,1.0,1798.6
19.99,20.0,7.0,1.0,0.5,1.0,1225.5
26.32,50.0,90.0,1.0,0.5,1.0,1822.9
14.65,20.0,365.0,1.0,0.5,1.0,1621.9
0.53,10.0,30.0,2.0,0.5,1.0,2574.2
1.05,20.0,30.0,2.0,0.5,1.0,1461.6
7.33,10.0,365.0,1.0,0.5,1.0,2621.9
46.730000000000004,50.0,7.0,2.0,0.5,1.0,3874.4
4.85,5.0,30.0,1.0,0.5,1.0,6476.1
45.87,50.0,90.0,1.0,0.5,1.0,1397.4
0.96,5.0,7.0,2.0,0.5,1.0,1089.3
42.37,50.0,180.0,1.0,0.5,1.0,1318.8
19.99,20.0,30.0,1.0,0.5,1.0,1863.1
4.3,20.0,365.0,1.0,0.5,1.0,1982.5
4.99,5.0,7.0,2.0,0.5,1.0,1863.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1449.5
4.970000000000001,5.0,7.0,2.0,0.5,1.0,3078.4
4.24,5.0,180.0,1.0,0.5,1.0,1321.2
1.79,5.0,180.0,1.0,0.5,1.0,1885.4
18.35,20.0,90.0,1.0,0.5,1.0,1592.9
0.36,20.0,90.0,1.0,0.5,1.0,2183.7
48.54,50.0,30.0,2.0,0.5,1.0,3342.3
9.99,10.0,90.0,1.0,0.5,1.0,4084.9
4.99,5.0,180.0,1.0,0.5,1.0,2233.0
0.09,20.0,365.0,1.0,0.5,1.0,1946.3
0.09,10.0,180.0,1.0,0.5,1.0,1484.9
0.05,5.0,180.0,1.0,0.5,1.0,2542.5
19.93,20.0,365.0,1.0,0.5,1.0,1320.9
38.46,50.0,30.0,1.0,0.5,1.0,2711.3
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2476.9
7.14,20.0,180.0,1.0,0.5,1.0,2230.4
