0,1,2,3,4,5,6
15.38,20.0,30.0,2.0,0.5,1.0,1903.4
4.67,5.0,7.0,2.0,0.5,1.0,3097.7
1.79,5.0,180.0,1.0,0.5,1.0,2265.9
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1258.1
10.75,50.0,365.0,2.0,0.5,1.0,3408.3
0.09,5.0,90.0,1.0,0.5,1.0,2740.2
0.53,10.0,30.0,2.0,0.5,1.0,960.1
48.54,50.0,30.0,2.0,0.5,1.0,1669.4
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1313.8
9.709999999999999,10.0,30.0,2.0,0.5,1.0,1297.4
45.87,50.0,90.0,2.0,0.5,1.0,1459.7
1.08,5.0,365.0,2.0,0.5,1.0,1137.8
0.18,10.0,90.0,2.0,0.5,1.0,1793.5
0.05,5.0,180.0,2.0,0.5,1.0,1062.9
5.26,10.0,90.0,2.0,0.5,1.0,1461.7
2.63,5.0,90.0,2.0,0.5,1.0,1055.1
0.05,10.0,365.0,2.0,0.5,1.0,4208.6
9.99,10.0,90.0,2.0,0.5,1.0,2231.7
49.65,50.0,7.0,2.0,0.5,1.0,2851.2
0.46,50.0,180.0,2.0,0.5,1.0,1180.7
38.46,50.0,30.0,2.0,0.5,1.0,1373.5
2.15,10.0,365.0,2.0,0.5,1.0,1417.6
4.98,5.0,365.0,1.0,0.5,1.0,1816.6
7.14,20.0,180.0,2.0,0.5,1.0,1170.2
7.33,10.0,365.0,1.0,0.5,1.0,1749.4
4.99,5.0,90.0,1.0,0.5,1.0,1639.7
0.09,20.0,365.0,2.0,0.5,1.0,1154.1
16.95,20.0,180.0,1.0,0.5,1.0,4124.5
0.02,5.0,365.0,1.0,0.5,1.0,1869.1
0.36,20.0,90.0,2.0,0.5,1.0,1038.7
17.86,50.0,180.0,2.0,0.5,1.0,2414.0
19.419999999999998,20.0,30.0,2.0,0.5,1.0,2005.0
0.23,50.0,365.0,2.0,0.5,1.0,861.0
49.82,50.0,365.0,1.0,0.5,1.0,1858.1
1.05,20.0,30.0,2.0,0.5,1.0,1142.6
9.96,10.0,365.0,1.0,0.5,1.0,1096.8
0.91,50.0,90.0,2.0,0.5,1.0,836.8
49.99,50.0,7.0,2.0,0.5,1.0,1127.6
9.99,10.0,30.0,2.0,0.5,1.0,3244.6
8.47,10.0,180.0,1.0,0.5,1.0,1637.5
19.99,20.0,30.0,2.0,0.5,1.0,1099.3
42.37,50.0,180.0,1.0,0.5,1.0,2097.1
26.32,50.0,90.0,2.0,0.5,1.0,1569.6
3.66,5.0,365.0,2.0,0.5,1.0,802.4
3.57,10.0,180.0,2.0,0.5,1.0,1655.7
2.63,50.0,30.0,2.0,0.5,1.0,885.1
0.26,5.0,30.0,2.0,0.5,1.0,1086.2
49.91,50.0,180.0,1.0,0.5,1.0,1336.4
18.35,20.0,90.0,1.0,0.5,1.0,2460.2
0.18,20.0,180.0,2.0,0.5,1.0,1220.7
4.59,5.0,90.0,2.0,0.5,1.0,738.5
4.99,5.0,7.0,1.0,0.5,1.0,1694.5
0.09,10.0,180.0,2.0,0.5,1.0,1160.9
19.99,20.0,7.0,2.0,0.5,1.0,729.8
46.730000000000004,50.0,7.0,2.0,0.5,1.0,973.5
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1269.8
4.3,20.0,365.0,2.0,0.5,1.0,975.7
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1756.8
36.63,50.0,365.0,1.0,0.5,1.0,1860.0
4.99,5.0,30.0,2.0,0.5,1.0,1377.4
9.93,10.0,7.0,2.0,0.5,1.0,1035.7
18.69,20.0,7.0,2.0,0.5,1.0,1538.6
1.92,10.0,7.0,2.0,0.5,1.0,990.8
19.93,20.0,365.0,1.0,0.5,1.0,1284.0
9.99,10.0,7.0,2.0,0.5,1.0,1499.2
9.98,10.0,180.0,1.0,0.5,1.0,1421.0
4.970000000000001,5.0,7.0,2.0,0.5,1.0,1072.8
4.85,5.0,30.0,2.0,0.5,1.0,1317.9
49.96,50.0,90.0,1.0,0.5,1.0,1811.1
0.96,5.0,7.0,2.0,0.5,1.0,997.7
10.53,20.0,90.0,2.0,0.5,1.0,1363.4
9.17,10.0,90.0,2.0,0.5,1.0,851.1
49.99,50.0,30.0,2.0,0.5,1.0,1292.0
9.62,50.0,7.0,2.0,0.5,1.0,2890.0
14.65,20.0,365.0,1.0,0.5,1.0,1511.4
4.24,5.0,180.0,1.0,0.5,1.0,1912.2
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1781.9
19.86,20.0,7.0,2.0,0.5,1.0,1319.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1263.0
4.99,5.0,180.0,1.0,0.5,1.0,1462.7
