0,1,2,3,4,5,6
9.17,10.0,90.0,1.0,0.5,1.0,1743.6
16.95,20.0,180.0,1.0,0.5,1.0,1420.4
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1714.0
38.46,50.0,30.0,2.0,0.5,1.0,2428.7
0.09,20.0,365.0,2.0,0.5,1.0,2997.3
4.99,5.0,7.0,1.0,0.5,1.0,2002.3
3.57,10.0,180.0,1.0,0.5,1.0,1893.4
9.99,10.0,90.0,1.0,0.5,1.0,1381.2
10.53,20.0,90.0,1.0,0.5,1.0,1333.1
4.85,5.0,30.0,1.0,0.5,1.0,1766.1
4.99,5.0,180.0,1.0,0.5,1.0,1581.5
1.08,5.0,365.0,1.0,0.5,1.0,1151.9
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1425.1
17.86,50.0,180.0,1.0,0.5,1.0,1432.1
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1385.8
0.18,20.0,180.0,1.0,0.5,1.0,3491.8
0.09,5.0,90.0,2.0,0.5,1.0,3381.2
19.86,20.0,7.0,1.0,0.5,1.0,1449.2
19.99,20.0,7.0,1.0,0.5,1.0,1210.1
14.65,20.0,365.0,1.0,0.5,1.0,1383.4
9.98,10.0,180.0,1.0,0.5,1.0,1077.3
9.93,10.0,7.0,1.0,0.5,1.0,948.6
7.33,10.0,365.0,1.0,0.5,1.0,1141.4
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1125.6
0.05,10.0,365.0,2.0,0.5,1.0,2192.2
4.59,5.0,90.0,1.0,0.5,1.0,1329.7
2.15,10.0,365.0,1.0,0.5,1.0,1142.2
49.99,50.0,30.0,1.0,0.5,1.0,1202.2
4.3,20.0,365.0,1.0,0.5,1.0,1087.1
8.47,10.0,180.0,1.0,0.5,1.0,1036.8
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1209.1
18.69,20.0,7.0,1.0,0.5,1.0,874.8
48.54,50.0,30.0,1.0,0.5,1.0,998.2
4.99,5.0,30.0,1.0,0.5,1.0,891.3
19.93,20.0,365.0,1.0,0.5,1.0,732.3
0.09,10.0,180.0,2.0,0.5,1.0,3265.6
0.23,50.0,365.0,2.0,0.5,1.0,1695.1
4.67,5.0,7.0,1.0,0.5,1.0,810.3
3.8499999999999996,20.0,7.0,1.0,0.5,1.0,1376.6
45.87,50.0,90.0,1.0,0.5,1.0,916.9
18.35,20.0,90.0,1.0,0.5,1.0,1378.0
49.91,50.0,180.0,1.0,0.5,1.0,1002.7
49.82,50.0,365.0,1.0,0.5,1.0,1059.5
0.02,5.0,365.0,2.0,0.5,1.0,2260.1
1.05,20.0,30.0,2.0,0.5,1.0,2816.4
4.98,5.0,365.0,1.0,0.5,1.0,1071.0
10.75,50.0,365.0,1.0,0.5,1.0,923.6
9.99,10.0,30.0,1.0,0.5,1.0,1062.7
4.24,5.0,180.0,1.0,0.5,1.0,1470.8
19.959999999999997,20.0,180.0,1.0,0.5,1.0,912.8
0.05,5.0,180.0,1.0,0.5,1.0,2946.5
2.63,5.0,90.0,1.0,0.5,1.0,1127.2
9.62,50.0,7.0,2.0,0.5,1.0,1636.4
49.96,50.0,90.0,1.0,0.5,1.0,875.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,999.2
36.63,50.0,365.0,1.0,0.5,1.0,1954.0
9.99,10.0,7.0,1.0,0.5,1.0,786.7
9.709999999999999,10.0,30.0,1.0,0.5,1.0,902.1
1.79,5.0,180.0,1.0,0.5,1.0,2151.7
0.26,5.0,30.0,2.0,0.5,1.0,1395.9
1.92,10.0,7.0,1.0,0.5,1.0,1068.3
0.91,50.0,90.0,2.0,0.5,1.0,1594.4
2.63,50.0,30.0,2.0,0.5,1.0,1297.6
3.66,5.0,365.0,1.0,0.5,1.0,1349.3
0.18,10.0,90.0,2.0,0.5,1.0,1459.9
15.38,20.0,30.0,1.0,0.5,1.0,1548.9
26.32,50.0,90.0,1.0,0.5,1.0,3587.3
42.37,50.0,180.0,1.0,0.5,1.0,1479.2
19.99,20.0,30.0,1.0,0.5,1.0,1753.9
0.46,50.0,180.0,2.0,0.5,1.0,1378.1
49.99,50.0,7.0,1.0,0.5,1.0,1808.8
0.53,10.0,30.0,2.0,0.5,1.0,1968.5
4.99,5.0,90.0,1.0,0.5,1.0,1263.9
49.65,50.0,7.0,1.0,0.5,1.0,994.4
0.96,5.0,7.0,2.0,0.5,1.0,1860.5
7.14,20.0,180.0,1.0,0.5,1.0,2958.1
0.36,20.0,90.0,2.0,0.5,1.0,1209.1
5.26,10.0,90.0,1.0,0.5,1.0,1922.6
9.96,10.0,365.0,1.0,0.5,1.0,1259.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1416.4
