0,1,2,3,4,5,6
4.99,5.0,7.0,1.0,0.5,1.0,1948.8
1.08,5.0,365.0,1.0,0.5,1.0,2111.4
49.91,50.0,180.0,1.0,0.5,1.0,1512.1
0.18,20.0,180.0,2.0,0.5,1.0,869.8
19.93,20.0,365.0,1.0,0.5,1.0,1365.4
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1049.7
8.47,10.0,180.0,1.0,0.5,1.0,1824.7
7.14,20.0,180.0,1.0,0.5,1.0,1755.6
1.79,5.0,180.0,1.0,0.5,1.0,2040.1
3.57,10.0,180.0,1.0,0.5,1.0,1572.4
0.36,20.0,90.0,2.0,0.5,1.0,1753.1
9.99,10.0,90.0,1.0,0.5,1.0,1599.3
45.87,50.0,90.0,1.0,0.5,1.0,1566.4
9.99,10.0,30.0,1.0,0.5,1.0,1122.7
4.98,5.0,365.0,1.0,0.5,1.0,1124.2
4.85,5.0,30.0,1.0,0.5,1.0,1177.3
9.99,10.0,7.0,1.0,0.5,1.0,795.4
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,901.5
0.53,10.0,30.0,2.0,0.5,1.0,1172.5
0.02,5.0,365.0,2.0,0.5,1.0,1258.4
15.38,20.0,30.0,1.0,0.5,1.0,1998.0
1.05,20.0,30.0,2.0,0.5,1.0,1530.3
14.65,20.0,365.0,1.0,0.5,1.0,1188.8
0.26,5.0,30.0,2.0,0.5,1.0,1363.9
9.98,10.0,180.0,1.0,0.5,1.0,1562.3
19.99,20.0,30.0,1.0,0.5,1.0,1494.7
0.09,5.0,90.0,2.0,0.5,1.0,2170.4
49.82,50.0,365.0,2.0,0.5,1.0,1604.6
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1452.5
0.09,10.0,180.0,1.0,0.5,1.0,2515.7
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1302.6
0.05,5.0,180.0,2.0,0.5,1.0,1724.9
4.99,5.0,180.0,1.0,0.5,1.0,924.5
1.92,10.0,7.0,2.0,0.5,1.0,1486.0
49.99,50.0,7.0,1.0,0.5,1.0,1401.9
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1057.8
2.63,50.0,30.0,2.0,0.5,1.0,1505.3
17.86,50.0,180.0,2.0,0.5,1.0,1310.7
4.3,20.0,365.0,1.0,0.5,1.0,3045.0
9.96,10.0,365.0,1.0,0.5,1.0,1103.3
7.33,10.0,365.0,1.0,0.5,1.0,1555.4
3.66,5.0,365.0,1.0,0.5,1.0,1566.8
0.23,50.0,365.0,2.0,0.5,1.0,1111.7
16.95,20.0,180.0,1.0,0.5,1.0,928.2
2.15,10.0,365.0,1.0,0.5,1.0,1788.7
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1145.3
4.59,5.0,90.0,1.0,0.5,1.0,1147.2
19.99,20.0,7.0,1.0,0.5,1.0,1040.1
19.86,20.0,7.0,1.0,0.5,1.0,926.5
10.53,20.0,90.0,1.0,0.5,1.0,2318.1
0.46,50.0,180.0,2.0,0.5,1.0,1679.5
0.96,5.0,7.0,2.0,0.5,1.0,1715.3
18.35,20.0,90.0,1.0,0.5,1.0,1197.8
36.63,50.0,365.0,1.0,0.5,1.0,1580.5
10.75,50.0,365.0,2.0,0.5,1.0,1852.2
9.17,10.0,90.0,1.0,0.5,1.0,955.9
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1338.8
0.09,20.0,365.0,2.0,0.5,1.0,1307.7
38.46,50.0,30.0,1.0,0.5,1.0,1012.1
0.91,50.0,90.0,2.0,0.5,1.0,1698.3
49.96,50.0,90.0,1.0,0.5,1.0,821.3
18.69,20.0,7.0,1.0,0.5,1.0,1747.4
9.93,10.0,7.0,1.0,0.5,1.0,1096.4
26.32,50.0,90.0,2.0,0.5,1.0,1495.6
4.24,5.0,180.0,1.0,0.5,1.0,1619.2
48.54,50.0,30.0,1.0,0.5,1.0,976.5
2.63,5.0,90.0,1.0,0.5,1.0,1480.8
4.67,5.0,7.0,1.0,0.5,1.0,796.9
42.37,50.0,180.0,1.0,0.5,1.0,1484.0
0.18,10.0,90.0,2.0,0.5,1.0,1696.0
4.99,5.0,30.0,1.0,0.5,1.0,1190.6
4.970000000000001,5.0,7.0,1.0,0.5,1.0,658.7
49.99,50.0,30.0,1.0,0.5,1.0,564.0
5.26,10.0,90.0,1.0,0.5,1.0,1243.4
9.62,50.0,7.0,2.0,0.5,1.0,1438.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1144.1
4.99,5.0,90.0,1.0,0.5,1.0,705.5
49.65,50.0,7.0,1.0,0.5,1.0,780.9
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1056.5
0.05,10.0,365.0,2.0,0.5,1.0,970.1
