0,1,2,3,4,5,6
49.96,50.0,90.0,1.0,0.5,1.0,2910.699997
0.36,20.0,90.0,2.0,0.5,1.0,1530.299995
49.99,50.0,30.0,1.0,0.5,1.0,1766.299995
4.67,5.0,7.0,1.0,0.5,1.0,1633.800003
0.09,5.0,90.0,2.0,0.5,1.0,1365.299995
2.63,50.0,30.0,2.0,0.5,1.0,1062.3999939999999
4.99,5.0,180.0,1.0,0.5,1.0,1136.099998
9.96,10.0,365.0,1.0,0.5,1.0,1791.699997
4.99,5.0,30.0,1.0,0.5,1.0,1585.400002
49.99,50.0,7.0,1.0,0.5,1.0,1428.800003
0.09,20.0,365.0,2.0,0.5,1.0,1415.900002
3.66,5.0,365.0,1.0,0.5,1.0,2353.0
10.75,50.0,365.0,2.0,0.5,1.0,2021.699997
9.62,50.0,7.0,2.0,0.5,1.0,1855.099998
26.32,50.0,90.0,2.0,0.5,1.0,1289.299995
15.38,20.0,30.0,2.0,0.5,1.0,2215.199997
19.99,20.0,7.0,1.0,0.5,1.0,1328.800003
0.26,5.0,30.0,2.0,0.5,1.0,955.0999985000001
36.63,50.0,365.0,1.0,0.5,1.0,2787.3000030000003
9.93,10.0,7.0,1.0,0.5,1.0,1836.7000050000001
0.18,20.0,180.0,2.0,0.5,1.0,1040.099998
45.87,50.0,90.0,1.0,0.5,1.0,2300.699997
38.46,50.0,30.0,2.0,0.5,1.0,2272.599998
18.69,20.0,7.0,1.0,0.5,1.0,1584.900002
14.65,20.0,365.0,1.0,0.5,1.0,1715.699997
4.24,5.0,180.0,1.0,0.5,1.0,1621.300003
0.53,10.0,30.0,2.0,0.5,1.0,1111.8999939999999
19.86,20.0,7.0,1.0,0.5,1.0,1173.699997
0.91,50.0,90.0,2.0,0.5,1.0,1537.199997
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1616.900002
19.99,20.0,30.0,1.0,0.5,1.0,1157.099998
16.95,20.0,180.0,1.0,0.5,1.0,1954.300003
5.26,10.0,90.0,2.0,0.5,1.0,1245.100006
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1387.8999939999999
19.93,20.0,365.0,1.0,0.5,1.0,975.1000061
17.86,50.0,180.0,2.0,0.5,1.0,1178.199997
1.08,5.0,365.0,1.0,0.5,1.0,2337.8000030000003
7.14,20.0,180.0,2.0,0.5,1.0,1960.099998
1.79,5.0,180.0,1.0,0.5,1.0,2313.8000030000003
9.99,10.0,30.0,1.0,0.5,1.0,1192.099998
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1525.5
0.09,10.0,180.0,2.0,0.5,1.0,1226.8999939999999
10.53,20.0,90.0,2.0,0.5,1.0,1640.299995
4.98,5.0,365.0,1.0,0.5,1.0,1183.0
0.05,5.0,180.0,2.0,0.5,1.0,989.5999985000001
0.23,50.0,365.0,2.0,0.5,1.0,961.5
0.46,50.0,180.0,2.0,0.5,1.0,889.1999969000001
49.82,50.0,365.0,1.0,0.5,1.0,1236.199997
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1014.2999950000001
9.99,10.0,7.0,1.0,0.5,1.0,1060.800003
9.98,10.0,180.0,1.0,0.5,1.0,1651.099998
0.18,10.0,90.0,2.0,0.5,1.0,1464.800003
0.02,5.0,365.0,2.0,0.5,1.0,1002.900002
42.37,50.0,180.0,1.0,0.5,1.0,2664.799995
4.59,5.0,90.0,1.0,0.5,1.0,1715.5
1.05,20.0,30.0,2.0,0.5,1.0,874.5999985000001
2.15,10.0,365.0,2.0,0.5,1.0,1279.800003
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1287.800003
4.99,5.0,7.0,1.0,0.5,1.0,1030.099998
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1166.0
4.85,5.0,30.0,1.0,0.5,1.0,2615.199997
0.05,10.0,365.0,2.0,0.5,1.0,891.0
2.63,5.0,90.0,2.0,0.5,1.0,1323.0
4.99,5.0,90.0,1.0,0.5,1.0,1206.699997
7.33,10.0,365.0,1.0,0.5,1.0,1636.599998
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1538.299995
1.92,10.0,7.0,2.0,0.5,1.0,1483.199997
0.96,5.0,7.0,2.0,0.5,1.0,1868.2000050000001
48.54,50.0,30.0,1.0,0.5,1.0,1192.300003
49.91,50.0,180.0,1.0,0.5,1.0,2828.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1640.400002
8.47,10.0,180.0,1.0,0.5,1.0,1927.299995
9.17,10.0,90.0,1.0,0.5,1.0,1019.5
3.57,10.0,180.0,2.0,0.5,1.0,1295.300003
9.99,10.0,90.0,1.0,0.5,1.0,1057.199997
18.35,20.0,90.0,1.0,0.5,1.0,1881.300003
4.3,20.0,365.0,2.0,0.5,1.0,1358.900002
49.65,50.0,7.0,1.0,0.5,1.0,1310.099998
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1006.899994
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1873.400002
