0,1,2,3,4,5,6
0.05,5.0,180.0,2.0,0.5,1.0,1978.9
7.14,20.0,180.0,2.0,0.5,1.0,1643.7
9.93,10.0,7.0,1.0,0.5,1.0,2222.7
4.24,5.0,180.0,1.0,0.5,1.0,1895.4
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1912.4
9.99,10.0,7.0,1.0,0.5,1.0,1635.7
0.53,10.0,30.0,2.0,0.5,1.0,1392.4
0.23,50.0,365.0,2.0,0.5,1.0,1634.4
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1379.2
0.05,10.0,365.0,2.0,0.5,1.0,1277.4
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2189.7
46.730000000000004,50.0,7.0,2.0,0.5,1.0,5162.5
14.65,20.0,365.0,1.0,0.5,1.0,1610.2
10.53,20.0,90.0,2.0,0.5,1.0,2826.9
9.99,10.0,90.0,1.0,0.5,1.0,1627.0
9.17,10.0,90.0,1.0,0.5,1.0,1998.7
8.47,10.0,180.0,1.0,0.5,1.0,1619.5
9.62,50.0,7.0,2.0,0.5,1.0,2066.3
1.92,10.0,7.0,2.0,0.5,1.0,1731.0
4.67,5.0,7.0,1.0,0.5,1.0,1825.1
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2513.1
9.99,10.0,30.0,1.0,0.5,1.0,3383.3
49.91,50.0,180.0,1.0,0.5,1.0,1447.2
45.87,50.0,90.0,1.0,0.5,1.0,1881.8
19.86,20.0,7.0,1.0,0.5,1.0,2548.4
1.79,5.0,180.0,2.0,0.5,1.0,3609.0
48.54,50.0,30.0,1.0,0.5,1.0,1379.8
0.46,50.0,180.0,2.0,0.5,1.0,1906.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2516.9
4.99,5.0,90.0,1.0,0.5,1.0,1736.8
49.96,50.0,90.0,1.0,0.5,1.0,1618.1
3.57,10.0,180.0,2.0,0.5,1.0,2004.9
0.91,50.0,90.0,2.0,0.5,1.0,2214.9
4.99,5.0,30.0,1.0,0.5,1.0,1174.5
2.63,5.0,90.0,2.0,0.5,1.0,3229.1
17.86,50.0,180.0,2.0,0.5,1.0,1617.8
2.63,50.0,30.0,2.0,0.5,1.0,1172.2
4.59,5.0,90.0,1.0,0.5,1.0,1238.9
26.32,50.0,90.0,2.0,0.5,1.0,1677.1
7.33,10.0,365.0,1.0,0.5,1.0,2372.8
0.02,5.0,365.0,2.0,0.5,1.0,1544.4
19.93,20.0,365.0,1.0,0.5,1.0,993.3000000999999
15.38,20.0,30.0,1.0,0.5,1.0,2998.3
9.96,10.0,365.0,1.0,0.5,1.0,1054.9
18.35,20.0,90.0,1.0,0.5,1.0,1293.6
16.95,20.0,180.0,1.0,0.5,1.0,3555.2
0.18,10.0,90.0,2.0,0.5,1.0,1194.4
1.08,5.0,365.0,2.0,0.5,1.0,2014.6
4.99,5.0,180.0,1.0,0.5,1.0,1271.5
10.75,50.0,365.0,2.0,0.5,1.0,1199.7
49.65,50.0,7.0,1.0,0.5,1.0,1182.5
38.46,50.0,30.0,2.0,0.5,1.0,3026.7
0.09,20.0,365.0,2.0,0.5,1.0,901.0
5.26,10.0,90.0,2.0,0.5,1.0,2187.5
0.18,20.0,180.0,2.0,0.5,1.0,1487.8
19.99,20.0,7.0,1.0,0.5,1.0,928.3
9.98,10.0,180.0,1.0,0.5,1.0,1048.6
19.99,20.0,30.0,1.0,0.5,1.0,884.5
36.63,50.0,365.0,1.0,0.5,1.0,4721.0
0.26,5.0,30.0,2.0,0.5,1.0,1220.9
18.69,20.0,7.0,1.0,0.5,1.0,1321.4
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1094.4
4.3,20.0,365.0,2.0,0.5,1.0,950.6999999000001
4.85,5.0,30.0,1.0,0.5,1.0,1051.2
49.99,50.0,30.0,1.0,0.5,1.0,922.6
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,5134.4
4.99,5.0,7.0,2.0,0.5,1.0,747.3000000999999
0.96,5.0,7.0,2.0,0.5,1.0,1335.2
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1496.7
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,3194.4
0.09,5.0,90.0,2.0,0.5,1.0,946.0
49.99,50.0,7.0,1.0,0.5,1.0,1089.8
0.09,10.0,180.0,2.0,0.5,1.0,1263.9
3.66,5.0,365.0,1.0,0.5,1.0,2475.5
4.98,5.0,365.0,1.0,0.5,1.0,1681.1
42.37,50.0,180.0,1.0,0.5,1.0,1078.4
0.36,20.0,90.0,2.0,0.5,1.0,856.2
2.15,10.0,365.0,2.0,0.5,1.0,2113.5
1.05,20.0,30.0,2.0,0.5,1.0,987.5
49.82,50.0,365.0,1.0,0.5,1.0,1348.9
