0,1,2,3,4,5,6
49.99,50.0,30.0,1.0,0.5,1.0,4656.8
4.99,5.0,180.0,1.0,0.5,1.0,4067.0
0.09,5.0,90.0,2.0,0.5,1.0,3987.0
8.47,10.0,180.0,1.0,0.5,1.0,2711.5
0.05,10.0,365.0,2.0,0.5,1.0,4416.5
9.99,10.0,7.0,1.0,0.5,1.0,4918.0
9.17,10.0,90.0,1.0,0.5,1.0,4535.0
42.37,50.0,180.0,0.0,0.5,1.0,
15.38,20.0,30.0,2.0,0.5,1.0,3811.0
0.91,50.0,90.0,2.0,0.5,1.0,2018.5
18.35,20.0,90.0,2.0,0.5,1.0,2757.1
0.05,5.0,180.0,2.0,0.5,1.0,1974.2
19.86,20.0,7.0,2.0,0.5,1.0,3002.7
9.99,10.0,30.0,2.0,0.5,1.0,2302.6
9.99,10.0,90.0,2.0,0.5,1.0,3579.0
1.79,5.0,180.0,2.0,0.5,1.0,1916.9
4.970000000000001,5.0,7.0,2.0,0.5,1.0,3116.5
46.730000000000004,50.0,7.0,2.0,0.5,1.0,2991.7
19.93,20.0,365.0,1.0,0.5,1.0,2031.2
45.87,50.0,90.0,1.0,0.5,1.0,2788.2
19.99,20.0,7.0,1.0,0.5,1.0,1696.1
16.95,20.0,180.0,2.0,0.5,1.0,4339.4
9.93,10.0,7.0,1.0,0.5,1.0,3402.7
17.86,50.0,180.0,2.0,0.5,1.0,2601.2
19.419999999999998,20.0,30.0,2.0,0.5,1.0,2521.4
0.23,50.0,365.0,2.0,0.5,1.0,1632.6
1.92,10.0,7.0,2.0,0.5,1.0,2204.3
4.99,5.0,30.0,1.0,0.5,1.0,2863.6
18.69,20.0,7.0,2.0,0.5,1.0,1841.6
0.53,10.0,30.0,2.0,0.5,1.0,1590.5
4.99,5.0,7.0,2.0,0.5,1.0,1582.6
0.18,10.0,90.0,2.0,0.5,1.0,1276.8
10.75,50.0,365.0,2.0,0.5,1.0,1545.6
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2279.7
7.14,20.0,180.0,2.0,0.5,1.0,3321.0
0.96,5.0,7.0,2.0,0.5,1.0,1569.6
2.63,5.0,90.0,2.0,0.5,1.0,1344.3
0.46,50.0,180.0,2.0,0.5,1.0,1447.2
48.54,50.0,30.0,2.0,0.5,1.0,3502.7
49.91,50.0,180.0,1.0,0.5,1.0,2224.9
4.99,5.0,90.0,1.0,0.5,1.0,2795.8
4.24,5.0,180.0,1.0,0.5,1.0,2351.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2977.4
10.53,20.0,90.0,2.0,0.5,1.0,1396.6
9.709999999999999,10.0,30.0,1.0,0.5,1.0,3555.6
49.96,50.0,90.0,2.0,0.5,1.0,1781.2
9.350000000000001,10.0,7.0,2.0,0.5,1.0,2671.4
2.15,10.0,365.0,2.0,0.5,1.0,3286.4
4.98,5.0,365.0,1.0,0.5,1.0,1586.8
49.65,50.0,7.0,2.0,0.5,1.0,2176.8
0.09,20.0,365.0,2.0,0.5,1.0,1297.0
3.66,5.0,365.0,1.0,0.5,1.0,3457.8
0.18,20.0,180.0,2.0,0.5,1.0,1658.7
1.08,5.0,365.0,2.0,0.5,1.0,3126.7
1.05,20.0,30.0,2.0,0.5,1.0,1493.5
14.65,20.0,365.0,2.0,0.5,1.0,2034.0
38.46,50.0,30.0,2.0,0.5,1.0,1947.4
19.99,20.0,30.0,1.0,0.5,1.0,3730.8
7.33,10.0,365.0,1.0,0.5,1.0,5021.6
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1635.5
2.63,50.0,30.0,2.0,0.5,1.0,1201.9
0.02,5.0,365.0,2.0,0.5,1.0,1380.2
3.57,10.0,180.0,2.0,0.5,1.0,1880.0
4.59,5.0,90.0,1.0,0.5,1.0,2252.8
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1972.6
9.62,50.0,7.0,2.0,0.5,1.0,1391.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1081.3
0.26,5.0,30.0,2.0,0.5,1.0,1588.9
5.26,10.0,90.0,2.0,0.5,1.0,852.1
4.85,5.0,30.0,2.0,0.5,1.0,1835.4
9.96,10.0,365.0,1.0,0.5,1.0,1723.7
4.3,20.0,365.0,2.0,0.5,1.0,1509.5
0.09,10.0,180.0,2.0,0.5,1.0,1718.6
49.82,50.0,365.0,1.0,0.5,1.0,2298.5
49.99,50.0,7.0,2.0,0.5,1.0,4274.8
36.63,50.0,365.0,2.0,0.5,1.0,3827.5
9.98,10.0,180.0,1.0,0.5,1.0,2706.7
26.32,50.0,90.0,2.0,0.5,1.0,1337.7
0.36,20.0,90.0,2.0,0.5,1.0,872.7
4.67,5.0,7.0,2.0,0.5,1.0,2642.8
