0,1,2,3,4,5,6
15.38,20.0,30.0,2.0,0.5,1.0,4188.599998
2.63,5.0,90.0,1.0,0.5,1.0,3212.0
0.96,5.0,7.0,2.0,0.5,1.0,2022.800003
0.36,20.0,90.0,2.0,0.5,1.0,1540.5
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2013.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1168.900002
38.46,50.0,30.0,2.0,0.5,1.0,1600.0
3.57,10.0,180.0,1.0,0.5,1.0,2898.7000009999997
4.98,5.0,365.0,1.0,0.5,1.0,1473.2000010000002
9.99,10.0,7.0,1.0,0.5,1.0,2337.0
8.47,10.0,180.0,1.0,0.5,1.0,1597.2000010000002
19.86,20.0,7.0,1.0,0.5,1.0,1174.8999979999999
4.85,5.0,30.0,1.0,0.5,1.0,2101.2000009999997
0.91,50.0,90.0,2.0,0.5,1.0,1595.0
1.79,5.0,180.0,1.0,0.5,1.0,4361.200001
14.65,20.0,365.0,1.0,0.5,1.0,1979.799999
0.02,5.0,365.0,2.0,0.5,1.0,3242.599998
4.24,5.0,180.0,1.0,0.5,1.0,2125.5
9.99,10.0,90.0,1.0,0.5,1.0,1237.8999979999999
49.99,50.0,7.0,1.0,0.5,1.0,1769.799999
10.75,50.0,365.0,1.0,0.5,1.0,4436.400001999999
16.95,20.0,180.0,2.0,0.5,1.0,1237.400002
9.98,10.0,180.0,1.0,0.5,1.0,2299.799999
0.09,10.0,180.0,2.0,0.5,1.0,2552.5
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2967.5
0.18,20.0,180.0,2.0,0.5,1.0,2575.099998
9.62,50.0,7.0,2.0,0.5,1.0,1462.400002
36.63,50.0,365.0,1.0,0.5,1.0,1830.800003
2.63,50.0,30.0,2.0,0.5,1.0,1792.2000010000002
48.54,50.0,30.0,1.0,0.5,1.0,1636.5
4.59,5.0,90.0,1.0,0.5,1.0,2586.599998
0.26,5.0,30.0,2.0,0.5,1.0,1384.299999
5.26,10.0,90.0,2.0,0.5,1.0,4309.799999
42.37,50.0,180.0,1.0,0.5,1.0,1907.7000010000002
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2193.299999
0.46,50.0,180.0,2.0,0.5,1.0,1111.7000010000002
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1280.7000010000002
19.93,20.0,365.0,1.0,0.5,1.0,1806.0
26.32,50.0,90.0,2.0,0.5,1.0,6736.599998
10.53,20.0,90.0,2.0,0.5,1.0,4374.799999
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2290.4000020000003
0.05,10.0,365.0,2.0,0.5,1.0,878.8999977
9.17,10.0,90.0,1.0,0.5,1.0,1487.299999
1.08,5.0,365.0,1.0,0.5,1.0,2252.8000030000003
0.23,50.0,365.0,2.0,0.5,1.0,1225.900002
0.09,20.0,365.0,2.0,0.5,1.0,1710.299999
4.99,5.0,7.0,1.0,0.5,1.0,1225.299999
1.05,20.0,30.0,2.0,0.5,1.0,1714.5
2.15,10.0,365.0,1.0,0.5,1.0,2174.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1640.5
7.14,20.0,180.0,2.0,0.5,1.0,4686.299999
49.96,50.0,90.0,1.0,0.5,1.0,1706.0
49.65,50.0,7.0,1.0,0.5,1.0,1523.799999
0.53,10.0,30.0,2.0,0.5,1.0,2382.0
19.99,20.0,30.0,1.0,0.5,1.0,1054.099998
0.09,5.0,90.0,2.0,0.5,1.0,1940.5
17.86,50.0,180.0,2.0,0.5,1.0,1685.0
18.35,20.0,90.0,1.0,0.5,1.0,1703.799999
4.99,5.0,180.0,1.0,0.5,1.0,1869.799999
4.3,20.0,365.0,1.0,0.5,1.0,4842.5
9.96,10.0,365.0,1.0,0.5,1.0,1631.7000010000002
49.82,50.0,365.0,1.0,0.5,1.0,1287.2000010000002
45.87,50.0,90.0,1.0,0.5,1.0,1523.199997
49.99,50.0,30.0,1.0,0.5,1.0,1219.5
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1483.900002
7.33,10.0,365.0,1.0,0.5,1.0,1316.0
19.99,20.0,7.0,1.0,0.5,1.0,1197.599998
4.67,5.0,7.0,1.0,0.5,1.0,1352.099998
4.99,5.0,30.0,1.0,0.5,1.0,1178.2000010000002
9.93,10.0,7.0,1.0,0.5,1.0,1765.100002
4.99,5.0,90.0,1.0,0.5,1.0,1944.3999979999999
18.69,20.0,7.0,1.0,0.5,1.0,2294.7000009999997
49.91,50.0,180.0,1.0,0.5,1.0,1541.299999
3.66,5.0,365.0,1.0,0.5,1.0,2092.299999
1.92,10.0,7.0,2.0,0.5,1.0,2310.799999
9.99,10.0,30.0,1.0,0.5,1.0,1069.7000010000002
0.18,10.0,90.0,2.0,0.5,1.0,2729.5
0.05,5.0,180.0,2.0,0.5,1.0,1687.799999
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1315.100002
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1582.299999
