0,1,2,3,4,5,6
2.15,10.0,365.0,1.0,0.5,1.0,1612.8
99.97,100.0,30.0,1.0,0.5,1.0,2199.8
7.33,10.0,365.0,1.0,0.5,1.0,1122.9
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1718.7
1.92,10.0,7.0,2.0,0.5,1.0,1408.2
38.46,50.0,30.0,2.0,0.5,1.0,3956.7
4.24,5.0,180.0,1.0,0.5,1.0,1766.0
3.66,5.0,365.0,1.0,0.5,1.0,1179.1
4.85,5.0,30.0,1.0,0.5,1.0,2009.4
4.59,5.0,90.0,1.0,0.5,1.0,2014.2
4.99,5.0,180.0,1.0,0.5,1.0,912.0
0.53,10.0,30.0,2.0,0.5,1.0,1262.5
19.93,20.0,365.0,1.0,0.5,1.0,1074.4
4.99,5.0,7.0,1.0,0.5,1.0,1889.5
9.93,10.0,7.0,1.0,0.5,1.0,1099.8
45.87,50.0,90.0,1.0,0.5,1.0,1398.2
15.38,20.0,30.0,1.0,0.5,1.0,2485.8
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1338.3
4.98,5.0,365.0,1.0,0.5,1.0,1590.4
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2137.3
0.91,50.0,90.0,2.0,0.5,1.0,1234.2
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1190.9
0.05,10.0,365.0,2.0,0.5,1.0,1360.4
9.98,10.0,180.0,1.0,0.5,1.0,1555.7
10.53,20.0,90.0,2.0,0.5,1.0,2550.3
97.09,100.0,30.0,1.0,0.5,1.0,1504.8
84.75,100.0,180.0,1.0,0.5,1.0,899.3
17.86,50.0,180.0,2.0,0.5,1.0,1966.6
9.62,50.0,7.0,2.0,0.5,1.0,1408.3
19.99,20.0,7.0,1.0,0.5,1.0,1140.2
91.74000000000001,100.0,90.0,1.0,0.5,1.0,767.1
7.14,20.0,180.0,1.0,0.5,1.0,3720.8
0.09,10.0,180.0,2.0,0.5,1.0,1122.7
21.51,100.0,365.0,1.0,0.5,1.0,2542.5
9.17,10.0,90.0,1.0,0.5,1.0,1136.5
99.91000000000001,100.0,90.0,1.0,0.5,1.0,811.0
1.79,5.0,180.0,2.0,0.5,1.0,1455.9
4.67,5.0,7.0,1.0,0.5,1.0,984.4
0.09,20.0,365.0,2.0,0.5,1.0,1041.5
0.92,100.0,180.0,2.0,0.5,1.0,1947.3
4.99,5.0,30.0,1.0,0.5,1.0,917.1
1.82,100.0,90.0,2.0,0.5,1.0,2622.7
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1139.1
5.26,10.0,90.0,1.0,0.5,1.0,1886.5
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2041.1
2.63,5.0,90.0,2.0,0.5,1.0,1483.5
9.96,10.0,365.0,1.0,0.5,1.0,1207.0
10.75,50.0,365.0,1.0,0.5,1.0,3897.8
9.99,10.0,30.0,1.0,0.5,1.0,1378.3
19.86,20.0,7.0,1.0,0.5,1.0,1319.5
19.99,20.0,30.0,1.0,0.5,1.0,1177.8
36.63,50.0,365.0,1.0,0.5,1.0,1105.8
99.3,100.0,7.0,1.0,0.5,1.0,818.0
0.45,100.0,365.0,2.0,0.5,1.0,1532.4
4.99,5.0,90.0,1.0,0.5,1.0,847.5
9.99,10.0,7.0,1.0,0.5,1.0,737.9
0.23,50.0,365.0,2.0,0.5,1.0,1401.1
14.65,20.0,365.0,1.0,0.5,1.0,1061.5
0.36,20.0,90.0,2.0,0.5,1.0,1726.8
0.18,10.0,90.0,2.0,0.5,1.0,1617.4
52.63,100.0,90.0,2.0,0.5,1.0,2171.5
48.54,50.0,30.0,1.0,0.5,1.0,1239.2
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1289.7
49.99,50.0,30.0,1.0,0.5,1.0,1176.9
99.64,100.0,365.0,1.0,0.5,1.0,755.9
1.08,5.0,365.0,2.0,0.5,1.0,902.4
0.09,5.0,90.0,2.0,0.5,1.0,1754.2
99.82,100.0,180.0,1.0,0.5,1.0,1467.1
18.69,20.0,7.0,1.0,0.5,1.0,1103.2
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1433.5
0.46,50.0,180.0,2.0,0.5,1.0,1200.9
49.91,50.0,180.0,1.0,0.5,1.0,843.6
18.35,20.0,90.0,1.0,0.5,1.0,1103.9
4.3,20.0,365.0,1.0,0.5,1.0,1864.7
0.05,5.0,180.0,2.0,0.5,1.0,1196.5
19.23,100.0,7.0,1.0,0.5,1.0,1023.3
3.57,10.0,180.0,2.0,0.5,1.0,2377.4
35.71,100.0,180.0,2.0,0.5,1.0,1442.9
49.99,50.0,7.0,1.0,0.5,1.0,1215.7
42.37,50.0,180.0,1.0,0.5,1.0,2312.5
16.95,20.0,180.0,1.0,0.5,1.0,4687.9
76.92,100.0,30.0,1.0,0.5,1.0,1631.9
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1385.0
9.99,10.0,90.0,1.0,0.5,1.0,932.8
8.47,10.0,180.0,1.0,0.5,1.0,1821.3
0.02,5.0,365.0,1.0,0.5,1.0,1401.2
0.96,5.0,7.0,2.0,0.5,1.0,1764.8
49.82,50.0,365.0,1.0,0.5,1.0,1069.8
49.96,50.0,90.0,1.0,0.5,1.0,752.4
1.05,20.0,30.0,2.0,0.5,1.0,1122.2
73.26,100.0,365.0,1.0,0.5,1.0,1107.7
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1478.8
5.26,100.0,30.0,2.0,0.5,1.0,1351.8
0.26,5.0,30.0,2.0,0.5,1.0,1211.9
