0,1,2,3,4,5,6
4.85,5.0,30.0,2.0,0.5,1.0,6972.3
9.17,10.0,90.0,1.0,0.5,1.0,7451.0
4.98,5.0,365.0,1.0,0.5,1.0,4457.2
4.67,5.0,7.0,2.0,0.5,1.0,2821.5
0.96,5.0,7.0,2.0,0.5,1.0,2539.8
2.63,50.0,30.0,2.0,0.5,1.0,2787.5
93.46000000000001,100.0,7.0,2.0,0.5,1.0,2876.6
76.92,100.0,30.0,2.0,0.5,1.0,3124.9
97.09,100.0,30.0,2.0,0.5,1.0,2095.8
2.63,5.0,90.0,2.0,0.5,1.0,2818.1
9.99,10.0,90.0,1.0,0.5,1.0,3120.1
4.99,5.0,90.0,2.0,0.5,1.0,1878.7
0.18,20.0,180.0,2.0,0.5,1.0,1858.2
19.99,20.0,30.0,1.0,0.5,1.0,1989.9
18.69,20.0,7.0,2.0,0.5,1.0,3091.1
19.99,20.0,7.0,2.0,0.5,1.0,1465.2
9.98,10.0,180.0,2.0,0.5,1.0,1184.8
0.92,100.0,180.0,2.0,0.5,1.0,960.7
0.45,100.0,365.0,2.0,0.5,1.0,1606.2
19.979999999999997,20.0,90.0,2.0,0.5,1.0,1567.2
21.51,100.0,365.0,2.0,0.5,1.0,1838.4
10.75,50.0,365.0,2.0,0.5,1.0,1615.8
16.95,20.0,180.0,2.0,0.5,1.0,3413.2
45.87,50.0,90.0,1.0,0.5,1.0,2582.0
15.38,20.0,30.0,2.0,0.5,1.0,1566.1
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1087.5
99.99000000000001,100.0,7.0,2.0,0.5,1.0,1115.0
4.99,5.0,30.0,2.0,0.5,1.0,2277.4
18.35,20.0,90.0,1.0,0.5,1.0,2112.0
0.09,20.0,365.0,2.0,0.5,1.0,2380.9
0.05,5.0,180.0,2.0,0.5,1.0,1181.8
38.46,50.0,30.0,2.0,0.5,1.0,1445.7
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1973.9
5.26,100.0,30.0,2.0,0.5,1.0,7465.3
42.37,50.0,180.0,2.0,0.5,1.0,6890.4
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1808.9
52.63,100.0,90.0,2.0,0.5,1.0,1026.4
10.53,20.0,90.0,2.0,0.5,1.0,1912.0
1.92,10.0,7.0,2.0,0.5,1.0,1206.8
0.26,5.0,30.0,2.0,0.5,1.0,1349.6
99.64,100.0,365.0,2.0,0.5,1.0,638.4
49.91,50.0,180.0,1.0,0.5,1.0,1345.3
99.97,100.0,30.0,1.0,0.5,1.0,1536.5
4.99,5.0,180.0,2.0,0.5,1.0,2331.6
99.82,100.0,180.0,1.0,0.5,1.0,2369.4
9.709999999999999,10.0,30.0,1.0,0.5,1.0,3138.9
0.09,5.0,90.0,2.0,0.5,1.0,1404.4
3.57,10.0,180.0,2.0,0.5,1.0,1697.3
0.18,10.0,90.0,2.0,0.5,1.0,1603.4
3.66,5.0,365.0,1.0,0.5,1.0,2392.3
17.86,50.0,180.0,2.0,0.5,1.0,1849.1
48.54,50.0,30.0,1.0,0.5,1.0,1610.7
73.26,100.0,365.0,2.0,0.5,1.0,2088.6
2.15,10.0,365.0,1.0,0.5,1.0,1502.0
19.23,100.0,7.0,1.0,0.5,1.0,1286.8
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2836.1
26.32,50.0,90.0,2.0,0.5,1.0,1608.9
0.02,5.0,365.0,2.0,0.5,1.0,1645.0
0.05,10.0,365.0,2.0,0.5,1.0,930.4
8.47,10.0,180.0,2.0,0.5,1.0,2852.0
49.65,50.0,7.0,2.0,0.5,1.0,1165.5
49.96,50.0,90.0,2.0,0.5,1.0,3089.2
35.71,100.0,180.0,2.0,0.5,1.0,1352.9
7.33,10.0,365.0,2.0,0.5,1.0,1673.1
36.63,50.0,365.0,2.0,0.5,1.0,1363.7
19.93,20.0,365.0,1.0,0.5,1.0,1658.8
49.99,50.0,7.0,1.0,0.5,1.0,3367.3
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1678.5
84.75,100.0,180.0,1.0,0.5,1.0,6012.1
0.36,20.0,90.0,2.0,0.5,1.0,1697.8
0.91,50.0,90.0,2.0,0.5,1.0,807.7
7.14,20.0,180.0,2.0,0.5,1.0,1061.5
0.53,10.0,30.0,2.0,0.5,1.0,1766.2
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1850.7
9.99,10.0,7.0,2.0,0.5,1.0,2823.7
4.59,5.0,90.0,1.0,0.5,1.0,1650.8
4.3,20.0,365.0,1.0,0.5,1.0,5447.1
1.82,100.0,90.0,2.0,0.5,1.0,1401.6
5.26,10.0,90.0,2.0,0.5,1.0,1889.7
19.959999999999997,20.0,180.0,2.0,0.5,1.0,2139.5
91.74000000000001,100.0,90.0,2.0,0.5,1.0,1282.3
14.65,20.0,365.0,2.0,0.5,1.0,1473.9
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1607.6
0.09,10.0,180.0,2.0,0.5,1.0,1024.9
9.93,10.0,7.0,2.0,0.5,1.0,2209.5
49.82,50.0,365.0,2.0,0.5,1.0,3060.3
