0,1,2,3,4,5,6
35.71,100.0,180.0,2.0,0.5,1.0,4652.8
0.91,50.0,90.0,2.0,0.5,1.0,1890.4
5.26,100.0,30.0,2.0,0.5,1.0,2248.6
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2898.8
8.47,10.0,180.0,1.0,0.5,1.0,2595.3
38.46,50.0,30.0,2.0,0.5,1.0,3240.8
52.63,100.0,90.0,2.0,0.5,1.0,2130.4
49.99,50.0,7.0,1.0,0.5,1.0,1474.4
0.05,10.0,365.0,2.0,0.5,1.0,2002.9
0.26,5.0,30.0,2.0,0.5,1.0,2033.4
0.53,10.0,30.0,2.0,0.5,1.0,2339.3
15.38,20.0,30.0,1.0,0.5,1.0,3556.7
4.99,5.0,30.0,1.0,0.5,1.0,2520.8
97.09,100.0,30.0,1.0,0.5,1.0,2882.5
2.63,50.0,30.0,2.0,0.5,1.0,3264.0
14.65,20.0,365.0,1.0,0.5,1.0,1647.4
19.99,20.0,7.0,1.0,0.5,1.0,3354.8
0.05,5.0,180.0,2.0,0.5,1.0,2048.1
1.08,5.0,365.0,2.0,0.5,1.0,3433.9
99.82,100.0,180.0,1.0,0.5,1.0,3183.7
0.18,20.0,180.0,2.0,0.5,1.0,1969.2
76.92,100.0,30.0,2.0,0.5,1.0,1671.8
49.99,50.0,30.0,1.0,0.5,1.0,1597.0
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1938.2
3.57,10.0,180.0,2.0,0.5,1.0,2419.3
1.79,5.0,180.0,1.0,0.5,1.0,2929.2
9.62,50.0,7.0,2.0,0.5,1.0,1537.3
0.92,100.0,180.0,2.0,0.5,1.0,1560.8
45.87,50.0,90.0,1.0,0.5,1.0,3764.4
93.46000000000001,100.0,7.0,1.0,0.5,1.0,3287.6
26.32,50.0,90.0,2.0,0.5,1.0,3347.3
7.33,10.0,365.0,1.0,0.5,1.0,2625.7
73.26,100.0,365.0,1.0,0.5,1.0,3058.7
99.97,100.0,30.0,1.0,0.5,1.0,1603.4
0.46,50.0,180.0,2.0,0.5,1.0,1673.1
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1563.1
4.99,5.0,180.0,1.0,0.5,1.0,2860.0
9.17,10.0,90.0,2.0,0.5,1.0,2026.6
1.92,10.0,7.0,2.0,0.5,1.0,1835.3
49.91,50.0,180.0,1.0,0.5,1.0,2204.7
36.63,50.0,365.0,1.0,0.5,1.0,2106.7
1.05,20.0,30.0,2.0,0.5,1.0,2690.8
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2696.5
2.15,10.0,365.0,1.0,0.5,1.0,1687.9
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2573.2
4.99,5.0,90.0,1.0,0.5,1.0,2722.2
9.96,10.0,365.0,1.0,0.5,1.0,1512.9
49.65,50.0,7.0,2.0,0.5,1.0,1713.4
4.98,5.0,365.0,1.0,0.5,1.0,2466.6
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2616.7
0.45,100.0,365.0,2.0,0.5,1.0,1830.1
19.23,100.0,7.0,2.0,0.5,1.0,1683.6
1.82,100.0,90.0,2.0,0.5,1.0,1754.9
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2691.0
49.82,50.0,365.0,1.0,0.5,1.0,2201.4
19.86,20.0,7.0,1.0,0.5,1.0,2170.1
48.54,50.0,30.0,1.0,0.5,1.0,1387.1
0.09,10.0,180.0,2.0,0.5,1.0,1571.4
10.53,20.0,90.0,2.0,0.5,1.0,2035.3
4.99,5.0,7.0,1.0,0.5,1.0,2458.1
99.99000000000001,100.0,7.0,2.0,0.5,1.0,1192.7
18.35,20.0,90.0,2.0,0.5,1.0,2695.6
16.95,20.0,180.0,2.0,0.5,1.0,1834.9
9.99,10.0,90.0,1.0,0.5,1.0,1194.3
4.85,5.0,30.0,1.0,0.5,1.0,1771.1
4.3,20.0,365.0,2.0,0.5,1.0,1763.6
17.86,50.0,180.0,2.0,0.5,1.0,1523.2
84.75,100.0,180.0,2.0,0.5,1.0,2874.2
0.36,20.0,90.0,2.0,0.5,1.0,1498.8
9.99,10.0,30.0,1.0,0.5,1.0,1133.4
10.75,50.0,365.0,2.0,0.5,1.0,1731.4
2.63,5.0,90.0,2.0,0.5,1.0,2611.7
9.99,10.0,7.0,1.0,0.5,1.0,1881.7
3.66,5.0,365.0,2.0,0.5,1.0,1834.6
46.730000000000004,50.0,7.0,1.0,0.5,1.0,2921.8
0.96,5.0,7.0,2.0,0.5,1.0,1449.7
0.02,5.0,365.0,2.0,0.5,1.0,1494.0
49.96,50.0,90.0,1.0,0.5,1.0,1643.3
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1592.2
19.99,20.0,30.0,1.0,0.5,1.0,1250.7
7.14,20.0,180.0,2.0,0.5,1.0,2291.0
19.93,20.0,365.0,1.0,0.5,1.0,1800.2
4.24,5.0,180.0,1.0,0.5,1.0,2275.6
99.64,100.0,365.0,1.0,0.5,1.0,2218.7
19.959999999999997,20.0,180.0,2.0,0.5,1.0,2666.0
0.09,20.0,365.0,2.0,0.5,1.0,1371.0
99.3,100.0,7.0,1.0,0.5,1.0,2058.2
5.26,10.0,90.0,2.0,0.5,1.0,2836.2
0.18,10.0,90.0,2.0,0.5,1.0,1415.3
0.09,5.0,90.0,2.0,0.5,1.0,1787.4
18.69,20.0,7.0,2.0,0.5,1.0,1699.1
9.98,10.0,180.0,2.0,0.5,1.0,2304.5
0.23,50.0,365.0,2.0,0.5,1.0,1530.2
19.419999999999998,20.0,30.0,2.0,0.5,1.0,2141.2
42.37,50.0,180.0,2.0,0.5,1.0,1939.5
21.51,100.0,365.0,2.0,0.5,1.0,1324.0
4.67,5.0,7.0,2.0,0.5,1.0,2089.9
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2043.2
9.93,10.0,7.0,2.0,0.5,1.0,2251.3
4.59,5.0,90.0,1.0,0.5,1.0,2210.4
