0,1,2,3,4,5,6
0.92,100.0,180.0,2.0,0.5,1.0,2740.3
4.99,5.0,90.0,1.0,0.5,1.0,1946.7
99.99000000000001,100.0,7.0,1.0,0.5,1.0,2204.1
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1910.7
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2347.3
10.75,50.0,365.0,2.0,0.5,1.0,3489.9
73.26,100.0,365.0,1.0,0.5,1.0,2171.3
99.82,100.0,180.0,1.0,0.5,1.0,1901.7
1.82,100.0,90.0,2.0,0.5,1.0,2032.9
18.69,20.0,7.0,1.0,0.5,1.0,1880.1
1.92,10.0,7.0,2.0,0.5,1.0,1654.9
99.3,100.0,7.0,1.0,0.5,1.0,1330.0
42.37,50.0,180.0,1.0,0.5,1.0,1429.9
0.05,10.0,365.0,2.0,0.5,1.0,1048.9
17.86,50.0,180.0,2.0,0.5,1.0,1453.5
0.05,5.0,180.0,2.0,0.5,1.0,1285.5
49.82,50.0,365.0,1.0,0.5,1.0,1706.2
49.96,50.0,90.0,1.0,0.5,1.0,1468.3
5.26,100.0,30.0,2.0,0.5,1.0,1708.2
4.3,20.0,365.0,2.0,0.5,1.0,2324.3
9.17,10.0,90.0,1.0,0.5,1.0,2051.1
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1604.6
0.45,100.0,365.0,2.0,0.5,1.0,1640.6
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2955.6
0.46,50.0,180.0,2.0,0.5,1.0,1290.4
0.96,5.0,7.0,2.0,0.5,1.0,2009.2
7.33,10.0,365.0,1.0,0.5,1.0,2213.1
52.63,100.0,90.0,2.0,0.5,1.0,2316.1
76.92,100.0,30.0,2.0,0.5,1.0,2401.3
14.65,20.0,365.0,1.0,0.5,1.0,1321.5
9.99,10.0,90.0,1.0,0.5,1.0,1628.9
0.18,10.0,90.0,2.0,0.5,1.0,1523.9
5.26,10.0,90.0,2.0,0.5,1.0,3403.1
15.38,20.0,30.0,1.0,0.5,1.0,1597.2
4.99,5.0,30.0,1.0,0.5,1.0,1452.6
36.63,50.0,365.0,1.0,0.5,1.0,2339.1
18.35,20.0,90.0,1.0,0.5,1.0,1594.9
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1817.5
35.71,100.0,180.0,2.0,0.5,1.0,1781.0
0.09,10.0,180.0,2.0,0.5,1.0,1291.5
19.99,20.0,7.0,1.0,0.5,1.0,1512.1
9.93,10.0,7.0,1.0,0.5,1.0,1324.3
4.24,5.0,180.0,1.0,0.5,1.0,1362.5
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1443.9
4.67,5.0,7.0,1.0,0.5,1.0,1106.2
49.91,50.0,180.0,1.0,0.5,1.0,1565.2
97.09,100.0,30.0,1.0,0.5,1.0,1354.6
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1747.1
16.95,20.0,180.0,1.0,0.5,1.0,1821.2
19.93,20.0,365.0,1.0,0.5,1.0,1344.6
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2559.2
7.14,20.0,180.0,2.0,0.5,1.0,1923.3
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1276.2
19.23,100.0,7.0,2.0,0.5,1.0,1453.8
3.66,5.0,365.0,1.0,0.5,1.0,1739.3
0.09,20.0,365.0,2.0,0.5,1.0,930.3
99.64,100.0,365.0,1.0,0.5,1.0,1060.4
4.85,5.0,30.0,1.0,0.5,1.0,1203.2
9.99,10.0,7.0,1.0,0.5,1.0,1260.9
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1331.6
19.99,20.0,30.0,1.0,0.5,1.0,1430.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1578.4
0.09,5.0,90.0,2.0,0.5,1.0,1235.7
48.54,50.0,30.0,1.0,0.5,1.0,1158.0
1.05,20.0,30.0,2.0,0.5,1.0,1042.3
2.63,50.0,30.0,2.0,0.5,1.0,1084.6
0.36,20.0,90.0,2.0,0.5,1.0,948.6999998
0.53,10.0,30.0,2.0,0.5,1.0,1172.4
0.26,5.0,30.0,2.0,0.5,1.0,1761.6
38.46,50.0,30.0,2.0,0.5,1.0,2242.4
26.32,50.0,90.0,2.0,0.5,1.0,1493.6
10.53,20.0,90.0,2.0,0.5,1.0,1574.1
8.47,10.0,180.0,1.0,0.5,1.0,1410.6
0.91,50.0,90.0,2.0,0.5,1.0,922.9000000999999
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2149.2
9.99,10.0,30.0,1.0,0.5,1.0,1075.1
4.98,5.0,365.0,1.0,0.5,1.0,1245.6
0.23,50.0,365.0,2.0,0.5,1.0,945.8
4.99,5.0,7.0,1.0,0.5,1.0,1635.3
19.86,20.0,7.0,1.0,0.5,1.0,1613.0
9.62,50.0,7.0,2.0,0.5,1.0,1212.1
4.99,5.0,180.0,1.0,0.5,1.0,1588.5
2.15,10.0,365.0,2.0,0.5,1.0,922.1000001
84.75,100.0,180.0,1.0,0.5,1.0,1924.3
3.57,10.0,180.0,2.0,0.5,1.0,1594.9
9.98,10.0,180.0,1.0,0.5,1.0,1556.2
1.79,5.0,180.0,2.0,0.5,1.0,1451.1
49.99,50.0,7.0,1.0,0.5,1.0,1075.4
49.99,50.0,30.0,1.0,0.5,1.0,1227.8
49.65,50.0,7.0,1.0,0.5,1.0,1189.1
9.96,10.0,365.0,1.0,0.5,1.0,1300.0
99.97,100.0,30.0,1.0,0.5,1.0,2357.2
0.18,20.0,180.0,2.0,0.5,1.0,1468.0
21.51,100.0,365.0,2.0,0.5,1.0,1162.2
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1391.9
2.63,5.0,90.0,2.0,0.5,1.0,1978.8
1.08,5.0,365.0,2.0,0.5,1.0,1282.7
4.59,5.0,90.0,1.0,0.5,1.0,1276.9
0.02,5.0,365.0,2.0,0.5,1.0,955.5
45.87,50.0,90.0,1.0,0.5,1.0,1286.5
