0,1,2,3,4,5,6
9.96,10.0,365.0,1.0,0.5,1.0,1894.3
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1452.9
97.09,100.0,30.0,1.0,0.5,1.0,1729.2
9.99,10.0,90.0,1.0,0.5,1.0,2306.1
3.66,5.0,365.0,1.0,0.5,1.0,2823.4
49.99,50.0,7.0,1.0,0.5,1.0,1856.0
0.53,10.0,30.0,2.0,0.5,1.0,2020.4
21.51,100.0,365.0,2.0,0.5,1.0,2740.1
48.54,50.0,30.0,1.0,0.5,1.0,2179.6
9.99,10.0,30.0,1.0,0.5,1.0,1821.8
19.93,20.0,365.0,1.0,0.5,1.0,1904.4
2.15,10.0,365.0,2.0,0.5,1.0,2773.8
0.09,20.0,365.0,2.0,0.5,1.0,1582.7
0.96,5.0,7.0,2.0,0.5,1.0,2666.7
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1219.8
4.24,5.0,180.0,1.0,0.5,1.0,1640.3
0.45,100.0,365.0,2.0,0.5,1.0,1469.3
1.92,10.0,7.0,2.0,0.5,1.0,1933.5
2.63,5.0,90.0,1.0,0.5,1.0,1773.4
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1556.8
3.57,10.0,180.0,1.0,0.5,1.0,5515.3
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1262.2
0.23,50.0,365.0,2.0,0.5,1.0,910.2
19.99,20.0,7.0,1.0,0.5,1.0,1150.0
1.08,5.0,365.0,2.0,0.5,1.0,1011.4
2.63,50.0,30.0,2.0,0.5,1.0,1199.6
18.35,20.0,90.0,1.0,0.5,1.0,990.0
1.82,100.0,90.0,2.0,0.5,1.0,1108.3
7.33,10.0,365.0,1.0,0.5,1.0,919.6
0.18,20.0,180.0,2.0,0.5,1.0,1115.4
93.46000000000001,100.0,7.0,2.0,0.5,1.0,920.9
35.71,100.0,180.0,2.0,0.5,1.0,1701.0
9.99,10.0,7.0,1.0,0.5,1.0,855.7
0.05,10.0,365.0,2.0,0.5,1.0,932.4
1.05,20.0,30.0,2.0,0.5,1.0,1471.1
4.98,5.0,365.0,1.0,0.5,1.0,1223.7
0.02,5.0,365.0,2.0,0.5,1.0,1222.1
0.09,5.0,90.0,2.0,0.5,1.0,1945.3
4.85,5.0,30.0,1.0,0.5,1.0,1408.6
19.99,20.0,30.0,1.0,0.5,1.0,3018.9
42.37,50.0,180.0,1.0,0.5,1.0,2476.9
0.91,50.0,90.0,2.0,0.5,1.0,1246.2
8.47,10.0,180.0,1.0,0.5,1.0,1685.1
4.3,20.0,365.0,2.0,0.5,1.0,1583.8
16.95,20.0,180.0,1.0,0.5,1.0,966.5
18.69,20.0,7.0,2.0,0.5,1.0,2468.1
99.3,100.0,7.0,2.0,0.5,1.0,880.3
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1397.0
0.92,100.0,180.0,2.0,0.5,1.0,910.5
9.93,10.0,7.0,1.0,0.5,1.0,910.5
4.99,5.0,30.0,1.0,0.5,1.0,1758.4
4.59,5.0,90.0,1.0,0.5,1.0,824.7
4.67,5.0,7.0,1.0,0.5,1.0,798.8
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1062.3
5.26,10.0,90.0,2.0,0.5,1.0,1752.6
49.65,50.0,7.0,1.0,0.5,1.0,1214.3
38.46,50.0,30.0,1.0,0.5,1.0,4668.4
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1105.2
99.97,100.0,30.0,1.0,0.5,1.0,427.6
15.38,20.0,30.0,1.0,0.5,1.0,718.2
19.979999999999997,20.0,90.0,1.0,0.5,1.0,621.9
0.05,5.0,180.0,2.0,0.5,1.0,848.3
91.74000000000001,100.0,90.0,1.0,0.5,1.0,479.8
84.75,100.0,180.0,1.0,0.5,1.0,893.8
5.26,100.0,30.0,2.0,0.5,1.0,935.0
49.99,50.0,30.0,1.0,0.5,1.0,1008.0
9.98,10.0,180.0,1.0,0.5,1.0,909.3
0.26,5.0,30.0,2.0,0.5,1.0,733.5
9.17,10.0,90.0,2.0,0.5,1.0,772.5
36.63,50.0,365.0,1.0,0.5,1.0,1350.8
4.99,5.0,7.0,1.0,0.5,1.0,654.3
46.730000000000004,50.0,7.0,1.0,0.5,1.0,645.0
49.96,50.0,90.0,1.0,0.5,1.0,1112.8
4.99,5.0,180.0,1.0,0.5,1.0,1045.0
0.18,10.0,90.0,2.0,0.5,1.0,936.4
9.709999999999999,10.0,30.0,1.0,0.5,1.0,907.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,945.4
10.53,20.0,90.0,1.0,0.5,1.0,813.9
49.82,50.0,365.0,1.0,0.5,1.0,753.4
19.23,100.0,7.0,1.0,0.5,1.0,790.3
76.92,100.0,30.0,1.0,0.5,1.0,1167.4
99.82,100.0,180.0,2.0,0.5,1.0,840.7
26.32,50.0,90.0,1.0,0.5,1.0,854.0
99.99000000000001,100.0,7.0,1.0,0.5,1.0,209.3
0.09,10.0,180.0,2.0,0.5,1.0,815.2
49.91,50.0,180.0,1.0,0.5,1.0,821.9
0.46,50.0,180.0,2.0,0.5,1.0,801.4
0.36,20.0,90.0,2.0,0.5,1.0,862.9
7.14,20.0,180.0,2.0,0.5,1.0,702.3
4.99,5.0,90.0,1.0,0.5,1.0,774.5
9.62,50.0,7.0,2.0,0.5,1.0,1036.5
17.86,50.0,180.0,2.0,0.5,1.0,2073.9
1.79,5.0,180.0,2.0,0.5,1.0,1064.9
14.65,20.0,365.0,1.0,0.5,1.0,1268.2
73.26,100.0,365.0,1.0,0.5,1.0,1156.2
19.86,20.0,7.0,1.0,0.5,1.0,1393.3
52.63,100.0,90.0,2.0,0.5,1.0,1590.9
10.75,50.0,365.0,2.0,0.5,1.0,1127.8
99.64,100.0,365.0,2.0,0.5,1.0,845.5
