0,1,2,3,4,5,6
26.32,50.0,90.0,2.0,0.5,1.0,2191.5
42.37,50.0,180.0,2.0,0.5,1.0,2183.4
9.99,10.0,30.0,2.0,0.5,1.0,3809.4
4.99,5.0,30.0,2.0,0.5,1.0,1666.7
0.36,20.0,90.0,2.0,0.5,1.0,2238.2
49.65,50.0,7.0,2.0,0.5,1.0,3126.8
2.63,5.0,90.0,2.0,0.5,1.0,1943.6
9.62,50.0,7.0,2.0,0.5,1.0,1562.9
1.92,10.0,7.0,2.0,0.5,1.0,1944.5
0.92,100.0,180.0,2.0,0.5,1.0,1386.8
19.979999999999997,20.0,90.0,2.0,0.5,1.0,3350.2
4.99,5.0,180.0,2.0,0.5,1.0,1435.3
49.96,50.0,90.0,2.0,0.5,1.0,1654.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1391.5
14.65,20.0,365.0,2.0,0.5,1.0,2701.3
0.02,5.0,365.0,2.0,0.5,1.0,1306.9
10.75,50.0,365.0,2.0,0.5,1.0,2329.3
10.53,20.0,90.0,2.0,0.5,1.0,1556.2
9.99,10.0,90.0,2.0,0.5,1.0,1671.9
0.05,10.0,365.0,2.0,0.5,1.0,1528.8
0.45,100.0,365.0,2.0,0.5,1.0,1464.6
99.82,100.0,180.0,1.0,0.5,1.0,3698.2
0.23,50.0,365.0,2.0,0.5,1.0,1217.3
19.23,100.0,7.0,2.0,0.5,1.0,1424.8
19.86,20.0,7.0,2.0,0.5,1.0,2836.8
99.64,100.0,365.0,2.0,0.5,1.0,1775.7
4.24,5.0,180.0,1.0,0.5,1.0,3498.5
19.419999999999998,20.0,30.0,2.0,0.5,1.0,2318.0
0.18,20.0,180.0,2.0,0.5,1.0,2006.8
9.98,10.0,180.0,1.0,0.5,1.0,3895.2
93.46000000000001,100.0,7.0,2.0,0.5,1.0,3016.9
8.47,10.0,180.0,2.0,0.5,1.0,2759.8
5.26,100.0,30.0,2.0,0.5,1.0,1165.7
38.46,50.0,30.0,2.0,0.5,1.0,2467.7
21.51,100.0,365.0,2.0,0.5,1.0,1142.2
4.99,5.0,90.0,1.0,0.5,1.0,3072.4
49.99,50.0,30.0,1.0,0.5,1.0,1795.8
19.959999999999997,20.0,180.0,2.0,0.5,1.0,3748.0
4.3,20.0,365.0,2.0,0.5,1.0,1888.3
4.67,5.0,7.0,2.0,0.5,1.0,2549.9
1.82,100.0,90.0,2.0,0.5,1.0,1255.0
46.730000000000004,50.0,7.0,2.0,0.5,1.0,2869.6
36.63,50.0,365.0,2.0,0.5,1.0,1535.5
9.17,10.0,90.0,2.0,0.5,1.0,3297.3
19.99,20.0,7.0,2.0,0.5,1.0,3104.6
49.91,50.0,180.0,2.0,0.5,1.0,1578.8
49.99,50.0,7.0,2.0,0.5,1.0,2092.0
0.91,50.0,90.0,2.0,0.5,1.0,4115.4
0.18,10.0,90.0,2.0,0.5,1.0,1153.1
0.26,5.0,30.0,2.0,0.5,1.0,1159.7
15.38,20.0,30.0,2.0,0.5,1.0,1702.4
35.71,100.0,180.0,2.0,0.5,1.0,1426.0
0.09,20.0,365.0,2.0,0.5,1.0,1424.4
19.93,20.0,365.0,2.0,0.5,1.0,1056.1
0.46,50.0,180.0,2.0,0.5,1.0,1443.7
2.63,50.0,30.0,2.0,0.5,1.0,1538.7
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1040.5
4.59,5.0,90.0,2.0,0.5,1.0,2257.4
5.26,10.0,90.0,2.0,0.5,1.0,2179.9
99.97,100.0,30.0,2.0,0.5,1.0,2724.5
7.14,20.0,180.0,2.0,0.5,1.0,1245.3
9.99,10.0,7.0,2.0,0.5,1.0,1485.1
0.09,10.0,180.0,2.0,0.5,1.0,1188.9
16.95,20.0,180.0,2.0,0.5,1.0,1323.9
3.66,5.0,365.0,2.0,0.5,1.0,1810.2
9.709999999999999,10.0,30.0,2.0,0.5,1.0,3753.7
0.05,5.0,180.0,2.0,0.5,1.0,1184.4
97.09,100.0,30.0,2.0,0.5,1.0,1969.3
18.35,20.0,90.0,2.0,0.5,1.0,1725.3
2.15,10.0,365.0,2.0,0.5,1.0,1692.3
4.85,5.0,30.0,2.0,0.5,1.0,1157.9
7.33,10.0,365.0,2.0,0.5,1.0,1842.6
1.79,5.0,180.0,2.0,0.5,1.0,1808.3
4.970000000000001,5.0,7.0,2.0,0.5,1.0,1422.8
19.99,20.0,30.0,2.0,0.5,1.0,2208.6
49.82,50.0,365.0,2.0,0.5,1.0,1375.2
17.86,50.0,180.0,2.0,0.5,1.0,2610.6
3.57,10.0,180.0,2.0,0.5,1.0,1913.8
76.92,100.0,30.0,2.0,0.5,1.0,2160.0
18.69,20.0,7.0,2.0,0.5,1.0,1736.6
52.63,100.0,90.0,2.0,0.5,1.0,1315.9
48.54,50.0,30.0,2.0,0.5,1.0,1985.7
4.99,5.0,7.0,2.0,0.5,1.0,2426.7
1.08,5.0,365.0,2.0,0.5,1.0,1788.8
73.26,100.0,365.0,2.0,0.5,1.0,2044.0
0.09,5.0,90.0,2.0,0.5,1.0,1219.1
0.96,5.0,7.0,2.0,0.5,1.0,1585.5
9.93,10.0,7.0,2.0,0.5,1.0,1827.9
99.91000000000001,100.0,90.0,2.0,0.5,1.0,1976.0
99.3,100.0,7.0,2.0,0.5,1.0,1675.0
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1659.6
1.05,20.0,30.0,2.0,0.5,1.0,1582.1
9.96,10.0,365.0,2.0,0.5,1.0,1721.4
0.53,10.0,30.0,2.0,0.5,1.0,1893.9
45.87,50.0,90.0,2.0,0.5,1.0,1630.9
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1405.6
91.74000000000001,100.0,90.0,2.0,0.5,1.0,1578.6
99.99000000000001,100.0,7.0,2.0,0.5,1.0,1312.6
4.98,5.0,365.0,2.0,0.5,1.0,1070.4
84.75,100.0,180.0,2.0,0.5,1.0,1373.9
