0,1,2,3,4,5,6
10.75,50.0,365.0,1.0,0.5,1.0,3286.6
7.14,20.0,180.0,1.0,0.5,1.0,4692.7
4.99,5.0,180.0,1.0,0.5,1.0,2523.7
93.46000000000001,100.0,7.0,1.0,0.5,1.0,2684.3
1.79,5.0,180.0,1.0,0.5,1.0,4909.8
49.96,50.0,90.0,1.0,0.5,1.0,2067.1
4.67,5.0,7.0,1.0,0.5,1.0,4348.4
19.86,20.0,7.0,1.0,0.5,1.0,3535.9
2.63,50.0,30.0,2.0,0.5,1.0,3022.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1814.0
0.96,5.0,7.0,2.0,0.5,1.0,2318.4
0.09,5.0,90.0,2.0,0.5,1.0,1802.9
0.26,5.0,30.0,2.0,0.5,1.0,4056.3
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2181.1
26.32,50.0,90.0,2.0,0.5,1.0,4662.1
18.69,20.0,7.0,1.0,0.5,1.0,1739.7
99.97,100.0,30.0,1.0,0.5,1.0,1790.4
0.18,10.0,90.0,2.0,0.5,1.0,1495.6
4.59,5.0,90.0,1.0,0.5,1.0,1797.3
99.64,100.0,365.0,1.0,0.5,1.0,3190.1
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1793.5
2.15,10.0,365.0,1.0,0.5,1.0,4523.1
9.99,10.0,30.0,1.0,0.5,1.0,1437.6
9.98,10.0,180.0,1.0,0.5,1.0,1881.5
19.419999999999998,20.0,30.0,1.0,0.5,1.0,3189.2
9.99,10.0,90.0,1.0,0.5,1.0,1634.6
0.09,20.0,365.0,2.0,0.5,1.0,1468.2
0.09,10.0,180.0,2.0,0.5,1.0,3629.5
19.99,20.0,7.0,1.0,0.5,1.0,1227.6
36.63,50.0,365.0,1.0,0.5,1.0,2388.2
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1892.8
52.63,100.0,90.0,2.0,0.5,1.0,2755.4
49.91,50.0,180.0,1.0,0.5,1.0,1100.6
97.09,100.0,30.0,1.0,0.5,1.0,2061.5
99.82,100.0,180.0,1.0,0.5,1.0,1579.2
4.99,5.0,90.0,1.0,0.5,1.0,2014.1
0.36,20.0,90.0,2.0,0.5,1.0,1507.9
73.26,100.0,365.0,1.0,0.5,1.0,2853.8
21.51,100.0,365.0,2.0,0.5,1.0,2793.3
76.92,100.0,30.0,2.0,0.5,1.0,4629.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,3044.8
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2898.2
4.24,5.0,180.0,1.0,0.5,1.0,2411.3
48.54,50.0,30.0,1.0,0.5,1.0,1717.7
1.05,20.0,30.0,2.0,0.5,1.0,2168.9
19.23,100.0,7.0,2.0,0.5,1.0,2340.1
49.82,50.0,365.0,1.0,0.5,1.0,1109.8
49.65,50.0,7.0,1.0,0.5,1.0,1656.8
0.18,20.0,180.0,2.0,0.5,1.0,2668.7
38.46,50.0,30.0,1.0,0.5,1.0,2572.2
42.37,50.0,180.0,1.0,0.5,1.0,1205.4
14.65,20.0,365.0,1.0,0.5,1.0,1970.0
8.47,10.0,180.0,2.0,0.5,1.0,1860.0
4.99,5.0,30.0,1.0,0.5,1.0,1604.8
19.99,20.0,30.0,1.0,0.5,1.0,1404.6
0.53,10.0,30.0,2.0,0.5,1.0,1762.6
1.82,100.0,90.0,2.0,0.5,1.0,2069.0
9.99,10.0,7.0,1.0,0.5,1.0,1372.2
10.53,20.0,90.0,1.0,0.5,1.0,2283.5
1.92,10.0,7.0,2.0,0.5,1.0,2540.4
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1644.8
35.71,100.0,180.0,1.0,0.5,1.0,3922.4
0.02,5.0,365.0,2.0,0.5,1.0,4316.6
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1898.1
4.99,5.0,7.0,1.0,0.5,1.0,1071.6
3.66,5.0,365.0,1.0,0.5,1.0,3683.6
5.26,100.0,30.0,2.0,0.5,1.0,3845.8
15.38,20.0,30.0,1.0,0.5,1.0,1448.8
9.17,10.0,90.0,1.0,0.5,1.0,1279.2
5.26,10.0,90.0,2.0,0.5,1.0,1963.1
16.95,20.0,180.0,1.0,0.5,1.0,1793.0
49.99,50.0,30.0,1.0,0.5,1.0,1251.9
9.62,50.0,7.0,2.0,0.5,1.0,2581.5
17.86,50.0,180.0,1.0,0.5,1.0,1761.3
0.46,50.0,180.0,2.0,0.5,1.0,1581.0
19.93,20.0,365.0,1.0,0.5,1.0,1446.1
4.98,5.0,365.0,1.0,0.5,1.0,2121.8
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1724.3
99.3,100.0,7.0,1.0,0.5,1.0,1300.8
9.93,10.0,7.0,1.0,0.5,1.0,1770.6
0.05,10.0,365.0,2.0,0.5,1.0,2102.0
3.57,10.0,180.0,1.0,0.5,1.0,1798.4
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1132.4
4.3,20.0,365.0,2.0,0.5,1.0,2069.4
9.96,10.0,365.0,1.0,0.5,1.0,1474.4
7.33,10.0,365.0,1.0,0.5,1.0,996.0999999000001
84.75,100.0,180.0,1.0,0.5,1.0,1676.1
45.87,50.0,90.0,1.0,0.5,1.0,1284.4
0.92,100.0,180.0,2.0,0.5,1.0,2156.7
4.85,5.0,30.0,1.0,0.5,1.0,1237.0
2.63,5.0,90.0,1.0,0.5,1.0,2510.4
1.08,5.0,365.0,1.0,0.5,1.0,1612.3
0.23,50.0,365.0,2.0,0.5,1.0,1452.4
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1194.2
0.05,5.0,180.0,2.0,0.5,1.0,1260.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1092.3
