0,1,2,3,4,5,6
76.92,100.0,30.0,2.0,0.5,1.0,4356.0
49.91,50.0,180.0,1.0,0.5,1.0,9260.0
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1636.0
45.87,50.0,90.0,1.0,0.5,1.0,1916.0
42.37,50.0,180.0,1.0,0.5,1.0,1371.0
3.57,10.0,180.0,2.0,0.5,1.0,1685.0
8.47,10.0,180.0,2.0,0.5,1.0,920.0
0.23,50.0,365.0,2.0,0.5,1.0,1112.0
9.99,10.0,7.0,1.0,0.5,1.0,2530.0
0.45,100.0,365.0,2.0,0.5,1.0,1915.0
21.51,100.0,365.0,2.0,0.5,1.0,5711.0
26.32,50.0,90.0,2.0,0.5,1.0,3618.0
17.86,50.0,180.0,2.0,0.5,1.0,1656.0
10.53,20.0,90.0,1.0,0.5,1.0,3139.0
1.79,5.0,180.0,2.0,0.5,1.0,4377.0
36.63,50.0,365.0,1.0,0.5,1.0,4982.0
9.17,10.0,90.0,1.0,0.5,1.0,2292.0
4.67,5.0,7.0,1.0,0.5,1.0,1837.0
0.46,50.0,180.0,2.0,0.5,1.0,8378.0
0.02,5.0,365.0,2.0,0.5,1.0,1815.0
1.08,5.0,365.0,2.0,0.5,1.0,1244.0
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1694.0
2.63,50.0,30.0,2.0,0.5,1.0,1559.0
4.24,5.0,180.0,1.0,0.5,1.0,3397.0
18.69,20.0,7.0,2.0,0.5,1.0,2159.0
0.18,10.0,90.0,2.0,0.5,1.0,2154.0
73.26,100.0,365.0,1.0,0.5,1.0,1894.0
99.3,100.0,7.0,1.0,0.5,1.0,1823.0
4.59,5.0,90.0,0.0,0.5,1.0,
49.99,50.0,30.0,0.0,0.5,1.0,
0.09,10.0,180.0,0.0,0.5,1.0,
0.26,5.0,30.0,0.0,0.5,1.0,
2.63,5.0,90.0,0.0,0.5,1.0,
7.33,10.0,365.0,0.0,0.5,1.0,
19.23,100.0,7.0,0.0,0.5,1.0,
7.14,20.0,180.0,0.0,0.5,1.0,
4.99,5.0,90.0,0.0,0.5,1.0,
99.82,100.0,180.0,0.0,0.5,1.0,
84.75,100.0,180.0,0.0,0.5,1.0,
35.71,100.0,180.0,0.0,0.5,1.0,
15.38,20.0,30.0,0.0,0.5,1.0,
0.53,10.0,30.0,0.0,0.5,1.0,
9.350000000000001,10.0,7.0,0.0,0.5,1.0,
0.05,10.0,365.0,0.0,0.5,1.0,
0.92,100.0,180.0,2.0,0.5,1.0,5403.0
4.85,5.0,30.0,1.0,0.5,1.0,2551.0
0.18,20.0,180.0,2.0,0.5,1.0,1587.0
46.730000000000004,50.0,7.0,1.0,0.5,1.0,7767.0
19.99,20.0,7.0,1.0,0.5,1.0,3099.0
