0,1,2,3,4,5,6
0.91,50.0,90.0,2.0,0.5,1.0,1687.0
9.98,10.0,180.0,1.0,0.5,1.0,1426.5
0.96,5.0,7.0,2.0,0.5,1.0,1148.5
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1379.6
4.85,5.0,30.0,1.0,0.5,1.0,1293.4
0.05,10.0,365.0,2.0,0.5,1.0,1899.6
1.08,5.0,365.0,1.0,0.5,1.0,2868.8
49.65,50.0,7.0,1.0,0.5,1.0,1805.6
4.99,5.0,180.0,1.0,0.5,1.0,1292.6
4.67,5.0,7.0,1.0,0.5,1.0,4407.1
10.75,50.0,365.0,2.0,0.5,1.0,3372.0
49.82,50.0,365.0,1.0,0.5,1.0,2044.2
48.54,50.0,30.0,1.0,0.5,1.0,1980.2
21.51,100.0,365.0,2.0,0.5,1.0,1829.6
17.86,50.0,180.0,2.0,0.5,1.0,2269.1
0.45,100.0,365.0,2.0,0.5,1.0,1644.6
9.17,10.0,90.0,1.0,0.5,1.0,1827.8
0.09,10.0,180.0,2.0,0.5,1.0,1132.7
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1307.4
9.99,10.0,7.0,1.0,0.5,1.0,1981.0
99.3,100.0,7.0,1.0,0.5,1.0,1316.9
42.37,50.0,180.0,1.0,0.5,1.0,2124.7
73.26,100.0,365.0,1.0,0.5,1.0,1891.7
16.95,20.0,180.0,1.0,0.5,1.0,2101.0
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1749.7
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1147.5
35.71,100.0,180.0,2.0,0.5,1.0,1915.8
49.99,50.0,7.0,1.0,0.5,1.0,1660.3
4.59,5.0,90.0,1.0,0.5,1.0,1452.6
2.63,5.0,90.0,1.0,0.5,1.0,2652.8
0.26,5.0,30.0,2.0,0.5,1.0,1629.2
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1645.3
19.23,100.0,7.0,2.0,0.5,1.0,1653.0
19.86,20.0,7.0,1.0,0.5,1.0,1900.5
0.23,50.0,365.0,2.0,0.5,1.0,1285.2
