0,1,2,3,4,5,6
4.99,5.0,180.0,1.0,0.5,1.0,3652.7
2.63,5.0,90.0,1.0,0.5,1.0,3069.6
9.99,10.0,30.0,1.0,0.5,1.0,2778.4
4.99,5.0,90.0,1.0,0.5,1.0,1732.7
0.92,100.0,180.0,2.0,0.5,1.0,1914.6
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,4382.2
76.92,100.0,30.0,1.0,0.5,1.0,2878.3
97.09,100.0,30.0,1.0,0.5,1.0,3541.5
35.71,100.0,180.0,2.0,0.5,1.0,4994.2
4.67,5.0,7.0,1.0,0.5,1.0,4528.9
42.37,50.0,180.0,0.0,0.5,1.0,
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2154.1
10.53,20.0,90.0,1.0,0.5,1.0,3482.4
14.65,20.0,365.0,1.0,0.5,1.0,2201.0
10.75,50.0,365.0,2.0,0.5,1.0,2735.2
0.09,5.0,90.0,2.0,0.5,1.0,3023.1
1.05,20.0,30.0,2.0,0.5,1.0,2394.8
7.14,20.0,180.0,1.0,0.5,1.0,2758.8
0.36,20.0,90.0,2.0,0.5,1.0,2558.3
0.23,50.0,365.0,2.0,0.5,1.0,1666.1
73.26,100.0,365.0,1.0,0.5,1.0,1623.3
3.66,5.0,365.0,1.0,0.5,1.0,1718.0
16.95,20.0,180.0,1.0,0.5,1.0,1832.3
4.24,5.0,180.0,1.0,0.5,1.0,1537.9
0.09,20.0,365.0,2.0,0.5,1.0,1397.9
8.47,10.0,180.0,1.0,0.5,1.0,2173.8
21.51,100.0,365.0,1.0,0.5,1.0,2297.8
0.26,5.0,30.0,2.0,0.5,1.0,1733.7
4.3,20.0,365.0,1.0,0.5,1.0,2725.4
18.69,20.0,7.0,1.0,0.5,1.0,2264.2
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1554.2
9.99,10.0,90.0,1.0,0.5,1.0,1476.6
15.38,20.0,30.0,1.0,0.5,1.0,1616.8
4.99,5.0,30.0,1.0,0.5,1.0,1839.9
17.86,50.0,180.0,1.0,0.5,1.0,2597.4
49.99,50.0,7.0,1.0,0.5,1.0,1339.1
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1437.4
0.53,10.0,30.0,2.0,0.5,1.0,1493.5
9.99,10.0,7.0,1.0,0.5,1.0,1440.8
0.05,10.0,365.0,2.0,0.5,1.0,1564.3
19.99,20.0,30.0,1.0,0.5,1.0,1310.8
36.63,50.0,365.0,1.0,0.5,1.0,1202.2
1.82,100.0,90.0,2.0,0.5,1.0,1811.6
0.96,5.0,7.0,2.0,0.5,1.0,2323.0
1.08,5.0,365.0,1.0,0.5,1.0,2548.9
48.54,50.0,30.0,1.0,0.5,1.0,1378.3
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1349.8
0.46,50.0,180.0,2.0,0.5,1.0,1324.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1490.2
4.99,5.0,7.0,1.0,0.5,1.0,1296.8
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1800.4
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1240.2
19.86,20.0,7.0,1.0,0.5,1.0,1364.8
19.23,100.0,7.0,1.0,0.5,1.0,2006.4
9.98,10.0,180.0,1.0,0.5,1.0,2028.7
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1019.7
0.18,10.0,90.0,2.0,0.5,1.0,1060.7
26.32,50.0,90.0,1.0,0.5,1.0,1581.8
99.3,100.0,7.0,1.0,0.5,1.0,1009.2
99.64,100.0,365.0,1.0,0.5,1.0,997.4
0.05,5.0,180.0,2.0,0.5,1.0,1330.9
4.85,5.0,30.0,1.0,0.5,1.0,1421.0
0.91,50.0,90.0,2.0,0.5,1.0,1188.4
9.96,10.0,365.0,1.0,0.5,1.0,1156.3
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1202.8
2.15,10.0,365.0,1.0,0.5,1.0,2437.0
91.74000000000001,100.0,90.0,1.0,0.5,1.0,987.3
19.93,20.0,365.0,1.0,0.5,1.0,1028.8
38.46,50.0,30.0,1.0,0.5,1.0,1358.1
1.92,10.0,7.0,2.0,0.5,1.0,2637.2
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1594.9
99.97,100.0,30.0,1.0,0.5,1.0,1134.2
84.75,100.0,180.0,1.0,0.5,1.0,1069.4
0.09,10.0,180.0,2.0,0.5,1.0,1454.8
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1810.5
0.02,5.0,365.0,2.0,0.5,1.0,1239.7
7.33,10.0,365.0,1.0,0.5,1.0,3225.8
1.79,5.0,180.0,1.0,0.5,1.0,2048.8
0.45,100.0,365.0,2.0,0.5,1.0,1699.1
5.26,10.0,90.0,1.0,0.5,1.0,1910.5
19.99,20.0,7.0,1.0,0.5,1.0,1115.8
9.62,50.0,7.0,1.0,0.5,1.0,1014.6
9.17,10.0,90.0,1.0,0.5,1.0,1026.2
45.87,50.0,90.0,1.0,0.5,1.0,1065.6
49.65,50.0,7.0,1.0,0.5,1.0,908.6
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1170.1
49.99,50.0,30.0,1.0,0.5,1.0,794.1
99.82,100.0,180.0,1.0,0.5,1.0,2228.5
49.82,50.0,365.0,1.0,0.5,1.0,838.7
3.57,10.0,180.0,1.0,0.5,1.0,1861.2
4.59,5.0,90.0,1.0,0.5,1.0,1169.7
18.35,20.0,90.0,1.0,0.5,1.0,1295.7
2.63,50.0,30.0,2.0,0.5,1.0,2238.9
9.93,10.0,7.0,1.0,0.5,1.0,1493.4
0.18,20.0,180.0,2.0,0.5,1.0,1262.5
4.98,5.0,365.0,1.0,0.5,1.0,1068.4
52.63,100.0,90.0,1.0,0.5,1.0,1521.1
49.96,50.0,90.0,1.0,0.5,1.0,1225.7
5.26,100.0,30.0,2.0,0.5,1.0,2717.1
49.91,50.0,180.0,1.0,0.5,1.0,1019.5
