0,1,2,3,4,5,6
4.24,5.0,180.0,1.0,0.5,1.0,2282.5
93.46000000000001,100.0,7.0,1.0,0.5,1.0,2020.0
1.08,5.0,365.0,1.0,0.5,1.0,2264.0
26.32,50.0,90.0,1.0,0.5,1.0,1949.4
7.33,10.0,365.0,1.0,0.5,1.0,1899.5
0.46,50.0,180.0,2.0,0.5,1.0,1963.8
99.82,100.0,180.0,1.0,0.5,1.0,1975.1
21.51,100.0,365.0,1.0,0.5,1.0,2552.2
0.05,5.0,180.0,2.0,0.5,1.0,2150.5
0.05,10.0,365.0,2.0,0.5,1.0,1964.7
76.92,100.0,30.0,1.0,0.5,1.0,2859.8
99.64,100.0,365.0,1.0,0.5,1.0,1710.7
10.75,50.0,365.0,1.0,0.5,1.0,2024.0
97.09,100.0,30.0,1.0,0.5,1.0,2158.3
49.99,50.0,30.0,1.0,0.5,1.0,1946.4
9.17,10.0,90.0,2.0,0.5,1.0,3320.7
3.57,10.0,180.0,1.0,0.5,1.0,1522.4
4.99,5.0,7.0,2.0,0.5,1.0,2600.6
0.96,5.0,7.0,2.0,0.5,1.0,1438.5
0.09,5.0,90.0,2.0,0.5,1.0,2008.6
0.09,10.0,180.0,2.0,0.5,1.0,1319.6
1.79,5.0,180.0,1.0,0.5,1.0,1945.2
4.99,5.0,90.0,1.0,0.5,1.0,1667.9
2.15,10.0,365.0,1.0,0.5,1.0,2053.5
4.98,5.0,365.0,1.0,0.5,1.0,1774.4
18.69,20.0,7.0,1.0,0.5,1.0,2127.1
19.23,100.0,7.0,2.0,0.5,1.0,2051.9
9.99,10.0,90.0,1.0,0.5,1.0,1758.3
1.05,20.0,30.0,2.0,0.5,1.0,1398.7
9.62,50.0,7.0,2.0,0.5,1.0,1720.4
1.82,100.0,90.0,2.0,0.5,1.0,1602.1
49.96,50.0,90.0,1.0,0.5,1.0,1343.6
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1825.7
0.53,10.0,30.0,2.0,0.5,1.0,1417.2
8.47,10.0,180.0,1.0,0.5,1.0,2026.1
18.35,20.0,90.0,1.0,0.5,1.0,1696.8
0.36,20.0,90.0,2.0,0.5,1.0,1440.9
2.63,50.0,30.0,2.0,0.5,1.0,1862.5
36.63,50.0,365.0,1.0,0.5,1.0,1535.2
4.85,5.0,30.0,1.0,0.5,1.0,2119.2
0.91,50.0,90.0,2.0,0.5,1.0,1755.6
3.66,5.0,365.0,1.0,0.5,1.0,1990.6
9.99,10.0,7.0,1.0,0.5,1.0,1401.7
19.93,20.0,365.0,1.0,0.5,1.0,1830.1
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2259.7
9.96,10.0,365.0,1.0,0.5,1.0,1942.1
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1563.3
5.26,10.0,90.0,2.0,0.5,1.0,2973.9
48.54,50.0,30.0,1.0,0.5,1.0,1705.6
4.99,5.0,180.0,1.0,0.5,1.0,1591.2
45.87,50.0,90.0,1.0,0.5,1.0,2272.7
0.45,100.0,365.0,1.0,0.5,1.0,1178.3
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1893.2
0.18,10.0,90.0,2.0,0.5,1.0,2212.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1967.8
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1557.2
19.99,20.0,7.0,1.0,0.5,1.0,1743.1
99.3,100.0,7.0,1.0,0.5,1.0,1695.4
4.59,5.0,90.0,1.0,0.5,1.0,1638.0
19.86,20.0,7.0,1.0,0.5,1.0,1497.5
