0,1,2,3,4,5,6
4.99,5.0,90.0,1.0,0.5,1.0,2733.0
1.79,5.0,180.0,1.0,0.5,1.0,2386.0
0.36,20.0,90.0,2.0,0.5,1.0,3732.0
0.23,50.0,365.0,2.0,0.5,1.0,2584.0
9.93,10.0,7.0,1.0,0.5,1.0,2945.0
4.24,5.0,180.0,1.0,0.5,1.0,3870.0
49.65,50.0,7.0,1.0,0.5,1.0,1726.0
7.33,10.0,365.0,1.0,0.5,1.0,2842.0
0.18,20.0,180.0,2.0,0.5,1.0,3316.0
14.65,20.0,365.0,1.0,0.5,1.0,1335.0
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1561.0
0.09,5.0,90.0,2.0,0.5,1.0,2889.0
19.99,20.0,7.0,1.0,0.5,1.0,2742.0
18.69,20.0,7.0,2.0,0.5,1.0,2383.0
9.99,10.0,7.0,1.0,0.5,1.0,1978.0
17.86,50.0,180.0,1.0,0.5,1.0,1895.0
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,3999.0
3.57,10.0,180.0,2.0,0.5,1.0,2360.0
4.67,5.0,7.0,1.0,0.5,1.0,1775.0
49.91,50.0,180.0,1.0,0.5,1.0,2133.0
49.99,50.0,30.0,1.0,0.5,1.0,2642.0
1.92,10.0,7.0,2.0,0.5,1.0,2226.0
76.92,100.0,30.0,2.0,0.5,1.0,4611.0
4.3,20.0,365.0,1.0,0.5,1.0,2739.0
4.99,5.0,180.0,1.0,0.5,1.0,1516.0
0.96,5.0,7.0,2.0,0.5,1.0,2271.0
15.38,20.0,30.0,2.0,0.5,1.0,2839.0
38.46,50.0,30.0,2.0,0.5,1.0,1730.0
10.53,20.0,90.0,1.0,0.5,1.0,3143.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2293.0
9.99,10.0,90.0,2.0,0.5,1.0,1585.0
5.26,10.0,90.0,2.0,0.5,1.0,3080.0
16.95,20.0,180.0,1.0,0.5,1.0,4419.0
19.93,20.0,365.0,1.0,0.5,1.0,1585.0
8.47,10.0,180.0,1.0,0.5,1.0,2431.0
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,4849.0
10.75,50.0,365.0,2.0,0.5,1.0,3495.0
9.96,10.0,365.0,1.0,0.5,1.0,2300.0
1.05,20.0,30.0,1.0,0.5,1.0,3789.0
5.26,100.0,30.0,2.0,0.5,1.0,2309.0
73.26,100.0,365.0,1.0,0.5,1.0,3284.0
49.96,50.0,90.0,1.0,0.5,1.0,3283.0
2.63,50.0,30.0,2.0,0.5,1.0,2338.0
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2135.0
9.62,50.0,7.0,2.0,0.5,1.0,2549.0
48.54,50.0,30.0,1.0,0.5,1.0,3147.0
0.05,10.0,365.0,2.0,0.5,1.0,3653.0
84.75,100.0,180.0,1.0,0.5,1.0,3514.0
19.23,100.0,7.0,2.0,0.5,1.0,5486.0
2.63,5.0,90.0,1.0,0.5,1.0,6454.0
0.02,5.0,365.0,2.0,0.5,1.0,2823.0
9.17,10.0,90.0,1.0,0.5,1.0,2655.0
21.51,100.0,365.0,2.0,0.5,1.0,2517.0
4.85,5.0,30.0,1.0,0.5,1.0,2067.0
0.92,100.0,180.0,2.0,0.5,1.0,2393.0
0.05,5.0,180.0,2.0,0.5,1.0,2879.0
9.99,10.0,30.0,1.0,0.5,1.0,5761.0
18.35,20.0,90.0,1.0,0.5,1.0,7614.0
0.18,10.0,90.0,2.0,0.5,1.0,2023.0
99.82,100.0,180.0,1.0,0.5,1.0,3161.0
49.99,50.0,7.0,1.0,0.5,1.0,1765.0
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2711.0
4.99,5.0,7.0,1.0,0.5,1.0,1753.0
4.98,5.0,365.0,1.0,0.5,1.0,1291.0
0.09,10.0,180.0,2.0,0.5,1.0,2452.0
35.71,100.0,180.0,2.0,0.5,1.0,1922.0
19.86,20.0,7.0,2.0,0.5,1.0,2058.0
36.63,50.0,365.0,1.0,0.5,1.0,6321.0
42.37,50.0,180.0,1.0,0.5,1.0,2656.0
4.99,5.0,30.0,1.0,0.5,1.0,4138.0
0.46,50.0,180.0,2.0,0.5,1.0,1378.0
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2723.0
3.66,5.0,365.0,1.0,0.5,1.0,2157.0
2.15,10.0,365.0,2.0,0.5,1.0,4980.0
46.730000000000004,50.0,7.0,1.0,0.5,1.0,3226.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,3100.0
99.3,100.0,7.0,1.0,0.5,1.0,2463.0
26.32,50.0,90.0,2.0,0.5,1.0,5994.0
0.45,100.0,365.0,2.0,0.5,1.0,1990.0
99.64,100.0,365.0,1.0,0.5,1.0,3418.0
97.09,100.0,30.0,1.0,0.5,1.0,2842.0
99.99000000000001,100.0,7.0,1.0,0.5,1.0,4442.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1479.0
49.82,50.0,365.0,1.0,0.5,1.0,3113.0
99.97,100.0,30.0,1.0,0.5,1.0,3015.0
45.87,50.0,90.0,1.0,0.5,1.0,2768.0
1.08,5.0,365.0,1.0,0.5,1.0,4317.0
0.26,5.0,30.0,2.0,0.5,1.0,1875.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,3272.0
0.09,20.0,365.0,2.0,0.5,1.0,3418.0
9.98,10.0,180.0,0.0,0.5,1.0,
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1761.0
19.99,20.0,30.0,1.0,0.5,1.0,1984.0
0.53,10.0,30.0,2.0,0.5,1.0,1775.0
1.82,100.0,90.0,2.0,0.5,1.0,1587.0
7.14,20.0,180.0,2.0,0.5,1.0,2843.0
4.59,5.0,90.0,1.0,0.5,1.0,2216.0
0.91,50.0,90.0,2.0,0.5,1.0,2765.0
93.46000000000001,100.0,7.0,1.0,0.5,1.0,2734.0
52.63,100.0,90.0,2.0,0.5,1.0,2362.0
