0,1,2,3,4,5,6
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2133.8
9.99,10.0,90.0,1.0,0.5,1.0,1771.8
0.46,50.0,180.0,2.0,0.5,1.0,2316.8
1.82,100.0,90.0,2.0,0.5,1.0,1747.5
49.99,50.0,30.0,1.0,0.5,1.0,2925.0
36.63,50.0,365.0,2.0,0.5,1.0,2948.3
0.23,50.0,365.0,2.0,0.5,1.0,1539.7
0.18,10.0,90.0,2.0,0.5,1.0,2059.5
4.98,5.0,365.0,1.0,0.5,1.0,1612.5
48.54,50.0,30.0,1.0,0.5,1.0,1731.1
4.59,5.0,90.0,1.0,0.5,1.0,2516.0
7.14,20.0,180.0,2.0,0.5,1.0,3019.8
4.67,5.0,7.0,1.0,0.5,1.0,1971.1
5.26,100.0,30.0,2.0,0.5,1.0,1580.3
35.71,100.0,180.0,2.0,0.5,1.0,1764.8
15.38,20.0,30.0,2.0,0.5,1.0,2571.7
19.99,20.0,7.0,1.0,0.5,1.0,2475.4
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2620.3
9.99,10.0,30.0,1.0,0.5,1.0,1827.9
4.24,5.0,180.0,1.0,0.5,1.0,1819.4
2.63,5.0,90.0,2.0,0.5,1.0,4052.3
9.93,10.0,7.0,2.0,0.5,1.0,1900.0
7.33,10.0,365.0,1.0,0.5,1.0,2139.9
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1963.9
76.92,100.0,30.0,2.0,0.5,1.0,2355.4
99.3,100.0,7.0,1.0,0.5,1.0,3220.2
0.36,20.0,90.0,2.0,0.5,1.0,1851.8
9.17,10.0,90.0,1.0,0.5,1.0,1707.8
18.69,20.0,7.0,2.0,0.5,1.0,2243.4
14.65,20.0,365.0,1.0,0.5,1.0,2244.3
0.09,20.0,365.0,2.0,0.5,1.0,2971.9
93.46000000000001,100.0,7.0,2.0,0.5,1.0,2923.7
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1587.6
18.35,20.0,90.0,1.0,0.5,1.0,2108.4
97.09,100.0,30.0,2.0,0.5,1.0,3259.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1891.8
0.91,50.0,90.0,2.0,0.5,1.0,1019.4
49.82,50.0,365.0,1.0,0.5,1.0,1956.3
21.51,100.0,365.0,2.0,0.5,1.0,2226.4
9.98,10.0,180.0,1.0,0.5,1.0,1771.8
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2187.6
4.99,5.0,30.0,1.0,0.5,1.0,1852.5
2.63,50.0,30.0,2.0,0.5,1.0,1900.2
0.05,5.0,180.0,2.0,0.5,1.0,2579.8
0.53,10.0,30.0,2.0,0.5,1.0,1971.8
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2659.3
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1772.2
9.96,10.0,365.0,1.0,0.5,1.0,3876.0
52.63,100.0,90.0,2.0,0.5,1.0,1923.6
0.02,5.0,365.0,2.0,0.5,1.0,924.5
19.99,20.0,30.0,1.0,0.5,1.0,2965.6
4.3,20.0,365.0,2.0,0.5,1.0,2276.3
99.64,100.0,365.0,1.0,0.5,1.0,1212.2
38.46,50.0,30.0,2.0,0.5,1.0,1339.8
17.86,50.0,180.0,2.0,0.5,1.0,1780.3
0.92,100.0,180.0,2.0,0.5,1.0,836.3
4.99,5.0,90.0,1.0,0.5,1.0,1516.4
0.26,5.0,30.0,2.0,0.5,1.0,1060.8
1.05,20.0,30.0,2.0,0.5,1.0,1643.9
0.09,10.0,180.0,2.0,0.5,1.0,1619.9
45.87,50.0,90.0,1.0,0.5,1.0,1259.2
0.45,100.0,365.0,2.0,0.5,1.0,1444.9
42.37,50.0,180.0,1.0,0.5,1.0,1668.3
84.75,100.0,180.0,1.0,0.5,1.0,2819.9
3.57,10.0,180.0,2.0,0.5,1.0,1426.5
1.08,5.0,365.0,2.0,0.5,1.0,1788.4
4.99,5.0,7.0,1.0,0.5,1.0,1964.2
49.91,50.0,180.0,1.0,0.5,1.0,1467.8
