0,1,2,3,4,5,6
4.85,5.0,30.0,1.0,0.5,1.0,2459.1
16.95,20.0,180.0,1.0,0.5,1.0,2993.3
9.99,10.0,30.0,1.0,0.5,1.0,1869.1
0.26,5.0,30.0,2.0,0.5,1.0,1823.9
76.92,100.0,30.0,2.0,0.5,1.0,2445.4
4.3,20.0,365.0,2.0,0.5,1.0,2892.9
0.53,10.0,30.0,2.0,0.5,1.0,2112.6
36.63,50.0,365.0,1.0,0.5,1.0,2871.5
4.59,5.0,90.0,1.0,0.5,1.0,2847.8
0.18,10.0,90.0,2.0,0.5,1.0,2614.8
10.53,20.0,90.0,1.0,0.5,1.0,4149.8
0.05,10.0,365.0,2.0,0.5,1.0,2884.7
1.92,10.0,7.0,2.0,0.5,1.0,2812.3
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2887.7
0.09,10.0,180.0,2.0,0.5,1.0,2787.5
5.26,100.0,30.0,2.0,0.5,1.0,2707.1
0.09,20.0,365.0,2.0,0.5,1.0,2283.9
45.87,50.0,90.0,1.0,0.5,1.0,2619.4
10.75,50.0,365.0,2.0,0.5,1.0,3142.1
4.99,5.0,180.0,1.0,0.5,1.0,2402.7
14.65,20.0,365.0,1.0,0.5,1.0,2758.3
9.93,10.0,7.0,1.0,0.5,1.0,2535.9
0.45,100.0,365.0,2.0,0.5,1.0,1760.0
0.96,5.0,7.0,2.0,0.5,1.0,1969.3
19.99,20.0,7.0,1.0,0.5,1.0,1758.9
2.63,5.0,90.0,1.0,0.5,1.0,3893.1
15.38,20.0,30.0,1.0,0.5,1.0,3184.5
7.33,10.0,365.0,1.0,0.5,1.0,2177.0
0.05,5.0,180.0,2.0,0.5,1.0,2003.0
7.14,20.0,180.0,2.0,0.5,1.0,2072.5
0.23,50.0,365.0,2.0,0.5,1.0,1659.9
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1875.9
99.97,100.0,30.0,1.0,0.5,1.0,1883.0
3.57,10.0,180.0,2.0,0.5,1.0,1836.4
9.96,10.0,365.0,1.0,0.5,1.0,1749.0
17.86,50.0,180.0,2.0,0.5,1.0,2334.2
