0,1,2,3,4,5,6
7.14,20.0,180.0,2.0,0.5,1.0,2348.2
7.33,10.0,365.0,1.0,0.5,1.0,1552.1
0.05,10.0,365.0,2.0,0.5,1.0,1383.1
3.66,5.0,365.0,1.0,0.5,1.0,1706.0
0.92,100.0,180.0,2.0,0.5,1.0,1905.9
26.32,50.0,90.0,1.0,0.5,1.0,1770.7
21.51,100.0,365.0,1.0,0.5,1.0,1344.7
19.23,100.0,7.0,2.0,0.5,1.0,1145.2
19.99,20.0,30.0,1.0,0.5,1.0,1841.6
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1297.9
49.65,50.0,7.0,1.0,0.5,1.0,1502.8
0.91,50.0,90.0,1.0,0.5,1.0,1137.2
97.09,100.0,30.0,1.0,0.5,1.0,1546.7
99.97,100.0,30.0,1.0,0.5,1.0,1441.1
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1538.3
52.63,100.0,90.0,2.0,0.5,1.0,2424.6
10.53,20.0,90.0,1.0,0.5,1.0,1752.5
0.36,20.0,90.0,2.0,0.5,1.0,929.7
4.67,5.0,7.0,2.0,0.5,1.0,1722.8
14.65,20.0,365.0,1.0,0.5,1.0,1393.7
0.09,10.0,180.0,2.0,0.5,1.0,1466.9
0.96,5.0,7.0,2.0,0.5,1.0,1030.9
76.92,100.0,30.0,1.0,0.5,1.0,1730.8
19.99,20.0,7.0,1.0,0.5,1.0,1227.9
9.62,50.0,7.0,2.0,0.5,1.0,1216.8
4.98,5.0,365.0,1.0,0.5,1.0,1929.6
15.38,20.0,30.0,1.0,0.5,1.0,1984.5
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1554.6
45.87,50.0,90.0,1.0,0.5,1.0,1449.8
4.59,5.0,90.0,1.0,0.5,1.0,1833.4
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2081.6
5.26,10.0,90.0,1.0,0.5,1.0,2080.8
9.98,10.0,180.0,1.0,0.5,1.0,1874.4
1.05,20.0,30.0,2.0,0.5,1.0,1370.4
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1161.1
19.93,20.0,365.0,1.0,0.5,1.0,2162.7
18.35,20.0,90.0,1.0,0.5,1.0,1603.6
49.99,50.0,30.0,1.0,0.5,1.0,1847.3
48.54,50.0,30.0,0.0,0.5,1.0,
17.86,50.0,180.0,1.0,0.5,1.0,2611.3
9.93,10.0,7.0,2.0,0.5,1.0,4251.4
3.57,10.0,180.0,2.0,0.5,1.0,2601.2
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1599.9
1.08,5.0,365.0,1.0,0.5,1.0,1378.0
99.3,100.0,7.0,1.0,0.5,1.0,1329.0
36.63,50.0,365.0,1.0,0.5,1.0,1826.1
10.75,50.0,365.0,2.0,0.5,1.0,3194.2
0.09,20.0,365.0,1.0,0.5,1.0,1597.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1506.0
84.75,100.0,180.0,1.0,0.5,1.0,1522.5
9.96,10.0,365.0,1.0,0.5,1.0,1779.7
0.02,5.0,365.0,2.0,0.5,1.0,1490.8
1.82,100.0,90.0,2.0,0.5,1.0,1763.2
0.45,100.0,365.0,2.0,0.5,1.0,1666.9
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1921.3
0.46,50.0,180.0,2.0,0.5,1.0,1841.8
9.99,10.0,90.0,1.0,0.5,1.0,1345.9
0.09,5.0,90.0,1.0,0.5,1.0,1627.2
4.99,5.0,90.0,2.0,0.5,1.0,2042.7
49.91,50.0,180.0,1.0,0.5,1.0,1720.3
0.05,5.0,180.0,2.0,0.5,1.0,1496.7
9.17,10.0,90.0,1.0,0.5,1.0,1523.4
4.99,5.0,180.0,1.0,0.5,1.0,1114.5
4.99,5.0,30.0,1.0,0.5,1.0,1688.2
4.3,20.0,365.0,2.0,0.5,1.0,1594.6
9.350000000000001,10.0,7.0,2.0,0.5,1.0,2177.3
0.18,20.0,180.0,2.0,0.5,1.0,1276.2
2.63,5.0,90.0,2.0,0.5,1.0,1801.4
2.63,50.0,30.0,2.0,0.5,1.0,1458.4
0.18,10.0,90.0,2.0,0.5,1.0,1807.7
73.26,100.0,365.0,1.0,0.5,1.0,1747.8
4.99,5.0,7.0,2.0,0.5,1.0,1802.8
49.99,50.0,7.0,1.0,0.5,1.0,1716.4
42.37,50.0,180.0,1.0,0.5,1.0,1711.8
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1668.8
1.92,10.0,7.0,2.0,0.5,1.0,1495.6
16.95,20.0,180.0,1.0,0.5,1.0,2096.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1800.0
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2460.2
99.64,100.0,365.0,1.0,0.5,1.0,1450.1
9.99,10.0,7.0,1.0,0.5,1.0,1019.0
1.79,5.0,180.0,1.0,0.5,1.0,2073.1
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1970.0
5.26,100.0,30.0,2.0,0.5,1.0,1299.6
4.85,5.0,30.0,1.0,0.5,1.0,2008.9
4.24,5.0,180.0,1.0,0.5,1.0,1423.3
99.82,100.0,180.0,1.0,0.5,1.0,1284.3
0.53,10.0,30.0,2.0,0.5,1.0,2672.9
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1216.7
18.69,20.0,7.0,1.0,0.5,1.0,1488.3
49.96,50.0,90.0,1.0,0.5,1.0,1042.9
8.47,10.0,180.0,1.0,0.5,1.0,1432.9
19.86,20.0,7.0,1.0,0.5,1.0,1266.1
0.26,5.0,30.0,2.0,0.5,1.0,1040.9
0.23,50.0,365.0,2.0,0.5,1.0,1601.2
49.82,50.0,365.0,1.0,0.5,1.0,1634.0
2.15,10.0,365.0,2.0,0.5,1.0,1790.3
38.46,50.0,30.0,1.0,0.5,1.0,1785.0
9.99,10.0,30.0,1.0,0.5,1.0,1704.3
35.71,100.0,180.0,1.0,0.5,1.0,1240.4
