0,1,2,3,4,5,6
14.65,20.0,365.0,1.0,0.5,1.0,2550.9
0.09,5.0,90.0,2.0,0.5,1.0,2149.9
0.46,50.0,180.0,2.0,0.5,1.0,1779.6
0.09,10.0,180.0,2.0,0.5,1.0,1973.1
42.37,50.0,180.0,1.0,0.5,1.0,2638.9
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1527.3
49.99,50.0,7.0,1.0,0.5,1.0,1898.1
99.99000000000001,100.0,7.0,1.0,0.5,1.0,2190.7
0.05,5.0,180.0,2.0,0.5,1.0,2110.9
49.82,50.0,365.0,1.0,0.5,1.0,1624.8
15.38,20.0,30.0,2.0,0.5,1.0,2540.7
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1379.4
1.08,5.0,365.0,1.0,0.5,1.0,2397.4
97.09,100.0,30.0,1.0,0.5,1.0,1951.9
0.96,5.0,7.0,2.0,0.5,1.0,1666.0
3.66,5.0,365.0,1.0,0.5,1.0,1474.8
10.53,20.0,90.0,2.0,0.5,1.0,3363.6
99.64,100.0,365.0,1.0,0.5,1.0,1174.6
4.99,5.0,180.0,1.0,0.5,1.0,1568.3
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2089.1
0.09,20.0,365.0,2.0,0.5,1.0,1205.2
45.87,50.0,90.0,1.0,0.5,1.0,1847.2
17.86,50.0,180.0,2.0,0.5,1.0,2179.4
49.65,50.0,7.0,1.0,0.5,1.0,1471.0
10.75,50.0,365.0,2.0,0.5,1.0,1923.7
1.05,20.0,30.0,2.0,0.5,1.0,1801.5
1.92,10.0,7.0,2.0,0.5,1.0,1433.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1370.3
35.71,100.0,180.0,2.0,0.5,1.0,1517.9
49.91,50.0,180.0,1.0,0.5,1.0,1405.1
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2211.2
0.05,10.0,365.0,2.0,0.5,1.0,2380.2
0.26,5.0,30.0,2.0,0.5,1.0,1525.5
5.26,100.0,30.0,2.0,0.5,1.0,1685.2
9.99,10.0,90.0,1.0,0.5,1.0,2090.5
49.96,50.0,90.0,1.0,0.5,1.0,2054.3
3.57,10.0,180.0,2.0,0.5,1.0,1679.7
8.47,10.0,180.0,1.0,0.5,1.0,1660.4
0.45,100.0,365.0,2.0,0.5,1.0,1230.9
0.53,10.0,30.0,2.0,0.5,1.0,1636.3
0.23,50.0,365.0,2.0,0.5,1.0,1154.3
9.17,10.0,90.0,1.0,0.5,1.0,1955.0
0.18,20.0,180.0,2.0,0.5,1.0,1132.0
4.67,5.0,7.0,1.0,0.5,1.0,1318.8
0.02,5.0,365.0,2.0,0.5,1.0,1183.1
19.99,20.0,7.0,1.0,0.5,1.0,1234.9
2.15,10.0,365.0,2.0,0.5,1.0,2915.1
16.95,20.0,180.0,1.0,0.5,1.0,1905.3
9.93,10.0,7.0,1.0,0.5,1.0,1279.0
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1793.8
84.75,100.0,180.0,1.0,0.5,1.0,1553.6
4.85,5.0,30.0,1.0,0.5,1.0,1400.1
38.46,50.0,30.0,2.0,0.5,1.0,2704.1
18.35,20.0,90.0,1.0,0.5,1.0,1710.2
4.3,20.0,365.0,2.0,0.5,1.0,1525.4
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1724.6
7.33,10.0,365.0,1.0,0.5,1.0,1629.9
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1842.0
48.54,50.0,30.0,1.0,0.5,1.0,1569.7
99.3,100.0,7.0,1.0,0.5,1.0,2230.9
26.32,50.0,90.0,2.0,0.5,1.0,1794.0
19.23,100.0,7.0,2.0,0.5,1.0,2170.2
19.93,20.0,365.0,1.0,0.5,1.0,1782.9
19.86,20.0,7.0,1.0,0.5,1.0,2685.1
99.82,100.0,180.0,1.0,0.5,1.0,2290.4
4.99,5.0,7.0,1.0,0.5,1.0,1708.1
19.99,20.0,30.0,1.0,0.5,1.0,1218.8
21.51,100.0,365.0,2.0,0.5,1.0,1199.3
73.26,100.0,365.0,2.0,0.5,1.0,1086.5
4.59,5.0,90.0,1.0,0.5,1.0,1406.9
9.62,50.0,7.0,2.0,0.5,1.0,1583.0
36.63,50.0,365.0,1.0,0.5,1.0,1725.2
7.14,20.0,180.0,2.0,0.5,1.0,3358.3
18.69,20.0,7.0,2.0,0.5,1.0,2465.3
4.98,5.0,365.0,2.0,0.5,1.0,1171.1
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1920.8
0.18,10.0,90.0,2.0,0.5,1.0,1439.0
2.63,50.0,30.0,2.0,0.5,1.0,1552.5
2.63,5.0,90.0,1.0,0.5,1.0,2097.2
76.92,100.0,30.0,2.0,0.5,1.0,2310.8
49.99,50.0,30.0,1.0,0.5,1.0,1947.9
0.92,100.0,180.0,2.0,0.5,1.0,1472.0
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1782.3
1.79,5.0,180.0,1.0,0.5,1.0,2816.5
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2511.2
4.99,5.0,30.0,1.0,0.5,1.0,1044.0
4.24,5.0,180.0,1.0,0.5,1.0,1355.4
0.91,50.0,90.0,2.0,0.5,1.0,1188.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1292.1
4.99,5.0,90.0,1.0,0.5,1.0,1104.3
1.82,100.0,90.0,2.0,0.5,1.0,1795.6
99.97,100.0,30.0,1.0,0.5,1.0,1394.6
5.26,10.0,90.0,1.0,0.5,1.0,1808.8
9.96,10.0,365.0,1.0,0.5,1.0,1954.8
9.99,10.0,30.0,1.0,0.5,1.0,1211.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1602.3
0.36,20.0,90.0,2.0,0.5,1.0,1114.2
9.98,10.0,180.0,1.0,0.5,1.0,1433.1
9.99,10.0,7.0,1.0,0.5,1.0,1483.1
52.63,100.0,90.0,2.0,0.5,1.0,1277.7
