0,1,2,3,4,5,6
3.57,10.0,180.0,2.0,0.5,1.0,3047.5
18.69,20.0,7.0,1.0,0.5,1.0,4389.7
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1984.3
7.14,20.0,180.0,1.0,0.5,1.0,2279.3
1.79,5.0,180.0,2.0,0.5,1.0,2949.8
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1652.0
84.75,100.0,180.0,2.0,0.5,1.0,2508.9
8.47,10.0,180.0,1.0,0.5,1.0,2884.9
10.53,20.0,90.0,2.0,0.5,1.0,2060.6
0.09,5.0,90.0,2.0,0.5,1.0,2516.4
0.18,20.0,180.0,2.0,0.5,1.0,2003.0
0.05,10.0,365.0,2.0,0.5,1.0,4565.7
4.85,5.0,30.0,1.0,0.5,1.0,3389.5
4.3,20.0,365.0,2.0,0.5,1.0,2555.8
4.59,5.0,90.0,1.0,0.5,1.0,1685.3
97.09,100.0,30.0,2.0,0.5,1.0,1677.2
1.08,5.0,365.0,1.0,0.5,1.0,2564.1
19.23,100.0,7.0,2.0,0.5,1.0,2461.7
38.46,50.0,30.0,2.0,0.5,1.0,1564.0
36.63,50.0,365.0,1.0,0.5,1.0,2140.5
10.75,50.0,365.0,2.0,0.5,1.0,1900.4
91.74000000000001,100.0,90.0,2.0,0.5,1.0,1342.1
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2500.9
0.92,100.0,180.0,2.0,0.5,1.0,1508.9
49.96,50.0,90.0,1.0,0.5,1.0,1933.2
0.23,50.0,365.0,2.0,0.5,1.0,1533.0
1.05,20.0,30.0,2.0,0.5,1.0,1341.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1365.4
19.99,20.0,30.0,1.0,0.5,1.0,1348.3
9.17,10.0,90.0,1.0,0.5,1.0,1604.0
4.67,5.0,7.0,2.0,0.5,1.0,2603.7
52.63,100.0,90.0,2.0,0.5,1.0,1404.6
4.99,5.0,30.0,1.0,0.5,1.0,2678.0
49.91,50.0,180.0,1.0,0.5,1.0,2327.7
1.92,10.0,7.0,2.0,0.5,1.0,1948.9
49.99,50.0,7.0,1.0,0.5,1.0,1461.0
0.18,10.0,90.0,2.0,0.5,1.0,1740.9
0.53,10.0,30.0,2.0,0.5,1.0,1643.3
5.26,100.0,30.0,2.0,0.5,1.0,1975.8
26.32,50.0,90.0,2.0,0.5,1.0,1963.9
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1939.8
0.05,5.0,180.0,2.0,0.5,1.0,1475.1
15.38,20.0,30.0,2.0,0.5,1.0,1413.0
9.99,10.0,30.0,1.0,0.5,1.0,1508.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1957.3
9.93,10.0,7.0,1.0,0.5,1.0,1500.7
73.26,100.0,365.0,1.0,0.5,1.0,2652.2
99.64,100.0,365.0,1.0,0.5,1.0,1788.1
49.99,50.0,30.0,1.0,0.5,1.0,1581.9
4.24,5.0,180.0,1.0,0.5,1.0,3117.7
93.46000000000001,100.0,7.0,2.0,0.5,1.0,4680.0
0.46,50.0,180.0,2.0,0.5,1.0,1723.5
