0,1,2,3,4,5,6
4.3,20.0,365.0,2.0,0.5,1.0,2531.94
52.63,100.0,90.0,2.0,0.5,1.0,2432.36
49.99,50.0,30.0,1.0,0.5,1.0,2044.7150000000001
76.92,100.0,30.0,1.0,0.5,1.0,2103.3500000000004
49.82,50.0,365.0,1.0,0.5,1.0,2259.025
10.53,20.0,90.0,1.0,0.5,1.0,3056.19
99.97,100.0,30.0,1.0,0.5,1.0,2026.36
97.09,100.0,30.0,1.0,0.5,1.0,1675.4450000000002
18.69,20.0,7.0,2.0,0.5,1.0,1437.56
0.96,5.0,7.0,2.0,0.5,1.0,1736.72
4.99,5.0,180.0,1.0,0.5,1.0,1892.47
4.98,5.0,365.0,1.0,0.5,1.0,1665.6
45.87,50.0,90.0,1.0,0.5,1.0,1692.5
2.63,5.0,90.0,2.0,0.5,1.0,2634.155
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2643.3300000000004
73.26,100.0,365.0,1.0,0.5,1.0,1984.41
0.02,5.0,365.0,2.0,0.5,1.0,1894.765
26.32,50.0,90.0,2.0,0.5,1.0,2416.155
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2454.635
7.14,20.0,180.0,2.0,0.5,1.0,3928.9750000000004
19.23,100.0,7.0,1.0,0.5,1.0,2243.3300000000004
1.82,100.0,90.0,2.0,0.5,1.0,2111.0950000000003
5.26,100.0,30.0,2.0,0.5,1.0,2983.125
2.15,10.0,365.0,2.0,0.5,1.0,2311.64
0.09,10.0,180.0,2.0,0.5,1.0,1942.1399999999999
8.47,10.0,180.0,1.0,0.5,1.0,1532.775
0.91,50.0,90.0,2.0,0.5,1.0,1950.085
49.99,50.0,7.0,1.0,0.5,1.0,1438.685
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1801.25
9.96,10.0,365.0,2.0,0.5,1.0,2754.52
36.63,50.0,365.0,2.0,0.5,1.0,2138.0
3.66,5.0,365.0,1.0,0.5,1.0,2225.655
4.59,5.0,90.0,1.0,0.5,1.0,2663.22
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1974.9450000000002
0.46,50.0,180.0,2.0,0.5,1.0,1862.9050000000002
0.45,100.0,365.0,2.0,0.5,1.0,2042.82
9.99,10.0,7.0,1.0,0.5,1.0,2900.8650000000002
99.3,100.0,7.0,1.0,0.5,1.0,2966.17
99.64,100.0,365.0,1.0,0.5,1.0,1672.325
49.91,50.0,180.0,1.0,0.5,1.0,1610.36
9.709999999999999,10.0,30.0,2.0,0.5,1.0,4188.03
1.05,20.0,30.0,2.0,0.5,1.0,2158.3950000000004
4.85,5.0,30.0,1.0,0.5,1.0,2560.36
48.54,50.0,30.0,1.0,0.5,1.0,1949.1
0.36,20.0,90.0,2.0,0.5,1.0,1628.86
84.75,100.0,180.0,1.0,0.5,1.0,2437.175
0.26,5.0,30.0,2.0,0.5,1.0,2983.0950000000003
0.92,100.0,180.0,2.0,0.5,1.0,1936.02
35.71,100.0,180.0,2.0,0.5,1.0,1780.885
4.99,5.0,90.0,1.0,0.5,1.0,2092.8100000000004
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2570.245
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1664.2350000000001
9.62,50.0,7.0,2.0,0.5,1.0,1864.065
19.99,20.0,7.0,1.0,0.5,1.0,1648.825
2.63,50.0,30.0,2.0,0.5,1.0,3152.16
1.92,10.0,7.0,2.0,0.5,1.0,3024.74
4.99,5.0,7.0,1.0,0.5,1.0,2579.02
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2869.79
4.67,5.0,7.0,1.0,0.5,1.0,2744.205
9.98,10.0,180.0,1.0,0.5,1.0,2659.68
19.99,20.0,30.0,1.0,0.5,1.0,1976.42
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1992.2350000000001
46.730000000000004,50.0,7.0,1.0,0.5,1.0,2476.105
9.99,10.0,30.0,1.0,0.5,1.0,2373.25
17.86,50.0,180.0,2.0,0.5,1.0,1771.59
