0,1,2,3,4,5,6
2.63,50.0,30.0,2.0,0.5,1.0,2722.5
35.71,100.0,180.0,2.0,0.5,1.0,2028.6
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2559.6
0.46,50.0,180.0,2.0,0.5,1.0,1542.1
97.09,100.0,30.0,2.0,0.5,1.0,1904.5
99.99000000000001,100.0,7.0,1.0,0.5,1.0,2715.7
19.99,20.0,7.0,1.0,0.5,1.0,2400.7
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2243.2
4.98,5.0,365.0,1.0,0.5,1.0,1658.5
1.05,20.0,30.0,2.0,0.5,1.0,2421.7
0.05,10.0,365.0,2.0,0.5,1.0,2243.6
42.37,50.0,180.0,1.0,0.5,1.0,2021.3
52.63,100.0,90.0,2.0,0.5,1.0,2763.6
99.82,100.0,180.0,1.0,0.5,1.0,1388.0
2.63,5.0,90.0,1.0,0.5,1.0,3256.5
0.96,5.0,7.0,2.0,0.5,1.0,1883.1
76.92,100.0,30.0,1.0,0.5,1.0,4451.8
4.24,5.0,180.0,1.0,0.5,1.0,1634.5
10.75,50.0,365.0,2.0,0.5,1.0,2064.5
9.99,10.0,90.0,1.0,0.5,1.0,1820.8
4.67,5.0,7.0,1.0,0.5,1.0,1861.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1454.0
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2109.3
0.91,50.0,90.0,2.0,0.5,1.0,2920.2
0.92,100.0,180.0,2.0,0.5,1.0,1998.1
19.86,20.0,7.0,1.0,0.5,1.0,1615.8
9.99,10.0,7.0,1.0,0.5,1.0,1543.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1543.3
4.99,5.0,180.0,1.0,0.5,1.0,1436.9
19.99,20.0,30.0,1.0,0.5,1.0,1490.2
18.35,20.0,90.0,1.0,0.5,1.0,1274.9
99.3,100.0,7.0,1.0,0.5,1.0,1208.0
49.91,50.0,180.0,1.0,0.5,1.0,1206.2
7.14,20.0,180.0,2.0,0.5,1.0,3417.4
21.51,100.0,365.0,2.0,0.5,1.0,1683.6
17.86,50.0,180.0,2.0,0.5,1.0,2335.4
99.97,100.0,30.0,1.0,0.5,1.0,1611.3
0.09,5.0,90.0,2.0,0.5,1.0,1294.7
0.53,10.0,30.0,2.0,0.5,1.0,2782.2
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1345.2
0.45,100.0,365.0,2.0,0.5,1.0,2334.4
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1320.0
0.02,5.0,365.0,2.0,0.5,1.0,2382.1
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1474.3
0.09,20.0,365.0,2.0,0.5,1.0,2541.9
45.87,50.0,90.0,1.0,0.5,1.0,1632.7
49.96,50.0,90.0,1.0,0.5,1.0,1952.6
19.93,20.0,365.0,1.0,0.5,1.0,1769.3
9.93,10.0,7.0,1.0,0.5,1.0,1568.3
4.99,5.0,30.0,1.0,0.5,1.0,1995.9
49.65,50.0,7.0,1.0,0.5,1.0,2021.8
9.96,10.0,365.0,1.0,0.5,1.0,1501.3
8.47,10.0,180.0,1.0,0.5,1.0,2155.3
73.26,100.0,365.0,2.0,0.5,1.0,3433.4
48.54,50.0,30.0,1.0,0.5,1.0,1526.4
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1523.6
84.75,100.0,180.0,2.0,0.5,1.0,2356.7
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,4520.4
4.99,5.0,7.0,1.0,0.5,1.0,1389.2
14.65,20.0,365.0,2.0,0.5,1.0,2962.4
19.23,100.0,7.0,2.0,0.5,1.0,1835.1
49.99,50.0,30.0,1.0,0.5,1.0,1387.9
1.08,5.0,365.0,1.0,0.5,1.0,4131.7
9.99,10.0,30.0,1.0,0.5,1.0,1167.0
49.82,50.0,365.0,1.0,0.5,1.0,1213.0
9.62,50.0,7.0,2.0,0.5,1.0,1363.2
0.18,20.0,180.0,2.0,0.5,1.0,1526.6
2.15,10.0,365.0,2.0,0.5,1.0,3391.4
36.63,50.0,365.0,1.0,0.5,1.0,2308.8
0.09,10.0,180.0,2.0,0.5,1.0,1683.5
0.36,20.0,90.0,2.0,0.5,1.0,2333.3
99.64,100.0,365.0,1.0,0.5,1.0,1188.6
0.18,10.0,90.0,2.0,0.5,1.0,2176.9
16.95,20.0,180.0,2.0,0.5,1.0,1588.7
38.46,50.0,30.0,2.0,0.5,1.0,3802.8
5.26,100.0,30.0,2.0,0.5,1.0,2000.8
9.98,10.0,180.0,1.0,0.5,1.0,2109.4
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1322.6
1.79,5.0,180.0,2.0,0.5,1.0,2489.0
3.66,5.0,365.0,1.0,0.5,1.0,2675.1
0.05,5.0,180.0,2.0,0.5,1.0,1344.9
7.33,10.0,365.0,1.0,0.5,1.0,2221.2
