0,1,2,3,4,5,6
84.75,100.0,180.0,1.0,0.5,1.0,2259.8
18.35,20.0,90.0,1.0,0.5,1.0,2857.2
97.09,100.0,30.0,1.0,0.5,1.0,1604.9
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2156.6
19.99,20.0,7.0,1.0,0.5,1.0,1129.1
1.92,10.0,7.0,2.0,0.5,1.0,1625.7
0.96,5.0,7.0,2.0,0.5,1.0,1428.2
99.82,100.0,180.0,1.0,0.5,1.0,1522.4
45.87,50.0,90.0,1.0,0.5,1.0,1496.6
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1728.3
10.53,20.0,90.0,1.0,0.5,1.0,2658.5
4.98,5.0,365.0,1.0,0.5,1.0,1420.0
49.82,50.0,365.0,1.0,0.5,1.0,1639.5
0.92,100.0,180.0,2.0,0.5,1.0,1426.0
19.86,20.0,7.0,1.0,0.5,1.0,5271.2
17.86,50.0,180.0,2.0,0.5,1.0,1671.8
0.36,20.0,90.0,2.0,0.5,1.0,2045.1
5.26,100.0,30.0,2.0,0.5,1.0,2124.6
49.99,50.0,30.0,1.0,0.5,1.0,1579.1
4.99,5.0,90.0,2.0,0.5,1.0,1754.7
0.05,10.0,365.0,2.0,0.5,1.0,2106.2
0.09,10.0,180.0,2.0,0.5,1.0,1787.5
4.99,5.0,180.0,1.0,0.5,1.0,1438.2
49.99,50.0,7.0,1.0,0.5,1.0,2373.5
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1389.7
0.26,5.0,30.0,2.0,0.5,1.0,1688.9
42.37,50.0,180.0,1.0,0.5,1.0,1645.5
2.63,50.0,30.0,2.0,0.5,1.0,1279.8
4.99,5.0,7.0,1.0,0.5,1.0,1871.3
0.05,5.0,180.0,2.0,0.5,1.0,1228.1
0.09,5.0,90.0,2.0,0.5,1.0,1459.6
21.51,100.0,365.0,2.0,0.5,1.0,1274.8
7.33,10.0,365.0,1.0,0.5,1.0,1665.5
4.67,5.0,7.0,1.0,0.5,1.0,1630.0
